ID,IconHighlightSpellClassMask[0],IconHighlightSpellClassMask[1],IconHighlightSpellClassMask[2],IconHighlightSpellClassMask[3],SpellID,OverlayFileDataID,ScreenLocationID,SoundEntriesID,Color,Field_5_5_0_61411_006,Scale,TriggerType,Field_5_5_0_61411_009
42,0,0,0,0,86318,0,0,0,0,0,1,1,0
94,0,2,0,0,59578,450913,9,0,-1,0,1,0,0
98,0,512,0,0,50227,449494,9,0,-1,0,1,0,0
101,2048,0,0,0,79683,449486,3,0,-1,0,1,0,0
102,0,1073741824,0,0,52437,449493,9,0,-1,0,1,0,0
110,2097152,0,0,0,88819,0,0,0,-1,0,1,0,0
111,0,0,0,0,60349,450927,4,0,-1,0,1,0,0
112,16384,0,0,0,85416,450925,9,0,-1,0,1,0,0
114,536870912,0,0,0,5308,0,0,0,0,0,1,1,0
115,0,128,0,0,24275,0,0,0,0,0,1,1,0
117,4194304,0,0,0,48108,449490,9,0,-1,0,1,0,0
118,1,4096,0,0,57761,449488,4,0,-1,0,1,0,0
119,131072,1048576,0,0,44544,449489,3,0,-1,0,1,0,0
120,8192,0,0,0,81340,450932,9,0,-1,0,1,0,0
121,2,2,0,0,59052,450930,4,0,-1,0,1,0,0
123,131072,0,0,0,82926,450928,4,0,-1,0,1,0,0
124,0,-2147483648,0,0,56453,450926,4,0,-1,0,1,0,0
125,1,0,0,64,48517,0,0,0,-1,0,1,0,0
126,4,8388608,0,128,48518,0,0,0,0,0,1,0,0
129,65536,0,0,0,88843,450916,9,0,-1,0,1,0,0
130,65536,0,0,0,81022,0,0,0,0,0,1,0,0
137,576,67108880,0,0,33891,0,0,0,0,0,1,0,0
138,16785408,0,512,0,74434,0,0,0,0,0,1,0,0
139,0,8192,0,0,85288,0,0,0,0,0,1,1,0
140,0,256,0,0,34428,0,0,0,0,0,1,1,0
141,0,0,32,0,46916,449487,9,0,-1,0,1,0,0
142,0,0,0,0,7384,0,0,0,0,0,1,1,0
144,0,0,33554432,32,17941,449492,9,0,-1,0,1,0,0
148,0,0,0,0,16870,450929,9,0,-1,0,1,0,0
155,0,0,0,0,5143,0,0,0,-1,0,1,-1,0
157,0,1179648,33873920,0,90174,459314,4,0,-1,0,1,0,0
176,0,2048,0,0,82897,450918,9,0,-5595601,0,1,0,0
178,2,0,0,0,92276,457658,0,0,-1,0,1,0,0
182,0,0,0,0,92572,450922,9,0,-1,0,1,0,0
183,1,64,0,0,34936,460830,4,0,-1,0,1,0,0
190,0,131076,0,0,51124,458740,9,0,-1,0,1,0,0
192,8,0,516,0,93312,0,0,0,0,0,1,0,0
193,0,16,0,0,93313,0,0,0,0,0,1,0,0
194,0,0,33554432,0,93400,463452,4,0,-1,0,1,0,0
196,0,0,32,0,93426,461878,4,0,-1,0,1,0,0
197,0,0,0,0,93430,450915,5,0,-723724,0,1,0,0
198,0,0,0,0,93431,450914,6,0,-723724,0,1,0,0
205,0,134217792,0,0,93622,510822,4,0,-1,0,1,0,0
216,4,0,0,0,94030,457658,0,0,-1,0,1,0,0
217,1,0,0,0,94032,457658,0,0,-1,0,1,0,0
