ID,ScoreColor,DungeonScoreMin,DungeonScoreMax,OrderIndex,KeystoneLevelMin,KeystoneLevelMax,Field_9_2_5_43630_007,Field_9_2_5_43630_008,Field_9_2_5_43630_009,Field_9_2_5_43630_010,Field_9_2_5_43630_011
1,16777215,0,1250,0,0,4,0,63,0,125,96879
2,-14745856,1250,1875,1,4,7,63,94,125,188,96879
3,-16748323,1875,2250,2,7,10,94,113,188,225,96879
4,-6081042,2250,2750,3,10,15,113,138,225,275,96879
5,-32768,2750,0,4,15,0,138,0,275,0,96879
6,16777215,0,1000,0,0,4,0,63,0,125,96877
7,-14745856,1000,1500,1,4,7,63,94,125,188,96877
8,-16748323,1500,1800,2,7,10,94,113,188,225,96877
9,-6081042,1800,2200,3,10,15,113,138,225,275,96877
10,-32768,2200,0,4,15,0,138,0,275,0,96877
