ID,OrderIndex,ManaCost,ManaCostPerLevel,ManaPerSecond,PowerDisplayID,AltPowerBarID,PowerCostPct,PowerCostMaxPct,PowerPctPerSecond,PowerType,RequiredAuraSpellID,OptionalCost,SpellID
169111,0,0,0,0,0,0,16,0,0,0,0,0,543
169118,0,10,0,10,0,0,0,0,0,0,0,0,461
169130,0,0,0,0,0,0,6,0,0,0,0,0,172
169133,0,0,0,0,0,0,6,0,0,0,0,0,403
169144,0,10,0,0,0,0,0,0,0,0,0,0,14
169145,0,0,0,0,0,0,17,0,0,0,0,0,139
169146,0,10,0,0,0,0,0,0,0,0,0,0,142
169151,0,0,0,0,0,0,5,0,0,0,0,0,556
169157,0,0,0,0,0,0,0,0,0,2,0,0,136
169158,0,35,0,0,0,0,0,0,0,0,0,0,512
169166,0,0,0,0,0,0,3,0,0,0,0,0,498
169169,0,0,0,0,0,0,4,0,0,0,0,0,126
169171,0,0,0,0,0,0,6,0,0,0,0,0,130
169179,0,10,0,0,0,0,0,0,0,0,0,0,68
169180,0,0,0,0,0,0,0,0,0,1,0,0,71
169181,0,120,0,0,0,0,0,0,0,0,0,0,228
169182,0,140,0,0,0,0,0,0,0,0,0,0,246
169185,0,0,0,0,0,0,15,0,0,0,0,0,585
169186,0,0,0,0,0,0,15,0,0,0,0,0,586
169187,0,0,0,0,0,0,40,0,0,0,0,0,587
169188,0,20,0,0,0,0,0,0,0,0,0,0,113
169189,0,0,0,0,0,0,64,0,0,0,0,0,688
169190,0,100,0,0,0,0,0,0,0,1,0,0,99
169192,0,0,0,0,0,0,74,0,0,0,0,0,10
169198,0,0,0,0,0,0,36,0,0,0,0,0,467
169200,0,0,0,0,0,0,0,0,0,1,0,0,469
169202,0,0,0,0,0,0,13,0,0,0,0,0,116
169203,0,10,0,0,0,0,0,0,0,0,0,0,3
169204,0,10,0,0,0,0,0,0,0,0,0,0,4
169218,0,22,0,0,0,0,0,0,0,0,0,0,555
169220,0,10,0,0,0,0,0,0,0,0,0,0,22
169221,0,0,0,0,0,0,9,0,0,0,0,0,133
169226,0,0,0,0,0,0,3,0,0,0,0,0,546
169231,0,10,0,0,0,0,0,0,0,0,0,0,24
169233,0,10,0,0,0,0,0,0,0,0,0,0,26
