ID,AltMinimapID,TileX,TileY,FileDataID
441,13,35,36,5248739
442,13,41,35,5248729
443,13,34,30,5248629
444,13,40,34,5248725
445,13,35,38,5248749
446,13,34,31,5248635
447,13,40,31,5248671
448,13,39,37,5248777
449,13,41,37,5248781
450,13,38,34,5248707
451,13,41,33,5248717
452,13,35,37,5248743
453,13,33,36,5248735
454,13,41,32,5248677
455,13,34,38,5248751
456,13,40,32,5248679
457,13,34,36,5248737
458,13,41,31,5248669
459,13,39,36,5248771
460,13,40,35,5248733
461,13,38,33,5248699
462,13,38,37,5248759
463,13,39,30,5248665
464,13,40,38,5248787
465,13,41,34,5248723
466,13,35,33,5248683
467,13,40,36,5248773
468,13,38,32,5248657
469,13,37,34,5248709
470,13,40,37,5248779
471,13,36,37,5248763
472,13,36,38,5248767
473,13,36,36,5248753
474,13,36,30,5248649
475,13,37,33,5248701
476,13,37,37,5248761
477,13,35,34,5248689
478,13,33,30,5248627
479,13,34,34,5248687
480,13,39,34,5248727
481,13,36,35,5248713
482,13,34,37,5248745
483,13,38,31,5248653
484,13,34,32,5248643
485,13,33,35,5248693
486,13,41,38,5248783
487,13,39,32,5248675
488,13,35,35,5248697
489,13,39,33,5248721
490,13,35,32,5248641
491,13,37,36,5248755
492,13,33,34,5248691
493,13,37,35,5248711
494,13,35,31,5248637
495,13,40,33,5248719
496,13,36,34,5248705
497,13,34,33,5248681
498,13,38,36,5248757
499,13,41,36,5248775
500,13,33,33,5248685
501,13,33,38,5248747
502,13,33,31,5248633
503,13,37,38,5248769
504,13,34,35,5248695
505,13,40,30,5248663
506,13,38,38,5248765
507,13,36,33,5248703
508,13,36,32,5248661
509,13,37,31,5248655
510,13,37,32,5248659
511,13,36,31,5248651
512,13,38,35,5248715
513,13,35,30,5248631
514,13,39,38,5248785
515,13,38,30,5248645
516,13,39,35,5248731
517,13,41,30,5248667
518,13,39,31,5248673
519,13,37,30,5248647
520,13,33,32,5248639
521,13,33,37,5248741
522,13,44,38,5248813
523,13,42,34,5248789
524,13,42,36,5248803
525,13,44,35,5248795
526,13,43,38,5248815
527,13,43,37,5248823
528,13,44,39,5248821
529,13,42,35,5248799
530,13,42,37,5248811
531,13,44,36,5248801
532,13,43,35,5248797
533,13,42,38,5248809
534,13,42,39,5248817
535,13,43,36,5248805
536,13,44,34,5248793
537,13,43,39,5248819
538,13,43,34,5248791
539,13,44,37,5248807
540,14,37,33,5264064
541,14,37,34,5264065
542,14,37,35,5264066
543,14,37,36,5264067
544,14,37,37,5264068
545,14,38,33,5264069
546,14,38,34,5264070
547,14,38,35,5264071
548,14,38,36,5264072
549,14,38,37,5264073
550,14,39,33,5264074
551,14,39,34,5264075
552,14,39,35,5264076
553,14,39,36,5264077
554,14,39,37,5264078
555,14,40,33,5264079
556,14,40,34,5264080
557,14,40,35,5264081
558,14,40,36,5264082
559,14,40,37,5264083
560,14,41,33,5264084
561,14,41,34,5264085
562,14,41,35,5264086
563,14,41,36,5264087
564,14,41,37,5264088
565,14,42,33,5264089
566,14,42,34,5264090
567,14,42,35,5264091
568,14,42,36,5264092
569,14,42,37,5264093
570,15,31,32,5268639
571,15,31,33,5268639
572,15,31,34,5268639
573,15,32,32,5268639
574,15,32,34,5268639
575,15,33,32,5268639
576,15,33,34,5268639
577,15,34,32,5268639
578,15,34,33,5268639
579,15,34,34,5268639
673,19,17,34,5412449
674,19,17,35,5412450
675,19,17,36,5412451
676,19,17,37,5412452
677,19,18,34,5412453
678,19,18,35,5412454
679,19,18,36,5412455
680,19,18,37,5412456
681,19,19,34,5412459
682,19,19,35,5412460
683,19,19,36,5412461
684,19,19,37,5412462
685,19,20,34,5412463
686,19,20,35,5412464
687,19,20,36,5412465
688,19,20,37,5412466
