ID,Colors0_r,Colors0_g,Colors0_b,Colors1_r,Colors1_g,Colors1_b,Colors2_r,Colors2_g,Colors2_b,Alpha1,Alpha2,EdgeColor_r,EdgeColor_g,EdgeColor_b,Field_8_1_0_28440_014,Field_8_1_0_28440_015,Field_10_0_5_47118_016,Field_10_0_5_47118_017
1,0.10588236,0.16470589,0.27058825,0.53333336,0.7019608,0.73333335,1,1,1,0.5,1,1,1,1,1,3,0,0
5,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
6,0.21176472,0.10588236,0.27058825,0.6901961,0.53333336,0.73333335,1,1,1,0.5,1,1,1,1,1,2,0,0
7,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
10,0.44705886,0,0.60784316,0.5294118,0.7725491,0.8352942,1,1,1,0.5,1,1,0.56078434,0.9843138,1,0,0,0
11,0.44705886,0,0.60784316,0.5294118,0.7725491,0.8352942,1,1,1,0.5,1,1,0.56078434,0.9843138,1,3,0,0
14,0,0,0,0.13725491,0.5019608,0.4666667,1,1,1,0.5,0.9,1,1,1,20,2,0,0
15,0,0.21960786,0.03529412,0.07058824,0.7686275,0.18431373,1,1,1,0.5,0.9,1,1,1,1,0,0,0
19,0,0,0,0,0.8117648,0.48627454,1,1,1,0.5,0.9,1,1,1,1,0,0,0
20,0.015686275,0.011764707,0.18039216,0.3254902,0.49411768,0.7058824,1,1,1,0.5,0.9,1,1,1,20,2,0,0
21,0,0,0,0.09019608,0.8117648,0.52156866,1,1,1,0.5,0.9,1,1,1,20,2,0,0
23,0.15686275,0.050980397,0.23137257,0.227451,0.0627451,0.34901962,0.5372549,0,1,0.6,1,0.7960785,0.31764707,1,0,0,0,0
25,0.3921569,0,0,0.5411765,0.054901965,0.054901965,0.9686275,0.62352943,0.62352943,0.5,1,1,0,0,1,0,0,0
26,1,0.9960785,0.58431375,1,0.9803922,0,1,0.9607844,0.30588236,0.5,1,1,0.9803922,0.79215693,20,3,0,0
30,0,0,0,0.07058824,0.7686275,0.08627451,1,1,1,0.5,0.2,0.050980397,0.34117648,0,10,3,0,0
31,0,0,0,0.54509807,1,1,1,1,1,0.5,0.2,0.078431375,0.21568629,0.24705884,10,3,0,0
34,0,0,0,0.03529412,0,0.48235297,0,0,0,0.75,1,0,0,0,20,2,0,0
36,0.2627451,0.3647059,0.5294118,0.627451,0.8470589,1,1,1,1,0.5,1,1,1,1,0,0,0,0
37,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
38,0.23137257,0.10588236,0.27058825,0.73333335,0.33333334,0.8588236,1,1,1,0.5,1,1,1,1,1,2,0,0
39,0.27058825,0.10588236,0.10588236,0.8588236,0.33333334,0.33333334,1,1,1,0.5,1,1,1,1,1,2,0,0
40,0,0,0,0.003921569,0,0.26666668,0,0.16470589,1,0.5,0.6,0,0.011764707,1,0,2,0,0
41,0.15686275,0.050980397,0.23137257,0.227451,0.0627451,0.34901962,0.39607847,0.050980397,0.69803923,0.6,1,1,1,1,0,0,0,0
44,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
47,0.10588236,0.16470589,0.27058825,0.3254902,0.56078434,0.18823531,1,1,1,0.5,1,1,1,1,3,2,0,0
