ID,JournalEncounterID,ItemID,FactionMask,Flags,DifficultyMask,DisplaySeasonID,WorldStateExpressionID
9111,89,2169,-1,2,1,0,0
9112,89,5195,-1,2,1,0,0
9113,89,65163,-1,2,2,0,0
9114,89,63467,-1,2,2,0,0
9115,89,5444,-1,2,1,0,0
9116,89,63468,-1,2,2,0,0
9117,89,63470,-1,2,2,0,0
9118,89,63471,-1,2,2,0,0
9119,90,5200,-1,2,1,0,0
9120,90,63473,-1,2,2,0,0
9121,90,63474,-1,2,2,0,0
9122,90,5443,-1,2,1,0,0
9123,90,63475,-1,2,2,0,0
9124,90,63476,-1,2,2,0,0
9125,90,5191,-1,2,1,0,0
9126,90,65164,-1,2,2,0,0
9127,90,5199,-1,2,1,0,0
9128,91,5201,-1,2,1,0,0
9129,91,1937,-1,2,1,0,0
9130,91,5187,-1,2,1,0,0
9131,91,65165,-1,2,2,0,0
9132,91,65166,-1,2,2,0,0
9133,91,65167,-1,2,2,0,0
9134,92,872,-1,2,1,0,0
9135,92,65168,-1,2,2,0,0
9136,92,65169,-1,2,2,0,0
9137,92,65170,-1,2,2,0,0
9138,92,1156,-1,2,1,0,0
9139,92,5196,-1,2,1,0,0
9140,93,5202,-1,2,1,0,0
9141,93,65171,-1,2,2,0,0
9142,93,65172,-1,2,2,0,0
9143,93,65173,-1,2,2,0,0
9144,93,65174,-1,2,2,0,0
9145,93,5192,-1,2,1,0,0
9146,93,5193,-1,2,1,0,0
9147,93,65177,-1,2,2,0,0
9148,93,5197,-1,2,1,0,0
9149,93,5198,-1,2,1,0,0
9150,95,63478,-1,2,2,0,0
9151,95,63479,-1,2,2,0,0
9153,95,65178,-1,2,2,0,0
9154,95,63482,-1,2,2,0,0
9155,95,63483,-1,2,2,0,0
9156,95,63484,-1,2,2,0,0
9157,95,63485,-1,2,2,0,0
9158,95,63486,-1,2,2,0,0
9160,96,63433,-1,2,2,0,0
9161,96,6314,-1,2,1,0,0
9162,96,63434,-1,2,2,0,0
9163,96,6323,-1,2,1,0,0
9164,96,63435,-1,2,2,0,0
9165,96,6324,-1,2,1,0,0
9166,96,63436,-1,2,2,0,0
9167,96,63437,-1,2,2,0,0
9168,97,63440,-1,2,2,0,0
9169,97,6321,-1,2,1,0,0
9170,97,63441,-1,2,2,0,0
9171,97,63444,-1,2,2,0,0
9172,97,5254,-1,2,1,0,0
9173,97,5943,-1,2,1,0,0
