ID,SpellVisualKitID,Probability,SpellVisualKitPickerID
1,144172,33,1
3,124416,1,2
4,143825,33,3
5,144155,33,4
6,144164,10,5
7,144147,5,4
8,144148,5,4
9,144149,5,4
10,144150,5,4
11,144151,5,4
12,144152,10,4
13,144173,5,1
14,144174,5,1
15,144175,5,1
16,144176,5,1
17,144177,5,1
18,144178,10,1
19,144021,5,3
20,144023,5,3
21,144024,5,3
22,144025,5,3
23,144026,5,3
24,144027,10,3
25,144159,5,5
26,144160,5,5
27,144161,5,5
28,144162,5,5
29,144163,5,5
31,144138,33,3
32,144139,33,3
42,144153,33,4
43,144154,33,4
44,144189,33,5
45,144186,33,5
46,144185,33,5
47,144181,33,1
48,144182,33,1
51,150371,1,7
53,111380,1,9
54,204214,1,10
