ID,ExteriorComponentGroupID,ExteriorComponentID
909,1572,148
910,1573,148
911,1574,148
912,1575,148
913,1576,148
914,1577,148
915,1578,148
916,1579,148
917,1580,148
918,1581,148
919,1582,148
920,1583,148
921,1584,148
922,1585,148
923,1586,148
924,1587,148
933,1548,147
934,1549,147
935,1550,147
936,1551,147
937,1552,147
938,1553,147
939,1554,147
940,1555,147
941,1556,147
942,1557,147
943,1558,147
944,1559,147
945,1560,147
946,1561,147
947,1562,147
948,1563,147
981,1509,145
982,1510,145
983,1511,145
984,1512,145
985,1513,145
986,1514,145
987,1515,145
988,1516,145
996,1494,144
997,1495,144
998,1496,144
999,1497,144
1000,1498,144
1001,1499,144
1002,1500,144
1003,1501,144
1026,1467,142
1027,1468,142
1028,1469,142
1029,1470,142
1030,1471,142
1031,1472,142
1038,1455,141
1039,1456,141
1040,1457,141
1041,1458,141
1042,1459,141
1043,1460,141
1459,6884,1455
1460,6885,1455
1461,6886,1455
1462,6887,1455
1463,6888,1455
1464,6889,1455
1465,6890,1455
1466,6891,1455
1467,6892,1455
1468,6893,1455
1469,6894,1455
1470,6895,1455
1471,6896,1455
1472,6897,1455
1473,6898,1455
1474,6899,1455
1585,6905,1461
1586,6906,1461
1587,6907,1461
1588,6908,1461
1589,6909,1461
1590,6910,1461
1591,6911,1461
1592,6912,1461
1693,6923,1467
1694,6924,1467
1695,6925,1467
1696,6926,1467
1697,6927,1467
1698,6928,1467
1699,6929,1467
1700,6930,1467
1701,6931,1467
1702,6932,1467
1703,6933,1467
1704,6934,1467
1705,6935,1467
1706,6936,1467
1707,6937,1467
1708,6938,1467
1709,6939,1467
1855,6950,1473
1856,6951,1473
1857,6952,1473
1858,6953,1473
1859,6954,1473
1860,6955,1473
1861,6956,1473
1862,6957,1473
1863,6958,1473
1864,6959,1473
1865,6960,1473
1951,6966,1479
1952,6967,1479
1953,6968,1479
1954,6969,1479
2035,6980,1485
2036,6981,1485
2037,6982,1485
2038,6983,1485
2039,6984,1485
2040,6985,1485
2041,6986,1485
2042,6987,1485
2043,6988,1485
2113,6993,1491
2114,6994,1491
2115,6995,1491
2116,6996,1491
2117,6997,1491
2118,6998,1491
2119,6999,1491
2120,7000,1491
2173,7003,1497
2174,7004,1497
2175,7005,1497
2176,7006,1497
2177,7007,1497
2178,7008,1497
2257,7017,1503
2258,7018,1503
2259,7019,1503
2260,7020,1503
2261,7021,1503
2262,7022,1503
2263,7023,1503
2264,7024,1503
2346,5568,1003
2347,5569,1003
2348,5570,1003
2349,5571,1003
2350,5572,1003
2351,5573,1003
2364,5581,1004
2365,5582,1004
2366,5583,1004
2367,5584,1004
2368,5585,1004
2369,5586,1004
2382,5675,1011
2383,5676,1011
2384,5677,1011
2385,5678,1011
2386,5679,1011
2387,5680,1011
2400,5688,1012
2401,5689,1012
2402,5690,1012
2403,5691,1012
2404,5692,1012
2405,5693,1012
2406,5694,1012
2407,5695,1012
2430,5641,1009
2431,5642,1009
2432,5643,1009
2433,5644,1009
2434,5645,1009
2435,5646,1009
2436,5647,1009
2437,5648,1009
2438,5649,1009
2471,6676,1207
2472,6677,1207
2473,6678,1207
2474,6679,1207
2475,6680,1207
2476,6681,1207
2477,6682,1207
2478,6683,1207
2485,5604,1006
2486,5605,1006
2487,5606,1006
2488,5607,1006
2489,5608,1006
2490,5609,1006
2491,5610,1006
2492,5611,1006
2542,5517,1000
2543,5518,1000
2544,5519,1000
2545,5520,1000
2546,5521,1000
2547,5522,1000
2548,5523,1000
2549,5524,1000
2550,5525,1000
2559,5498,999
2560,5499,999
2561,5500,999
