ID,MythicPlusSeasonID,Field_10_2_0_51521_001,DifficultyLevel,WeeklyRewardLevel,EndOfRunRewardLevel
1,3,0,1,0,340
2,3,0,2,350,345
3,3,0,3,355,345
4,3,0,4,360,350
5,3,0,5,360,355
6,3,0,6,365,355
7,3,0,7,370,360
8,3,0,8,370,365
9,3,0,9,375,365
10,3,0,10,380,370
11,5,0,3,204,184
12,5,0,2,201,186
13,5,0,4,207,187
14,5,0,5,208,188
15,5,0,6,209,189
16,5,0,7,210,190
17,5,0,8,212,192
18,5,0,9,213,193
19,5,0,10,215,195
20,5,0,11,220,200
21,5,0,12,225,205
22,5,0,13,230,210
23,5,0,14,235,215
24,5,0,15,240,220
25,12,0,9,405,385
26,12,0,7,400,385
27,12,0,10,410,385
28,12,0,8,400,385
29,12,0,6,395,385
30,12,0,5,390,385
31,12,0,3,385,375
32,12,0,2,380,375
33,12,0,1,0,370
34,12,0,4,390,380
35,13,0,9,405,395
36,13,0,7,400,390
37,13,0,10,410,400
38,13,0,8,400,395
39,13,0,6,395,385
40,13,0,5,390,385
41,13,0,3,385,375
42,13,0,2,380,375
43,13,0,1,0,370
44,13,0,4,390,380
45,17,0,4,420,410
46,17,0,1,0,400
47,17,0,2,410,405
48,17,0,3,415,405
49,17,0,5,420,415
50,17,0,6,425,415
51,17,0,8,430,425
52,17,0,10,440,430
53,17,0,7,430,420
54,17,0,9,435,425
55,15,0,4,420,410
56,15,0,1,0,400
57,15,0,2,410,405
58,15,0,3,415,405
59,15,0,5,420,415
60,15,0,6,425,415
61,15,0,8,430,415
62,15,0,10,440,415
63,15,0,7,430,415
64,15,0,9,435,415
65,56,0,10,120,110
66,56,0,7,115,105
67,56,0,1,0,85
68,56,0,4,105,95
69,56,0,9,115,110
70,56,0,6,110,100
71,56,0,3,100,90
72,56,0,8,115,110
73,56,0,5,105,100
74,56,0,2,95,90
75,57,0,7,460,445
76,57,0,6,455,445
77,57,0,3,445,435
78,57,0,4,450,440
79,57,0,1,0,430
80,57,0,9,460,445
81,57,0,8,460,445
82,57,0,2,440,435
83,57,0,10,465,445
84,57,0,5,450,445
85,56,0,11,120,115
86,56,0,12,125,115
87,56,0,13,125,115
88,56,0,14,125,120
89,56,0,15,130,120
90,57,0,11,465,445
91,57,0,12,470,445
92,57,0,13,470,445
93,57,0,14,470,445
94,57,0,15,475,445
95,70,0,1,0,183
96,70,0,2,200,187
97,70,0,3,203,190
98,70,0,4,207,194
99,70,0,5,210,194
100,70,0,6,210,197
101,70,0,7,213,200
102,70,0,8,216,200
103,70,0,9,216,200
104,70,0,10,220,203
105,70,0,11,220,203
106,70,0,12,223,207
107,70,0,13,223,207
108,70,0,14,226,207
109,70,0,15,226,210
110,75,0,1,0,85
111,75,0,2,95,90
112,75,0,3,100,90
113,75,0,4,105,95
114,75,0,5,105,100
115,75,0,6,110,100
116,75,0,7,115,105
117,75,0,8,115,110
118,75,0,9,115,110
119,75,0,10,120,110
120,75,0,11,120,115
121,75,0,12,125,115
122,75,0,13,125,115
123,75,0,14,125,120
124,75,0,15,130,120
125,71,0,5,210,194
126,71,0,4,207,194
127,71,0,3,203,190
128,71,0,2,200,187
129,71,0,1,0,183
130,71,0,15,226,203
131,71,0,14,226,203
132,71,0,13,223,203
133,71,0,12,223,203
134,71,0,11,220,203
135,71,0,10,220,203
136,71,0,9,216,200
137,71,0,8,216,200
138,71,0,7,213,200
139,71,0,6,210,197
140,69,0,9,115,110
141,69,0,15,130,120
142,69,0,3,100,90
143,69,0,5,105,100
144,69,0,11,120,115
145,69,0,7,115,105
146,69,0,2,95,90
147,69,0,12,125,115
148,69,0,13,125,115
149,69,0,1,0,85
150,69,0,4,105,95
151,69,0,6,110,100
152,69,0,14,125,120
153,69,0,10,120,110
154,69,0,8,115,110
155,77,0,1,0,183
156,77,0,2,200,187
157,77,0,3,203,190
158,77,0,4,207,194
159,77,0,5,210,194
160,77,0,6,210,197
161,77,0,7,213,200
162,77,0,8,216,200
163,77,0,9,216,200
164,77,0,10,220,203
165,77,0,11,220,203
166,77,0,12,223,207
167,77,0,13,223,207
168,77,0,14,226,207
169,77,0,15,226,210
170,76,0,1,0,210
171,76,0,2,226,210
172,76,0,3,226,213
173,76,0,4,226,216
174,76,0,5,229,220
175,76,0,6,229,223
176,76,0,7,233,223
177,76,0,8,236,226
178,76,0,9,236,226
179,76,0,10,239,229
180,76,0,11,242,229
181,76,0,12,246,229
182,76,0,13,246,229
183,76,0,14,249,229
184,76,0,15,252,229
185,78,0,1,0,210
186,78,0,2,226,210
187,78,0,3,226,213
188,78,0,4,226,216
189,78,0,5,229,220
190,78,0,6,229,223
191,78,0,7,233,223
192,78,0,8,236,226
193,78,0,9,236,226
194,78,0,10,239,229
195,78,0,11,242,229
196,78,0,12,246,233
197,78,0,13,246,233
198,78,0,14,249,236
199,78,0,15,252,236
200,87,0,1,0,210
201,87,0,2,226,210
202,87,0,3,226,213
203,87,0,4,226,216
204,87,0,5,229,220
205,87,0,6,229,223
206,87,0,7,233,223
207,87,0,8,236,226
208,87,0,9,236,226
209,87,0,10,239,229
210,87,0,11,242,229
211,87,0,12,246,233
212,87,0,13,246,233
213,87,0,14,249,236
214,87,0,15,252,236
215,80,0,1,0,236
216,80,0,2,252,236
217,80,0,3,252,239
218,80,0,4,252,242
219,80,0,5,255,246
220,80,0,6,255,249
221,80,0,7,259,249
222,80,0,8,262,252
223,80,0,9,262,252
224,80,0,10,265,255
225,80,0,11,268,255
226,80,0,12,272,255
227,80,0,13,272,255
228,80,0,14,275,255
229,80,0,15,278,255
230,81,0,1,0,236
231,81,0,2,252,236
232,81,0,3,252,239
233,81,0,4,252,242
234,81,0,5,255,246
235,81,0,6,255,249
236,81,0,7,259,249
237,81,0,8,262,252
238,81,0,9,262,252
239,81,0,10,265,255
240,81,0,11,268,255
241,81,0,12,272,259
242,81,0,13,272,259
243,81,0,14,275,262
244,81,0,15,278,262
245,91,0,1,0,262
246,91,0,2,278,262
247,91,0,3,278,265
248,91,0,4,278,268
249,91,0,5,282,272
250,91,0,6,282,275
251,91,0,7,285,275
252,91,0,8,288,278
253,91,0,9,288,278
254,91,0,10,291,282
255,91,0,11,294,282
256,91,0,12,298,285
257,91,0,13,298,285
258,91,0,14,301,288
259,91,0,15,304,288
261,93,0,2,382,376
262,93,0,3,385,376
263,93,0,4,385,379
264,93,0,5,389,379
265,93,0,6,389,382
266,93,0,7,392,385
267,93,0,8,395,385
268,93,0,9,395,389
269,93,0,10,398,392
270,93,0,11,402,392
271,93,0,12,405,392
272,93,0,13,408,392
273,93,0,14,408,395
274,93,0,15,411,398
290,93,0,16,415,398
291,93,0,17,415,402
292,93,0,18,418,402
293,93,0,19,418,405
294,93,0,20,421,405
295,97,6,2,415,402
296,97,6,3,418,405
297,97,6,4,421,405
298,97,6,5,421,408
299,97,6,6,424,408
300,97,6,7,424,411
301,97,6,8,428,411
302,97,6,9,428,415
303,97,6,10,431,415
304,97,6,11,431,418
305,97,6,12,434,418
306,97,6,13,434,421
307,97,6,14,437,421
308,97,6,15,437,424
309,97,6,16,441,424
310,97,6,17,441,428
311,97,6,18,444,428
312,97,6,19,444,431
313,97,6,20,447,431
314,98,5,2,454,441
315,98,5,3,457,444
316,98,5,4,460,444
317,98,5,5,460,447
318,98,5,6,463,447
319,98,5,7,463,450
320,98,5,8,467,450
321,98,5,9,467,454
322,98,5,10,470,454
323,98,5,11,470,457
324,98,5,12,473,457
325,98,5,13,473,460
326,98,5,14,473,460
327,98,5,15,476,463
328,98,5,16,476,463
329,98,5,17,476,467
330,98,5,18,480,467
331,98,5,19,480,470
332,98,5,20,483,470
333,98,2,0,441,0
334,98,3,0,450,0
335,100,12,2,509,0
336,100,12,3,509,0
337,100,12,4,512,0
338,100,12,5,512,0
339,100,12,6,515,0
340,100,12,7,515,0
341,100,12,8,519,0
342,100,12,9,519,0
343,100,12,10,522,0
344,100,11,0,506,0
345,100,10,0,489,0
346,99,15,2,606,0
347,99,15,3,610,0
348,99,15,4,610,0
349,99,15,5,613,0
350,99,15,6,613,0
351,99,15,7,616,0
352,99,15,8,619,0
353,99,15,9,619,0
354,99,15,10,623,0
355,99,13,0,593,0
356,99,14,0,603,0
357,99,8,1,584,0
358,99,8,2,587,0
359,99,8,3,590,0
360,99,8,4,593,0
361,99,8,5,600,0
362,99,8,6,606,0
363,99,8,7,610,0
364,99,8,8,616,0
365,99,9,1,584,0
366,99,9,2,587,0
