ID,ReplacementSpellID,SpellID
1,383269,315443
3,375891,325028
4,384665,340682
5,391429,350570
6,391872,339141
7,391881,339139
8,391888,325727
9,391528,323764
10,391951,354123
11,391969,338657
12,384667,340694
13,391538,354118
14,386318,339144
15,390902,340705
16,391078,248081
17,391174,364416
18,384668,340053
19,385539,339399
20,378759,336743
21,378014,336902
22,378750,336822
23,393933,336830
24,392053,336844
25,391559,336867
26,384790,364740
27,378888,336870
28,384791,356264
29,392060,355589
30,389449,336849
31,386878,274444
32,390288,338318
33,384352,335902
34,390370,335895
35,378270,336738
36,384450,335899
37,384447,335897
38,375982,326059
39,382042,354647
41,391142,337594
42,385125,337746
43,375576,304971
44,377128,339114
45,386653,337847
46,385422,340023
47,386276,325216
48,386941,337295
49,383707,337288
50,386965,338138
51,383698,337119
52,383697,212935
53,387219,337264
54,387184,310454
55,377847,340553
56,377835,341450
57,377842,340540
58,377210,339056
59,372943,339060
60,377811,340543
61,392301,338831
62,392302,339064
63,392315,338832
64,378848,337705
65,373926,337704
66,391546,338089
67,389682,337972
68,389679,338311
69,390268,334949
70,377587,334888
71,390283,334974
72,377073,334583
73,377076,341724
74,377056,334678
75,376938,337988
76,377047,334692
77,391386,334728
78,383782,336886
79,376103,307443
80,384452,332769
81,384683,354186
82,382424,336613
83,382289,337293
84,382293,337275
85,382292,337123
86,382270,337136
87,382268,336636
88,382440,314791
89,386539,327351
90,383669,341325
91,383810,333030
92,384033,333167
93,383860,333097
94,383886,333313
95,378433,336522
96,382110,327284
97,382103,327364
98,382144,327508
99,392301,338831
100,400320,338657
101,391528,323764
102,391888,325727
103,391951,364814
104,392356,363495
105,392315,338832
106,392302,339064
107,382559,340549
108,392220,340616
109,392410,338829
110,387765,337241
111,388038,337225
112,386276,325216
113,388193,327104
114,391412,356705
115,388779,356705
116,388661,337298
117,388020,336812
118,386949,356592
119,386941,337295
120,388031,336773
121,388047,337343
122,388023,337172
123,390158,339231
124,389824,338793
125,389846,338799
126,389849,339149
127,391178,339644
128,389705,337545
129,391165,339423
130,389708,337534
131,391429,350570
132,390163,306830
133,389978,339228
134,389977,339151
135,390154,339230
136,391397,337685
137,390620,337678
138,373466,336897
139,373446,337662
140,375901,323673
141,391112,338315
142,373457,336507
143,373450,337748
144,373427,336143
145,390994,336314
146,372309,337947
147,373202,338332
148,373212,342415
149,198103,337981
150,378075,338033
151,381819,330383
152,381867,338042
153,378094,338339
154,378211,337974
156,378271,336730
157,384087,336215
159,378268,336063
160,378310,336734
163,382019,338346
164,382040,339186
165,382020,335886
166,382045,335889
168,382503,341531
170,378427,341311
171,378803,341534
172,385616,323547
173,378996,341312
174,381673,340082
176,385478,278666
177,385408,328305
178,385424,328547
179,381798,340083
180,381799,277679
181,381828,278676
182,381894,341540
183,381839,341543
184,386823,340085
185,381629,341536
186,381652,341538
187,381673,340082
188,381800,340078
189,381797,340081
190,381822,341542
191,381828,278676
192,381982,341546
193,386823,340085
194,382508,341556
195,382512,278683
196,382515,341529
197,382514,341532
198,382518,341567
199,382517,341549
200,384631,323654
201,382523,340080
202,382525,340089
203,382015,340091
204,394332,341264
205,386174,339845
206,386185,339578
207,386997,325640
208,386194,339656
209,389359,339272
210,386976,339576
211,387252,339892
212,387475,340041
213,382310,335034
214,382549,357888
215,382954,335250
216,382956,335758
217,376079,307865
218,382948,339259
219,386284,357996
220,390138,335266
221,390140,335266
222,390123,335266
223,390135,335266
224,394307,335266
225,383103,347213
226,383219,339386
227,386630,335274
228,386634,335451
229,386628,335282
230,383317,335260
231,392536,335232
232,383292,335232
233,393967,335232
234,383885,337302
235,383877,337214
236,383922,337162
237,383338,334993
238,384042,337154
239,385843,339818
240,385840,335229
241,384074,335629
242,384072,335239
243,384036,335010
244,386477,364002
245,377349,336214
247,394110,343250
248,394123,337296
249,392958,288634
250,391330,278580
251,392983,205320
252,392979,337483
253,391370,209256
254,280197,195298
255,392986,336616
256,394923,331679
257,392989,337292
258,392993,337481
259,392991,337334
260,392902,339712
261,387801,339316
262,375576,304971
263,387893,364724
264,388007,328620
265,387170,328204
266,388018,340458
267,387879,337812
268,387814,339987
269,383388,337297
272,386478,364010
273,386486,364006
274,377637,334525
275,374265,335177
276,376905,338492
277,389687,337551
278,389811,344358
279,390152,337504
280,391189,346279
281,377801,340545
282,394048,339942
283,393960,338668
284,393954,339949
285,393940,338661
286,383195,340719
287,377623,340552
288,384721,340605
289,371999,340609
290,382550,340550
291,378743,336819
292,384581,332892
293,384187,332928
294,382297,336777
295,387991,337473
296,388551,337099
298,384374,327489
299,392994,337303
300,384815,337681
301,392907,337777
302,383344,339371
303,383327,337247
304,383396,337257
305,383274,339531
306,383350,339374
307,383304,339518
308,372991,337786
309,373042,337790
310,392988,336400
311,391124,337477
312,382509,341559
313,386986,337111
314,387016,356362
315,387065,337128
316,386689,337038
317,386613,339282
318,387084,337020
319,387391,337141
320,387432,337159
321,387541,337146
322,387173,337272
323,387400,337169
324,381622,354837
325,386738,364724
326,384027,364724
327,387893,364642
328,397251,356684
329,397251,364857
330,384027,364642
331,386738,364642
332,384790,364743
333,384791,364743
334,386284,364929
335,391412,364857
336,388779,364857
337,386949,364857
338,387016,364939
339,381622,364922
340,370965,323639
341,171975,337057
347,403949,338658
348,431044,133
