ID,Field_10_2_7_54171_000,Field_10_2_7_54171_001,QuestID,Field_10_2_7_54171_003,Field_10_2_7_54171_004,Type,Field_10_2_7_54171_006,Field_10_2_7_54171_007,Field_10_2_7_54171_008
1,420,0,44767,0,0,0,2,0,3
2,46321,7486,5545,0,20,0,3,2,1
3,0,0,85,0,0,0,4,0,3
4,0,0,0,3298,10,1,5,1,1
6,120953,0,79009,0,100,0,6,0,3
7,49081,0,76317,0,80,0,7,0,3
8,0,0,81930,0,0,0,8,0,2
9,0,0,78713,0,0,0,9,0,2
10,0,1519,81930,0,0,0,10,2,2
11,0,1637,78713,0,0,0,11,2,2
12,121252,0,81966,0,0,0,12,0,2
13,122240,0,72644,0,0,0,13,0,1
14,122241,0,73703,0,0,0,14,0,1
15,122243,0,57043,0,0,0,15,0,1
16,122244,0,54976,0,0,0,16,0,1
17,122245,0,54759,0,0,0,17,0,1
18,122246,0,54402,0,0,0,18,0,1
19,122247,0,53791,0,0,0,19,0,1
20,122248,0,53838,0,0,0,20,0,1
21,122249,0,76530,0,0,0,21,0,1
22,122250,0,75890,0,0,0,22,0,1
23,122251,0,78068,0,0,0,23,0,1
24,122252,0,77869,0,0,0,24,0,1
25,122240,0,72644,0,0,0,25,1,3
37,122241,0,73703,0,0,0,37,1,3
38,122243,0,57043,0,0,0,38,1,3
39,122244,0,54976,0,0,0,39,1,3
40,122245,0,54759,0,0,0,40,1,3
41,122246,0,54402,0,0,0,41,1,3
42,122247,0,53791,0,0,0,42,1,3
43,122248,0,53838,0,0,0,43,1,3
44,122249,0,76530,0,0,0,44,1,3
45,122250,0,75890,0,0,0,45,1,3
46,122251,0,78068,0,0,0,46,1,3
47,122252,0,77869,0,0,0,47,1,3
48,122868,0,82539,0,0,0,48,0,2
49,124736,0,51483,0,0,0,49,0,2
50,124736,0,51483,0,0,0,50,1,2
51,124736,0,58435,0,0,0,51,0,2
52,124736,0,58435,0,0,0,52,1,2
53,124736,0,58436,0,0,0,53,0,2
54,124736,0,58436,0,0,0,54,1,2
55,124736,0,53721,0,0,0,55,0,2
56,124736,0,53721,0,0,0,56,1,2
57,124736,0,53722,0,0,0,57,0,2
58,124736,0,53722,0,0,0,58,1,2
59,124736,0,51484,0,0,0,59,0,2
60,124736,0,51484,0,0,0,60,1,2
61,124736,0,49782,0,0,0,61,0,2
62,124736,0,49782,0,0,0,62,1,2
63,124736,0,49928,0,0,0,63,0,2
64,124736,0,49928,0,0,0,64,1,2
65,124736,0,49784,0,0,0,65,0,2
66,124736,0,49784,0,0,0,66,1,2
67,124736,0,49783,0,0,0,67,0,2
68,124736,0,49783,0,0,0,68,1,2
69,124736,0,82771,0,0,0,69,0,2
70,124736,0,82771,0,0,0,70,1,2
