ID,URL,GrantFlags,RevokeFlags,WowEditInternal,RegionID
1,*://,1,0,0,0
2,http://,256,0,0,0
3,https://privacy-policy.truste.com/,1,0,0,0
4,https://livechat.battle.net/,1,0,0,0
5,https://battle.net/support,16490,1,0,0
6,https://ssl.google-analytics.com/,100,0,0,0
7,extern://*,768,0,0,0
8,externs://*,1280,0,0,0
9,https://us.battle.net/,16384,0,0,1
10,https://us.battle.net/account/,256,0,0,1
11,https://us.battle.net/account/images/,4,1,0,0
12,https://us.battle.net/support,34922,1,0,1
13,https://us.battle.net/login,106,1,0,1
14,https://bnetcmsus-a.akamaihd.net/,4,1,0,0
15,https://bnetus-a.akamaihd.net/,4,1,0,0
18,https://kr.battle.net/,16384,0,0,2
19,https://kr.battle.net/account/,256,0,0,2
20,https://kr.battle.net/account/images/,4,0,0,2
21,https://kr.battle.net/support,34922,1,0,2
22,https://kr.battle.net/login,106,1,0,2
23,https://bnetcmskr-a.akamaihd.net/,4,1,0,2
24,https://bnetkr-a.akamaihd.net/,4,1,0,2
27,https://eu.battle.net/,16384,0,0,3
28,https://eu.battle.net/account/,256,0,0,3
29,https://eu.battle.net/account/images/,4,1,0,3
30,https://eu.battle.net/support,34922,1,0,3
31,https://eu.battle.net/login,106,1,0,3
32,https://bnetcmseu-a.akamaihd.net/,4,1,0,3
33,https://bneteu-a.akamaihd.net/,4,1,0,3
36,https://www.battlenet.com.cn,16384,0,0,5
37,https://www.battlenet.com.cn/account/,256,0,0,5
38,https://www.battlenet.com.cn/account/images/,4,1,0,5
39,https://www.battlenet.com.cn/support,34922,1,0,5
40,https://www.battlenet.com.cn/login,106,1,0,5
43,https://tw.battle.net/,16384,0,0,4
44,https://tw.battle.net/account/,256,0,0,4
45,https://tw.battle.net/account/images/,4,1,0,4
46,https://tw.battle.net/support,34922,1,0,4
47,https://tw.battle.net/login,106,1,0,4
48,https://bnetcmstw-a.akamaihd.net/,4,1,0,4
49,https://bnettw-a.akamaihd.net/,4,1,0,4
55,about:blank,2,0,0,0
56,https://cms-origin-cn.battle.net,16388,1,0,5
57,https://us.battle.net/d3/static/images/,4,0,0,1
58,https://eu.battle.net/d3/static/images/,4,0,0,3
59,https://tw.battle.net/d3/static/images/,4,0,0,4
60,https://kr.battle.net/d3/static/images/,4,0,0,2
61,https://us.battle.net/login/challenge/,4096,0,0,0
62,https://eu.battle.net/login/challenge/,4096,0,0,0
63,https://kr.battle.net/login/challenge/,4096,0,0,0
64,https://tw.battle.net/login/challenge/,4096,0,0,0
65,https://sea.battle.net/login/challenge/,4096,0,0,0
66,https://www.battlenet.com.cn/login/challenge/,4096,0,0,0
72,https://api.twitter.com/oauth/authorize/,110,0,0,0
73,https://twitter.com/intent/sessions/,110,0,0,0
74,https://twitter.social.wow.blizzard.net/callback/,8192,0,0,0
75,https://*.twimg.com/,110,0,0,0
76,https://twitter.com/login/error,110,0,0,0
77,https://twitter.com/sessions,110,0,0,0
78,https://twitter.com/account/login_verification,110,0,0,0
79,https://twitter.com/oauth/authorize,110,0,0,0
80,https://www.googletagmanager.com/,100,0,0,0
81,https://www.google-analytics.com/,100,0,0,0
182,https://wauth.teledit.com/Danal,6,0,0,0
183,https://support-qa-us.stech.blizzard.net/,34922,1,1,1
184,https://login-live-us.web.blizzard.net/,20586,0,1,0
185,https://support-qa-kr.stech.blizzard.net/,34922,1,1,1
186,https://support-qa-eu.stech.blizzard.net/,34922,1,1,1
187,https://support-qa-cn.stech.blizzard.net/,34922,1,1,1
188,https://support-qa-tw.stech.blizzard.net/,34922,1,1,1
189,https://cn.battle.net/login,106,1,0,5
192,https://account.battle.net/,102,0,0,0
203,https://support-api.battlenet.com.cn,34922,0,0,0
204,https://*.battlenet.com.cn,2154,0,0,0
205,https://*.netease.com,2154,0,0,0
206,https://*.16163.com,2154,0,0,0
207,https://support-dev.battlenet.com.cn/,34922,0,0,0
208,https://support-api.battlenet.com.cn/,34922,0,0,0
209,https://support.battlenet.com.cn/,34922,0,0,0
210,https://blz-wx.w.163.com/,2154,0,0,0
211,https://blz-wx.dev.w.163.com/,2154,0,0,0
