ID,Gender,Variation,CameraID,RaceID
27,0,0,83,1
28,1,0,85,1
29,0,1,82,1
30,1,1,84,1
83,1,0,92,3
84,1,1,93,3
85,0,0,91,3
86,0,1,90,3
87,1,0,96,7
88,1,1,97,7
89,0,0,95,7
90,0,1,94,7
91,1,0,117,9
92,1,1,116,9
93,0,0,115,9
94,0,1,114,9
95,1,0,100,4
96,1,1,101,4
97,0,0,98,4
98,0,1,99,4
99,1,0,89,2
100,1,1,88,2
101,0,0,87,2
102,0,1,86,2
103,1,0,128,6
104,1,1,129,6
105,0,0,127,6
106,0,1,126,6
107,1,0,124,8
108,1,1,125,8
109,0,0,123,8
110,0,1,122,8
131,0,0,131,5
132,1,0,132,5
133,0,1,130,5
134,1,1,133,5
306,0,1,1962,95
307,0,0,1963,95
308,1,1,1964,95
309,1,0,1965,95
310,0,1,1962,96
311,0,0,1963,96
312,1,1,1964,96
313,1,0,1965,96
