ID,TraitDefinitionID,EffectIndex,OperationType,CurveID
13792,85159,1,0,52495
13793,85159,0,0,52496
13794,85161,0,0,52497
13795,85168,0,0,52498
13796,85172,0,0,52499
13797,85173,0,0,52500
13798,85176,0,0,52501
13799,85185,0,0,52502
13800,85191,0,0,52503
13801,85191,1,0,52504
13803,85200,1,0,52506
13804,85200,0,0,52507
13807,85225,0,0,52510
13808,85226,0,0,52511
13811,85239,1,0,52514
13812,85239,0,0,52515
13817,85259,0,0,52520
13819,85270,1,0,52522
13820,85273,3,0,52523
13821,85273,2,0,52524
13822,85273,1,0,52525
13823,85275,0,0,52526
13828,85295,0,0,52531
13829,85300,0,0,52532
13830,85312,0,0,52533
15555,92597,0,0,54419
15556,92601,0,0,54420
15557,92607,0,0,54421
15558,92612,0,0,54422
15559,92617,0,0,54423
15560,92618,0,0,54424
15561,92619,0,0,54425
15562,92623,0,0,54426
15563,92634,0,0,54427
15565,92648,0,0,54429
15567,92652,0,0,54431
15571,92663,0,0,54435
15572,92665,0,0,54436
15573,92674,0,0,54437
15574,92680,0,0,54438
15575,92695,0,0,54439
15576,92696,0,0,54440
15577,92699,0,0,54441
15578,92701,0,0,54442
15579,92706,0,0,54443
15580,92708,0,0,54444
15581,92712,0,0,54445
15582,92714,0,0,54446
16582,96423,0,0,55496
16585,96426,1,0,55492
16586,96426,0,0,55493
16587,96426,2,0,55491
16588,96428,1,0,55494
16589,96428,0,-1,55495
16590,96428,2,0,55486
16591,96430,0,0,55499
16598,96439,0,0,55565
16600,96451,1,0,55518
16601,96451,0,-1,55519
16602,96457,0,0,55517
16605,96463,0,0,55571
16606,96463,3,0,55569
16607,96463,2,0,55570
16608,96465,0,0,55573
16609,96465,1,0,55572
16610,96466,0,0,55566
16611,96472,0,0,55530
16626,96492,0,0,55545
16634,96509,0,0,55514
16635,96509,1,0,55513
16636,96513,0,1,55501
16638,96518,0,0,55505
16641,96524,0,0,55500
16642,96526,0,0,55502
16643,96529,0,1,55507
16644,96531,0,0,55508
16649,96551,0,1,55506
16652,96561,0,0,55551
16654,96563,0,0,55554
16658,96566,0,1,55549
17886,101163,0,0,56911
17896,101234,0,0,56925
17897,101235,0,0,56926
17902,101255,0,0,56912
17905,101259,0,0,56930
17909,101274,0,0,56936
17910,101274,1,0,56935
17911,101274,2,0,56934
17912,101286,2,0,56937
17913,101288,0,0,56938
17917,101325,0,0,56942
