ID,GenderIndex,ClassID,RaceID,PositionIndex
137447,1,0,3,-1
137448,0,0,3,-1
137449,1,0,7,-1
137450,0,0,7,-1
137451,1,0,9,-1
137452,0,0,9,-1
137453,1,0,1,-1
137454,0,0,1,-1
137455,1,0,4,-1
137456,0,0,4,-1
137457,1,0,2,-1
137458,0,0,2,-1
137459,1,0,5,-1
137460,0,0,5,-1
137461,1,0,6,-1
137462,0,0,6,-1
137463,1,0,8,-1
137464,0,0,8,-1
137471,1,0,3,-1
137472,0,0,3,-1
137473,1,0,7,-1
137474,0,0,7,-1
137475,1,0,9,-1
137476,0,0,9,-1
137477,1,0,1,-1
137478,0,0,1,-1
137479,1,0,4,-1
137480,0,0,4,-1
137481,1,0,2,-1
137482,0,0,2,-1
137483,1,0,5,-1
137484,0,0,5,-1
137485,1,0,6,-1
137486,0,0,6,-1
137487,1,0,8,-1
137488,0,0,8,-1
137495,1,0,3,-1
137496,0,0,3,-1
137497,1,0,7,-1
137498,0,0,7,-1
137499,1,0,9,-1
137500,0,0,9,-1
137501,1,0,1,-1
137502,0,0,1,-1
137503,1,0,4,-1
137504,0,0,4,-1
137505,1,0,2,-1
137506,0,0,2,-1
137507,1,0,5,-1
137508,0,0,5,-1
137509,1,0,6,-1
137510,0,0,6,-1
137511,1,0,8,-1
137512,0,0,8,-1
137524,1,0,3,-1
137525,0,0,3,-1
137526,1,0,7,-1
137527,0,0,7,-1
137528,1,0,9,-1
137529,0,0,9,-1
137530,1,0,1,-1
137531,0,0,1,-1
137532,1,0,4,-1
137533,0,0,4,-1
137534,1,0,2,-1
137535,0,0,2,-1
137536,1,0,5,-1
137537,0,0,5,-1
137538,1,0,6,-1
137539,0,0,6,-1
137540,1,0,8,-1
137541,0,0,8,-1
137552,1,0,3,-1
137553,0,0,3,-1
137554,1,0,7,-1
137555,0,0,7,-1
137556,1,0,9,-1
137557,0,0,9,-1
137558,1,0,1,-1
137559,0,0,1,-1
137560,1,0,4,-1
137561,0,0,4,-1
137562,1,0,2,-1
137563,0,0,2,-1
137564,1,0,5,-1
137565,0,0,5,-1
137566,1,0,6,-1
137567,0,0,6,-1
137568,1,0,8,-1
137569,0,0,8,-1
137577,1,0,3,-1
137578,0,0,3,-1
137579,1,0,7,-1
137580,0,0,7,-1
137581,1,0,9,-1
137582,0,0,9,-1
137583,1,0,1,-1
137584,0,0,1,-1
137585,1,0,4,-1
137586,0,0,4,-1
137587,1,0,2,-1
137588,0,0,2,-1
137589,1,0,5,-1
137590,0,0,5,-1
137591,1,0,6,-1
137592,0,0,6,-1
137593,1,0,8,-1
137594,0,0,8,-1
137629,1,0,3,-1
137630,0,0,3,-1
137631,1,0,7,-1
137632,0,0,7,-1
137633,1,0,9,-1
137634,0,0,9,-1
137635,1,0,1,-1
137636,0,0,1,-1
137637,1,0,4,-1
137638,0,0,4,-1
137639,1,0,2,-1
137640,0,0,2,-1
137641,1,0,5,-1
137642,0,0,5,-1
137643,1,0,6,-1
137644,0,0,6,-1
137645,1,0,8,-1
137646,0,0,8,-1
137651,1,0,3,-1
137652,0,0,3,-1
137653,1,0,7,-1
137654,0,0,7,-1
137655,1,0,9,-1
137656,0,0,9,-1
137657,1,0,1,-1
137658,0,0,1,-1
137659,1,0,4,-1
137660,0,0,4,-1
137661,1,0,2,-1
137662,0,0,2,-1
137663,1,0,5,-1
137664,0,0,5,-1
137665,1,0,6,-1
137666,0,0,6,-1
137667,1,0,8,-1
137668,0,0,8,-1
137676,1,0,3,-1
137677,0,0,3,-1
137678,1,0,7,-1
137679,0,0,7,-1
137680,1,0,9,-1
137681,0,0,9,-1
137682,1,0,1,-1
137683,0,0,1,-1
137684,1,0,4,-1
137685,0,0,4,-1
137686,1,0,2,-1
137687,0,0,2,-1
137688,1,0,5,-1
137689,0,0,5,-1
137690,1,0,6,-1
137691,0,0,6,-1
137692,1,0,8,-1
137693,0,0,8,-1
137700,1,0,3,-1
137701,0,0,3,-1
137702,1,0,7,-1
137703,0,0,7,-1
137704,1,0,9,-1
137705,0,0,9,-1
137706,1,0,1,-1
137707,0,0,1,-1
137708,1,0,4,-1
137709,0,0,4,-1
137710,1,0,2,-1
137711,0,0,2,-1
137712,1,0,5,-1
137713,0,0,5,-1
137714,1,0,6,-1
137715,0,0,6,-1
137716,1,0,8,-1
137717,0,0,8,-1
137730,1,0,3,-1
137731,0,0,3,-1
137732,1,0,7,-1
137733,0,0,7,-1
137734,1,0,9,-1
137735,0,0,9,-1
137736,1,0,1,-1
137737,0,0,1,-1
137738,1,0,4,-1
137739,0,0,4,-1
137740,1,0,2,-1
137741,0,0,2,-1
137742,1,0,5,-1
137743,0,0,5,-1
137744,1,0,6,-1
137745,0,0,6,-1
137746,1,0,8,-1
137747,0,0,8,-1
137755,1,0,3,-1
137756,0,0,3,-1
137757,1,0,7,-1
137758,0,0,7,-1
137759,1,0,9,-1
137760,0,0,9,-1
137761,1,0,1,-1
