Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Milestone 1,New items unlock on Endeavor vendors,2,0,0,0,0,0
0,Milestone 2,New items unlock on Endeavor vendors,3,0,0,0,0,0
0,Milestone 3,New items unlock on Endeavor vendors,4,0,0,0,0,0
0,Endeavor Completion Reward,,5,0,0,0,0,93262
0,Endeavor Completion Reward,,21,0,0,0,0,93262
0,Endeavor Completion Reward,,22,0,0,0,0,93262
0,Endeavor Completion Reward,,23,0,0,0,0,93262
0,Endeavor Completion Reward,,24,0,0,0,0,93262
0,Endeavor Completion Reward,,25,0,0,0,0,93262
0,Endeavor Completion Reward,,26,0,0,0,0,93262
0,Endeavor Completion Reward,,27,0,0,0,0,93262
0,Endeavor Completion Reward,,28,0,0,0,0,93262
0,Endeavor Completion Reward,,29,0,0,0,0,93262
