ID,Type,Threshold,Index
10,1,1,0
11,1,5,1
12,1,10,2
13,3,1,0
14,3,2,1
15,3,3,2
16,2,125,0
17,2,350,1
18,2,875,2
21,1,1,0
22,1,4,1
23,1,10,2
25,2,1250,0
26,2,2500,1
27,2,6250,2
29,3,3,0
30,3,7,1
31,3,10,2
32,4,0,0
33,5,0,0
34,1,10,2
35,1,1,0
36,1,4,1
37,2,1250,0
38,2,2500,1
39,2,6250,2
40,3,3,0
41,3,6,1
42,3,9,2
43,5,0,0
44,4,0,0
45,1,10,2
46,1,1,0
47,1,4,1
48,2,1250,0
49,2,2500,1
50,2,6250,2
51,3,3,0
52,3,6,1
53,3,9,2
54,5,0,0
55,4,0,0
56,1,8,2
57,1,1,0
58,1,4,1
59,2,1250,0
60,2,2500,1
61,2,5500,2
62,3,2,0
63,3,5,1
64,3,8,2
65,5,0,0
66,4,0,0
67,1,8,2
68,1,1,0
69,1,4,1
70,2,1250,0
71,2,2500,1
72,2,5500,2
73,3,2,0
74,3,5,1
75,3,8,2
76,5,0,0
77,4,0,0
78,1,8,2
79,1,1,0
80,1,4,1
81,2,1250,0
82,2,2500,1
83,2,5500,2
84,3,2,0
85,3,5,1
86,3,8,2
87,5,0,0
88,4,0,0
100,1,1,0
101,1,4,1
102,1,8,2
103,2,1250,0
104,2,2500,1
105,2,5000,2
106,3,2,0
107,3,4,1
108,3,6,2
109,4,0,0
110,5,0,0
111,1,1,0
112,1,4,1
113,1,8,2
114,2,1250,0
115,2,2500,1
116,2,5000,2
117,3,3,0
118,3,5,1
119,3,7,2
120,4,0,0
121,5,0,0
122,1,1,0
123,1,4,1
124,1,8,2
125,2,1250,0
126,2,2500,1
127,2,5000,2
128,3,2,0
129,3,4,1
130,3,7,2
131,4,0,0
132,5,0,0
134,1,1,0
135,1,4,1
136,1,8,2
137,6,3,0
138,6,6,1
139,6,12,2
140,3,2,0
141,3,4,1
142,3,6,2
143,4,0,0
144,5,0,0
145,1,1,0
146,1,4,1
147,1,8,2
148,2,1250,0
149,2,2500,1
150,2,5000,2
151,3,2,0
152,3,4,1
153,3,6,2
154,4,0,0
155,5,0,0
