ID,GarrEncounterID,GarrEncounterSetID,OrderIndex,BoardIndex,GarrMissionID
57,1,0,0,-1,43
58,1,0,0,-1,2
63,32,0,0,-1,44
64,2,0,0,-1,36
66,33,0,0,-1,5
67,34,0,0,-1,45
68,1,0,0,-1,54
70,4,0,0,-1,55
71,5,0,1,-1,55
72,7,0,0,-1,56
73,35,0,1,-1,56
74,36,0,0,-1,57
75,37,0,1,-1,57
76,38,0,0,-1,58
77,39,0,1,-1,58
78,40,0,0,-1,59
79,41,0,1,-1,59
80,42,0,0,-1,60
81,43,0,1,-1,60
82,44,0,0,-1,61
83,45,0,1,-1,61
84,46,0,0,-1,62
85,47,0,1,-1,62
86,48,0,0,-1,63
87,49,0,1,-1,63
89,50,0,0,-1,64
92,52,0,0,-1,67
93,53,0,1,-1,67
94,54,0,0,-1,66
95,55,0,0,-1,6
97,57,0,0,-1,3
98,58,0,0,-1,86
101,60,0,0,-1,88
104,61,0,0,-1,89
105,62,0,1,-1,89
108,63,0,0,-1,107
111,66,0,0,-1,108
112,67,0,1,-1,108
114,69,0,0,-1,109
115,70,0,0,-1,110
116,71,0,1,-1,110
117,72,0,0,-1,111
118,73,0,0,-1,112
119,74,0,1,-1,112
120,75,0,0,-1,113
121,76,0,1,-1,113
122,77,0,0,-1,114
123,78,0,1,-1,114
124,79,0,0,-1,115
125,80,0,1,-1,115
126,81,0,0,-1,116
127,82,0,1,-1,116
128,84,0,0,-1,117
129,85,0,0,-1,118
130,86,0,1,-1,117
131,87,0,2,-1,117
132,88,0,1,-1,118
136,90,0,0,-1,119
137,91,0,0,-1,120
139,93,0,1,-1,120
150,95,0,0,-1,125
151,96,0,1,-1,125
155,97,0,0,-1,126
157,99,0,1,-1,126
159,101,0,0,-1,127
160,103,0,0,-1,128
161,102,0,1,-1,128
162,104,0,2,-1,128
163,105,0,0,-1,129
164,106,0,1,-1,129
165,107,0,2,-1,129
166,108,0,0,-1,130
168,110,0,1,-1,130
169,111,0,0,-1,131
172,112,0,0,-1,132
177,115,0,0,-1,133
178,116,0,1,-1,133
180,118,0,0,-1,135
181,119,0,0,-1,136
182,156,0,0,-1,137
183,166,0,0,-1,183
184,154,0,0,-1,171
185,121,0,0,-1,138
186,122,0,0,-1,139
187,123,0,0,-1,140
188,167,0,0,-1,184
189,155,0,0,-1,172
190,124,0,0,-1,141
191,125,0,0,-1,142
192,126,0,0,-1,143
193,106,0,0,-1,185
194,120,0,0,-1,173
195,127,0,0,-1,144
196,128,0,0,-1,145
197,129,0,0,-1,146
199,157,0,0,-1,174
200,130,0,0,-1,147
201,131,0,0,-1,148
202,132,0,0,-1,149
203,170,0,0,-1,187
204,158,0,0,-1,175
205,133,0,0,-1,150
206,134,0,0,-1,151
207,135,0,0,-1,152
208,171,0,0,-1,188
209,159,0,0,-1,176
210,139,0,0,-1,153
213,172,0,0,-1,189
214,160,0,0,-1,177
215,139,0,0,-1,156
216,140,0,0,-1,157
217,141,0,0,-1,158
218,173,0,0,-1,190
219,161,0,0,-1,178
220,142,0,0,-1,159
221,143,0,0,-1,160
222,144,0,0,-1,161
223,174,0,0,-1,191
224,162,0,0,-1,179
225,145,0,0,-1,162
226,146,0,0,-1,163
227,147,0,0,-1,164
228,175,0,0,-1,192
230,148,0,0,-1,165
231,163,0,0,-1,180
232,149,0,0,-1,166
233,150,0,0,-1,167
234,176,0,0,-1,193
235,164,0,0,-1,181
236,151,0,0,-1,168
237,152,0,0,-1,169
238,153,0,0,-1,170
239,177,0,0,-1,194
240,165,0,0,-1,182
241,124,0,0,-1,195
242,106,0,1,-1,195
244,82,0,0,-1,196
246,83,0,1,-1,196
247,159,0,0,-1,197
248,178,0,1,-1,197
249,66,0,0,-1,198
250,135,0,1,-1,198
251,136,0,0,-1,199
252,179,0,1,-1,199
253,180,0,2,-1,199
254,98,0,0,-1,200
255,76,0,1,-1,200
256,99,0,2,-1,200
257,95,0,0,-1,201
258,71,0,1,-1,201
259,96,0,2,-1,201
260,142,0,0,-1,202
261,147,0,1,-1,202
262,181,0,2,-1,202
263,182,0,0,-1,203
264,183,0,1,-1,203
265,149,0,0,-1,204
266,184,0,1,-1,204
267,62,0,0,-1,205
268,61,0,1,-1,205
270,186,0,0,-1,206
271,68,0,0,-1,207
272,187,0,1,-1,207
273,100,0,0,-1,208
274,101,0,1,-1,208
275,188,0,0,-1,209
277,190,0,1,-1,209
278,160,0,0,-1,210
279,138,0,1,-1,210
280,191,0,2,-1,210
281,192,0,0,-1,211
282,193,0,1,-1,211
283,194,0,2,-1,211
284,163,0,0,-1,212
285,73,0,1,-1,212
286,196,0,0,-1,215
287,197,0,0,-1,213
288,152,0,1,-1,213
289,198,0,2,-1,213
290,199,0,0,-1,214
291,200,0,1,-1,214
292,201,0,2,-1,214
294,137,0,0,-1,154
295,138,0,0,-1,155
296,202,0,0,-1,217
297,203,0,0,-1,218
299,204,0,0,-1,219
300,205,0,0,-1,220
301,206,0,0,-1,221
302,207,0,0,-1,222
303,208,0,0,-1,223
305,209,0,0,-1,224
306,210,0,1,-1,224
308,51,0,0,-1,87
309,59,0,0,-1,65
311,211,0,0,-1,228
313,212,0,0,-1,229
314,213,0,0,-1,230
316,214,0,0,-1,231
317,215,0,0,-1,232
318,216,0,1,-1,232
320,4,0,0,-1,240
321,5,0,1,-1,240
322,4,0,0,-1,241
323,5,0,1,-1,241
326,217,0,0,-1,242
329,218,0,0,-1,243
331,219,0,0,-1,244
332,220,0,1,-1,244
335,221,0,0,-1,245
336,222,0,1,-1,245
337,223,0,0,-1,90
338,255,0,0,-1,254
339,257,0,1,-1,254
340,260,0,2,-1,254
341,247,0,0,-1,255
342,249,0,1,-1,255
343,253,0,2,-1,255
344,263,0,0,-1,256
345,267,0,1,-1,256
346,269,0,2,-1,256
347,281,0,0,-1,257
348,285,0,1,-1,257
349,289,0,2,-1,257
350,224,0,0,-1,258
351,229,0,1,-1,258
352,230,0,2,-1,258
353,232,0,0,-1,251
354,236,0,1,-1,251
355,238,0,2,-1,251
356,271,0,0,-1,253
357,276,0,1,-1,253
358,280,0,2,-1,253
359,284,0,0,-1,249
360,287,0,1,-1,249
361,290,0,2,-1,249
363,285,0,0,-1,265
364,287,0,1,-1,265
365,289,0,2,-1,265
366,233,0,0,-1,267
368,238,0,1,-1,267
369,265,0,0,-1,264
370,266,0,1,-1,264
371,268,0,2,-1,264
373,229,0,0,-1,266
374,230,0,1,-1,266
375,240,0,0,-1,268
376,241,0,1,-1,268
377,245,0,2,-1,268
378,273,0,0,-1,269
379,272,0,1,-1,269
380,274,0,2,-1,269
381,233,0,0,-1,259
382,235,0,1,-1,259
383,237,0,2,-1,259
384,242,0,0,-1,260
385,244,0,1,-1,260
386,245,0,2,-1,260
387,276,0,0,-1,261
388,277,0,1,-1,261
389,280,0,2,-1,261
390,256,0,0,-1,262
391,258,0,1,-1,262
392,261,0,2,-1,262
393,247,0,0,-1,263
394,250,0,1,-1,263
395,253,0,2,-1,263
396,242,0,0,-1,252
397,244,0,1,-1,252
398,246,0,2,-1,252
399,227,0,0,-1,250
400,228,0,1,-1,250
401,230,0,2,-1,250
402,262,0,0,-1,248
403,264,0,1,-1,248
404,269,0,2,-1,248
405,250,0,0,-1,247
406,252,0,1,-1,247
407,253,0,2,-1,247
408,1,0,0,-1,270
411,200,0,0,-1,275
412,201,0,1,-1,275
413,291,0,2,-1,275
414,292,0,0,-1,274
415,293,0,1,-1,274
416,295,0,0,-1,273
417,294,0,1,-1,273
418,296,0,2,-1,273
419,297,0,0,-1,272
420,298,0,0,-1,271
421,299,0,1,-1,271
422,300,0,0,-1,276
423,142,0,1,-1,276
424,301,0,2,-1,276
426,302,0,0,-1,277
427,303,0,1,-1,242
428,304,0,0,-1,278
430,306,0,0,-1,279
431,307,0,0,-1,280
432,308,0,1,-1,280
433,309,0,0,-1,281
434,310,0,1,-1,281
435,311,0,0,-1,282
436,312,0,0,-1,283
437,313,0,1,-1,283
438,4,0,0,-1,42
439,5,0,1,-1,42
441,314,0,0,-1,284
443,315,0,0,-1,285
445,317,0,0,-1,286
448,321,0,0,-1,287
449,322,0,0,-1,289
451,324,0,1,-1,289
452,325,0,0,-1,288
453,326,0,1,-1,288
455,346,0,0,-1,297
456,345,0,0,-1,305
457,347,0,1,-1,305
459,341,0,0,-1,298
460,339,0,0,-1,306
461,342,0,1,-1,306
462,341,0,0,-1,290
463,342,0,1,-1,290
465,350,0,0,-1,299
466,349,0,0,-1,307
467,351,0,1,-1,307
468,350,0,0,-1,291
469,351,0,1,-1,291
470,357,0,0,-1,300
472,359,0,0,-1,292
474,361,0,1,-1,292
475,358,0,0,-1,308
476,361,0,1,-1,308
477,327,0,0,-1,301
479,328,0,0,-1,309
480,329,0,1,-1,309
481,328,0,0,-1,293
482,330,0,1,-1,293
483,331,0,0,-1,294
484,332,0,1,-1,294
485,332,0,0,-1,310
486,333,0,1,-1,310
487,331,0,0,-1,302
488,334,0,1,-1,302
489,352,0,0,-1,296
490,353,0,1,-1,296
491,354,0,0,-1,312
492,356,0,1,-1,312
493,353,0,0,-1,304
494,355,0,1,-1,304
495,335,0,0,-1,311
496,338,0,1,-1,311
497,336,0,0,-1,303
498,337,0,1,-1,303
499,337,0,0,-1,295
500,338,0,1,-1,295
501,362,0,0,-1,321
502,363,0,1,-1,321
504,362,0,0,-1,313
505,363,0,1,-1,313
507,362,0,0,-1,325
508,363,0,1,-1,325
510,362,0,0,-1,317
511,363,0,1,-1,317
531,363,0,0,-1,327
534,363,0,0,-1,319
549,365,0,2,-1,321
550,365,0,2,-1,313
551,365,0,2,-1,325
552,365,0,2,-1,317
556,364,0,0,-1,314
557,366,0,1,-1,314
558,367,0,2,-1,314
559,364,0,0,-1,326
560,366,0,1,-1,326
561,367,0,2,-1,326
562,364,0,0,-1,318
563,366,0,1,-1,318
564,367,0,2,-1,318
565,364,0,0,-1,322
566,366,0,1,-1,322
567,367,0,2,-1,322
568,363,0,0,-1,323
569,367,0,1,-1,323
570,368,0,2,-1,323
571,363,0,0,-1,315
572,367,0,1,-1,315
573,368,0,2,-1,315
574,367,0,1,-1,327
575,368,0,2,-1,327
576,367,0,1,-1,319
577,368,0,2,-1,319
578,362,0,0,-1,324
579,365,0,1,-1,324
580,368,0,2,-1,324
581,362,0,0,-1,316
582,365,0,1,-1,316
583,368,0,2,-1,316
584,362,0,0,-1,328
585,365,0,1,-1,328
586,368,0,2,-1,328
587,362,0,0,-1,320
588,365,0,1,-1,320
589,368,0,2,-1,320
590,369,0,0,-1,329
591,370,0,0,-1,331
592,371,0,0,-1,330
593,89,0,0,-1,332
597,222,0,0,-1,334
598,372,0,1,-1,334
599,373,0,2,-1,334
600,374,0,0,-1,335
601,375,0,1,-1,335
602,376,0,0,-1,336
603,377,0,1,-1,336
608,382,0,0,-1,337
609,388,0,0,-1,338
610,383,0,1,-1,338
611,396,0,2,-1,338
612,385,0,0,-1,339
613,387,0,1,-1,339
614,398,0,2,-1,339
615,384,0,0,-1,340
616,389,0,1,-1,340
617,399,0,2,-1,340
618,386,0,0,-1,341
619,397,0,1,-1,341
620,387,0,2,-1,341
621,399,0,0,-1,342
622,398,0,1,-1,342
623,396,0,2,-1,342
627,395,0,0,-1,343
628,391,0,1,-1,343
629,400,0,2,-1,343
630,393,0,0,-1,344
631,394,0,1,-1,344
632,401,0,2,-1,344
633,402,0,0,-1,345
634,389,0,1,-1,345
635,403,0,2,-1,345
636,392,0,0,-1,346
637,390,0,1,-1,346
638,394,0,2,-1,346
639,403,0,0,-1,347
640,401,0,1,-1,347
641,400,0,2,-1,347
642,395,0,0,-1,348
