ID,HordeSpellID,AllianceSpellID,OrderIndex,GarrFollowerID
69,215850,215850,0,590
70,216153,216153,0,621
80,219210,219210,0,646
81,215976,215976,0,616
82,216090,216090,0,589
83,218534,218534,0,639
84,218603,218603,0,641
85,218965,218965,0,644
86,211945,211945,0,596
87,209162,209162,0,588
88,212145,212145,0,602
89,210924,210924,0,603
90,218154,218154,0,608
91,222542,222542,0,609
92,217896,217896,0,611
93,217849,217849,0,612
94,219578,219578,0,745
95,219995,219995,0,746
96,221625,221625,0,479
97,221713,221713,0,758
98,221742,221742,0,759
100,219699,219699,0,593
101,220814,220814,0,743
102,220125,220125,0,717
103,220906,220906,0,716
104,220212,220212,0,723
105,221282,221282,0,762
106,221496,221496,0,591
107,222177,222177,0,778
108,222070,222070,0,870
109,222080,222080,0,872
110,222094,222094,0,875
111,222112,222112,0,857
112,223309,223309,0,893
113,222204,222204,0,584
114,221757,221757,0,855
115,222357,222357,0,779
116,222619,222619,0,478
117,222820,222820,0,718
118,222842,222842,0,719
119,222827,222827,0,714
120,222928,222928,0,498
121,222952,222952,0,595
122,222931,222931,0,715
123,222964,222964,0,594
124,223137,223137,0,720
125,223132,223132,0,713
126,223543,223543,0,709
127,222365,222365,0,599
128,221463,221463,0,853
129,229258,229258,0,733
130,231701,231701,0,986
131,234816,234816,0,1001
132,234879,234880,0,989
133,234882,234882,0,997
134,234884,234884,0,992
135,234885,234886,0,988
136,234889,234889,0,1002
137,234890,234890,0,1000
138,234892,234892,0,998
139,234894,234894,0,995
140,234895,234895,0,994
141,234897,234897,0,996
142,234898,234898,0,999
143,234899,234899,0,990
144,234901,234901,0,1003
