ID,OccluderID,Sequence,LocationID
189258,21749,1,189266
189259,21749,2,189267
189260,21749,3,189268
189261,21749,4,189269
189262,21750,1,189270
189263,21750,2,189271
189264,21750,3,189272
189265,21750,4,189273
189689,21845,1,189697
189690,21845,2,189698
189691,21845,3,189699
189692,21845,4,189700
189693,21845,5,189701
189694,21845,6,189702
189695,21845,7,189703
189696,21846,1,189704
189697,21846,2,189705
189698,21846,3,189706
189699,21846,4,189707
189700,21846,5,189708
189701,21846,6,189709
189702,21846,7,189710
189703,21846,8,189711
189704,21847,1,189712
189705,21847,2,189713
189706,21847,3,189714
189707,21847,4,189715
189708,21847,5,189716
189709,21847,6,189717
189710,21848,1,189718
189711,21848,2,189719
189712,21848,3,189720
189713,21848,4,189721
189714,21849,1,189722
189715,21849,2,189723
189716,21849,3,189724
189717,21849,4,189725
189718,21850,1,189726
189719,21850,2,189727
189720,21850,3,189728
189721,21850,4,189729
189722,21851,1,189730
189723,21851,2,189731
189724,21851,3,189732
189725,21851,4,189733
189726,21852,1,189734
189727,21852,2,189735
189728,21852,3,189736
189729,21852,4,189737
189730,21853,1,189738
189731,21853,2,189739
189732,21853,3,189740
189733,21853,4,189741
189734,21854,1,189742
189735,21854,2,189743
189736,21854,3,189744
189737,21854,4,189745
189738,21855,1,189746
189739,21855,2,189747
189740,21855,3,189748
189741,21855,4,189749
189742,21856,1,189750
189743,21856,2,189751
189744,21856,3,189752
189745,21856,4,189753
189746,21857,1,189754
189747,21857,2,189755
189748,21857,3,189756
189749,21857,4,189757
189750,21858,1,189758
189751,21858,2,189759
189752,21858,3,189760
189753,21858,4,189761
189754,21859,1,189762
189755,21859,2,189763
189756,21859,3,189764
189757,21859,4,189765
189758,21859,5,189766
189759,21860,1,189767
189760,21860,2,189768
189761,21860,3,189769
189762,21860,4,189770
189763,21860,5,189771
189764,21861,1,189772
189765,21861,2,189773
189766,21861,3,189774
189767,21861,4,189775
189768,21862,1,189776
189769,21862,2,189777
189770,21862,3,189778
189771,21862,4,189779
189772,21863,1,189780
189773,21863,2,189781
189774,21863,3,189782
189775,21863,4,189783
189776,21864,1,189784
189777,21864,2,189785
189778,21864,3,189786
189779,21864,4,189787
189780,21865,1,189788
189781,21865,2,189789
189782,21865,3,189790
189783,21865,4,189791
189784,21865,5,189792
189785,21865,6,189793
189786,21865,7,189794
189787,21866,1,189795
189788,21866,2,189796
189789,21866,3,189797
189790,21866,4,189798
189791,21867,1,189799
189792,21867,2,189800
189793,21867,3,189801
189794,21867,4,189802
189795,21867,5,189803
189796,21867,6,189804
189797,21867,7,189805
189798,21868,1,189806
189799,21868,2,189807
189800,21868,3,189808
189801,21868,4,189809
189802,21868,5,189810
189803,21869,1,189811
189804,21869,2,189812
189805,21869,3,189813
189806,21869,4,189814
189807,21870,1,189815
189808,21870,2,189816
189809,21870,3,189817
189810,21870,4,189818
189811,21871,1,189819
189812,21871,2,189820
189813,21871,3,189821
189814,21871,4,189822
189815,21871,5,189823
189816,21871,6,189824
189817,21871,7,189825
189818,21872,1,189826
189819,21872,2,189827
189820,21872,3,189828
189821,21872,4,189829
189822,21872,5,189830
189823,21873,1,189831
189824,21873,2,189832
189825,21873,3,189833
189826,21873,4,189834
189827,21874,1,189835
189828,21874,2,189836
189829,21874,3,189837
189830,21874,4,189838
189831,21875,1,189839
189832,21875,2,189840
189833,21875,3,189841
189834,21875,4,189842
189835,21876,1,189843
189836,21876,2,189844
189837,21876,3,189845
189838,21876,4,189846
189839,21877,1,189847
189840,21877,2,189848
189841,21877,3,189849
189842,21877,4,189850
189843,21878,1,189851
189844,21878,2,189852
189845,21878,3,189853
189846,21878,4,189854
189847,21879,1,189855
189848,21879,2,189856
189849,21879,3,189857
189850,21879,4,189858
189851,21880,1,189859
189852,21880,2,189860
189853,21880,3,189861
189854,21880,4,189862
189855,21881,1,189863
189856,21881,2,189864
189857,21881,3,189865
189858,21881,4,189866
189859,21882,1,189867
189860,21882,2,189868
189861,21882,3,189869
189862,21882,4,189870
189863,21883,1,189871
189864,21883,2,189872
189865,21883,3,189873
189866,21883,4,189874
189867,21884,1,189875
189868,21884,2,189876
189869,21884,3,189877
189870,21884,4,189878
189871,21884,5,189879
189872,21885,1,189880
189873,21885,2,189881
189874,21885,3,189882
189875,21885,4,189883
189876,21886,1,189884
189877,21886,2,189885
189878,21886,3,189886
189879,21886,4,189887
189880,21887,1,189888
189881,21887,2,189889
189882,21887,3,189890
189883,21887,4,189891
189884,21888,1,189892
189885,21888,2,189893
189886,21888,3,189894
189887,21888,4,189895
189888,21888,5,189896
189889,21889,1,189897
