ID,GarrMechanicTypeID,Factor,GarrAbilityID
2,11,0,0
9,4,300,0
10,1,300,0
11,12,0,0
12,2,300,0
15,13,0,0
16,6,300,0
17,3,300,0
18,7,300,0
33,15,0,0
34,17,0,0
35,8,300,0
36,9,300,0
38,10,300,0
39,14,0,0
40,19,0,0
41,16,0,0
42,18,0,0
43,20,0,0
44,1,150,0
45,2,150,0
46,3,150,0
47,6,150,0
48,10,150,0
49,73,1000,0
50,80,300,0
51,79,300,0
52,77,300,0
53,78,300,0
54,76,1000,0
55,82,300,0
56,85,300,0
57,84,300,0
58,74,1000,0
59,75,1000,0
60,83,300,0
61,81,300,0
62,7,150,0
63,4,150,0
64,87,1000,0
65,9,300,0
66,88,300,0
67,8,150,0
87,110,0,428
88,111,0,0
89,112,0,0
94,115,0,428
96,109,900,482
97,114,900,482
98,113,900,482
99,121,0,437
100,122,100,436
102,115,0,437
103,110,0,437
104,121,0,428
105,121,0,471
108,121,0,472
109,110,0,472
112,110,0,471
113,115,0,472
116,115,0,471
117,115,900,436
118,121,900,436
119,110,900,436
120,257,785428,413
121,109,650,482
122,114,650,482
123,130,0,760
124,131,0,762
125,132,0,763
126,135,900,959
127,130,0,987
128,130,0,987
129,130,0,989
130,130,0,990
131,138,200,1073
134,141,0,1080
135,142,0,1046
136,139,0,0
138,147,200,1073
139,153,0,1140
140,148,0,1078
141,149,200,1073
142,150,0,1063
143,151,0,1053
144,143,100,1078
145,144,100,1078
146,142,100,1078
147,144,100,1079
148,144,100,1080
149,144,100,1081
150,144,100,1082
151,143,100,1079
152,143,100,1080
153,143,100,1081
154,143,100,1082
155,142,100,1079
156,142,100,1080
157,142,100,1081
158,142,100,1082
159,149,200,1073
160,154,0,1040
261,151,0,1263
262,256,0,1265
