ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.16037303,0.2579333,0.2672884,0.2672884,0.2672884,0.2672884,0.2672884
2,2,0.18710187,0.3009222,0.31183645,0.31183645,0.31183645,0.31183645,0.31183645
3,3,0.21383071,0.34391105,0.35638452,0.35638452,0.35638452,0.35638452,0.35638452
4,4,0.24055955,0.38689995,0.40093258,0.40093258,0.40093258,0.40093258,0.40093258
5,5,0.2672884,0.4298888,0.44548064,0.44548064,0.44548064,0.44548064,0.44548064
6,6,0.314146,0.50525147,0.5235767,0.5235767,0.5235767,0.5235767,0.5235767
7,7,0.3642952,0.5859081,0.60715866,0.60715866,0.60715866,0.60715866,0.60715866
8,8,0.4177053,0.6718094,0.6961755,0.6961755,0.6961755,0.6961755,0.6961755
9,9,0.4743496,0.7629123,0.79058266,0.79058266,0.79058266,0.79058266,0.79058266
10,10,0.5373632,0.8642591,0.8956053,0.8956053,0.8956053,0.8956053,0.8956053
11,11,0.60421103,0.97177273,1.0070183,1.0070183,1.0070183,1.0070183,1.0070183
12,12,0.67489177,1.0854509,1.1248196,1.1248196,1.1248196,1.1248196,1.1248196
13,13,0.74940443,1.2052921,1.2490073,1.2490073,1.2490073,1.2490073,1.2490073
14,14,0.82774806,1.3312948,1.3795801,1.3795801,1.3795801,1.3795801,1.3795801
15,15,0.90992194,1.4634578,1.5165366,1.5165366,1.5165366,1.5165366,1.5165366
16,16,0.9937892,1.5983443,1.6563153,1.6563153,1.6563153,1.6563153,1.6563153
17,17,1.0789275,1.735275,1.7982125,1.7982125,1.7982125,1.7982125,1.7982125
18,18,1.1649241,1.8735863,1.9415402,1.9415402,1.9415402,1.9415402,1.9415402
19,19,1.2513809,2.0126376,2.085635,2.085635,2.085635,2.085635,2.085635
20,20,1.3379188,2.1518192,2.2298646,2.2298646,2.2298646,2.2298646,2.2298646
21,21,1.3694047,2.2024593,2.2823412,2.2823412,2.2823412,2.2823412,2.2823412
22,22,1.3979967,2.2484446,2.3299944,2.3299944,2.3299944,2.3299944,2.3299944
23,23,1.4308529,2.3012884,2.384755,2.384755,2.384755,2.384755,2.384755
24,24,1.461144,2.3500066,2.43524,2.43524,2.43524,2.43524,2.43524
25,25,1.4889067,2.3946583,2.481511,2.481511,2.481511,2.481511,2.481511
26,26,1.5141953,2.4353309,2.5236588,2.5236588,2.5236588,2.5236588,2.5236588
27,27,1.5403836,2.4774504,2.567306,2.567306,2.567306,2.567306,2.567306
28,28,1.5675036,2.521068,2.612506,2.612506,2.612506,2.612506,2.612506
29,29,1.5955883,2.566238,2.659314,2.659314,2.659314,2.659314,2.659314
30,30,1.6246729,2.6130157,2.7077882,2.7077882,2.7077882,2.7077882,2.7077882
31,31,1.6547936,2.6614597,2.7579894,2.7579894,2.7579894,2.7579894,2.7579894
32,32,1.6859883,2.7116313,2.8099806,2.8099806,2.8099806,2.8099806,2.8099806
33,33,1.7182968,2.763594,2.863828,2.863828,2.863828,2.863828,2.863828
34,34,1.7352345,2.7908356,2.8920577,2.8920577,2.8920577,2.8920577,2.8920577
35,35,1.761262,2.8326964,2.9354367,2.9354367,2.9354367,2.9354367,2.9354367
36,36,1.7882671,2.8761296,2.9804451,2.9804451,2.9804451,2.9804451,2.9804451
37,37,1.8162824,2.9211874,3.0271373,3.0271373,3.0271373,3.0271373,3.0271373
38,38,1.8453419,2.9679248,3.0755699,3.0755699,3.0755699,3.0755699,3.0755699
39,39,1.8754815,3.0163994,3.1258025,3.1258025,3.1258025,3.1258025,3.1258025
40,40,1.9067384,3.0666711,3.1778975,3.1778975,3.1778975,3.1778975,3.1778975
41,41,1.939152,3.1188028,3.23192,3.23192,3.23192,3.23192,3.23192
42,42,1.9727628,3.1728604,3.287938,3.287938,3.287938,3.287938,3.287938
43,43,2.007614,3.2289124,3.3460233,3.3460233,3.3460233,3.3460233,3.3460233
44,44,2.0437498,3.2870312,3.4062498,3.4062498,3.4062498,3.4062498,3.4062498
45,45,2.0812175,3.3472915,3.4686959,3.4686959,3.4686959,3.4686959,3.4686959
46,46,2.1200657,3.4097724,3.533443,3.533443,3.533443,3.533443,3.533443
47,47,2.1603458,3.4745562,3.6005764,3.6005764,3.6005764,3.6005764,3.6005764
48,48,2.2021115,3.5417292,3.6701856,3.6701856,3.6701856,3.6701856,3.6701856
49,49,2.2454183,3.6113813,3.742364,3.742364,3.742364,3.742364,3.742364
50,50,2.2903256,3.6836069,3.8172092,3.8172092,3.8172092,3.8172092,3.8172092
51,51,2.3368943,3.7585049,3.8948238,3.8948238,3.8948238,3.8948238,3.8948238
52,52,2.3851888,3.8361785,3.9753146,3.9753146,3.9753146,3.9753146,3.9753146
53,53,2.4352765,3.9167364,4.058794,4.058794,4.058794,4.058794,4.058794
54,54,2.4872277,4.0002913,4.1453795,4.1453795,4.1453795,4.1453795,4.1453795
