ID,OrderIndex,FactionIndex,GarrAbilityID,GarrFollowerID
119,0,0,104,32
173,0,0,114,15
174,0,0,116,15
175,0,0,118,15
179,0,0,117,15
180,0,0,115,15
191,0,0,114,16
192,0,0,116,16
193,0,0,118,16
194,0,0,117,16
195,0,0,115,16
196,0,0,114,18
197,0,0,116,18
198,0,0,118,18
199,0,0,117,18
200,0,0,119,18
201,0,0,133,19
202,0,0,139,19
203,0,0,134,19
204,0,0,137,19
205,0,0,182,19
206,0,0,138,20
207,0,0,133,20
208,0,0,132,20
209,0,0,108,20
210,0,0,182,20
211,0,0,133,21
212,0,0,132,21
213,0,0,108,21
214,0,0,182,21
215,0,0,134,21
216,0,0,133,6
217,0,0,134,6
218,0,0,136,6
219,0,0,135,6
220,0,0,137,6
293,0,0,165,7
294,0,0,167,7
295,0,0,101,7
296,0,0,103,7
297,0,0,163,7
298,0,0,165,8
299,0,0,167,8
300,0,0,101,8
301,0,0,103,8
302,0,0,166,8
303,0,0,165,122
304,0,0,167,122
305,0,0,101,122
306,0,0,103,122
307,0,0,164,122
308,0,0,171,123
309,0,0,172,123
310,0,0,173,123
311,0,0,169,123
312,0,0,170,123
313,0,0,171,124
314,0,0,172,124
315,0,0,173,124
316,0,0,170,124
317,0,0,5,124
318,0,0,171,125
319,0,0,172,125
320,0,0,173,125
321,0,0,168,125
322,0,0,5,125
323,0,0,143,126
324,0,0,141,126
325,0,0,142,126
326,0,0,144,126
327,0,0,140,126
328,0,0,143,127
329,0,0,142,127
330,0,0,145,127
331,0,0,146,127
332,0,0,147,127
333,0,0,143,128
334,0,0,144,128
335,0,0,140,128
336,0,0,147,128
337,0,0,183,128
338,0,0,126,129
339,0,0,127,129
340,0,0,129,129
341,0,0,128,129
342,0,0,125,129
343,0,0,126,130
344,0,0,127,130
345,0,0,123,130
346,0,0,125,130
347,0,0,124,130
348,0,0,126,131
349,0,0,127,131
350,0,0,124,131
351,0,0,131,131
352,0,0,130,131
353,0,0,148,132
354,0,0,10,132
355,0,0,11,132
356,0,0,149,132
357,0,0,151,132
358,0,0,148,133
359,0,0,10,133
360,0,0,11,133
361,0,0,149,133
362,0,0,150,133
363,0,0,148,134
364,0,0,10,134
365,0,0,151,134
366,0,0,150,134
367,0,0,152,134
368,0,0,105,135
369,0,0,104,135
370,0,0,160,135
371,0,0,162,135
372,0,0,159,135
373,0,0,105,136
374,0,0,104,136
375,0,0,160,136
376,0,0,162,136
377,0,0,161,136
378,0,0,105,137
379,0,0,104,137
380,0,0,160,137
381,0,0,159,137
382,0,0,161,137
383,0,0,106,138
384,0,0,158,138
385,0,0,157,138
386,0,0,154,138
387,0,0,155,138
388,0,0,106,139
389,0,0,158,139
390,0,0,157,139
391,0,0,156,139
392,0,0,154,139
393,0,0,106,140
394,0,0,154,140
395,0,0,153,140
396,0,0,107,140
397,0,0,155,140
398,0,0,176,141
399,0,0,179,141
400,0,0,181,141
401,0,0,178,141
402,0,0,180,141
403,0,0,179,142
404,0,0,181,142
405,0,0,174,142
406,0,0,178,142
407,0,0,177,142
408,0,0,179,143
409,0,0,181,143
410,0,0,175,143
411,0,0,180,143
412,0,0,177,143
413,0,0,120,144
414,0,0,102,144
415,0,0,121,144
416,0,0,122,144
417,0,0,100,144
418,0,0,120,145
419,0,0,102,145
420,0,0,121,145
422,0,0,6,145
423,0,0,120,146
424,0,0,102,146
425,0,0,121,146
426,0,0,100,146
427,0,0,6,146
428,0,0,122,145
429,0,0,45,147
430,0,0,47,147
431,0,0,48,147
432,0,0,8,147
433,0,0,49,147
434,0,0,7,147
435,0,0,46,147
436,0,0,44,147
437,0,0,9,147
438,0,0,68,148
439,0,0,71,148
440,0,0,73,148
441,0,0,72,148
442,0,0,69,148
443,0,0,70,148
444,0,0,66,148
445,0,0,64,148
446,0,0,75,148
447,0,0,63,148
448,0,0,65,148
449,0,0,67,148
450,0,0,74,148
451,0,0,39,149
452,0,0,4,149
453,0,0,38,149
454,0,0,41,149
455,0,0,36,149
456,0,0,40,149
457,0,0,37,149
458,0,0,43,149
459,0,0,42,149
460,0,0,61,150
461,0,0,62,150
462,0,0,52,150
463,0,0,60,150
464,0,0,59,150
465,0,0,58,150
466,0,0,53,150
468,0,0,57,150
469,0,0,56,150
470,0,0,55,150
471,0,0,54,150
472,0,0,29,151
473,0,0,30,151
474,0,0,78,151
475,0,0,77,151
476,0,0,76,151
494,0,0,171,92
495,0,0,172,90
496,0,0,173,91
497,0,0,115,115
498,0,0,118,116
499,0,0,114,117
500,0,0,134,100
501,0,0,182,99
502,0,0,132,98
503,0,0,136,101
504,0,0,165,114
505,0,0,167,112
506,0,0,101,113
507,0,0,141,118
508,0,0,146,120
509,0,0,144,119
510,0,0,128,107
511,0,0,123,105
512,0,0,130,106
514,0,0,149,96
515,0,0,10,108
516,0,0,11,97
517,0,0,105,94
518,0,0,104,95
519,0,0,160,93
520,0,0,154,109
521,0,0,156,110
522,0,0,106,111
523,0,0,181,104
524,0,0,177,102
525,0,0,179,103
526,0,0,120,88
527,0,0,102,89
528,0,0,6,87
534,0,0,6,155
536,0,0,171,154
555,0,0,102,157
572,0,0,121,168
576,0,0,62,170
583,0,0,122,171
584,0,0,123,172
602,0,0,173,181
614,0,0,122,189
620,0,0,57,192
623,0,0,221,151
624,0,0,222,151
629,0,0,160,195
633,0,0,227,202
634,0,0,228,194
643,0,0,102,208
644,0,0,122,203
653,0,0,164,211
657,0,0,134,194
665,0,0,231,207
666,0,0,231,216
671,0,0,231,218
674,0,0,231,219
676,0,0,231,193
677,0,0,141,220
678,0,0,142,220
679,0,0,69,220
680,0,0,4,220
681,0,0,79,220
688,0,1,123,172
695,0,1,59,179
697,0,1,57,184
698,0,1,173,181
702,0,1,101,185
704,0,1,221,151
706,0,1,227,202
707,0,1,228,194
708,0,1,122,189
717,0,1,141,220
720,0,1,134,194
723,0,1,142,220
724,0,1,104,32
728,0,1,69,220
732,0,1,4,220
733,0,1,79,220
736,0,1,115,115
737,0,1,118,116
738,0,1,114,117
739,0,1,134,100
740,0,1,182,99
741,0,1,132,98
742,0,1,136,101
743,0,1,165,114
744,0,1,167,112
745,0,1,101,113
746,0,1,171,92
747,0,1,172,90
748,0,1,173,91
749,0,1,141,118
750,0,1,146,120
751,0,1,144,119
752,0,1,128,107
753,0,1,123,105
754,0,1,130,106
755,0,1,160,93
756,0,1,149,96
757,0,1,10,108
758,0,1,11,97
759,0,1,105,94
760,0,1,104,95
761,0,1,154,109
762,0,1,156,110
763,0,1,106,111
764,0,1,181,104
765,0,1,177,102
766,0,1,179,103
767,0,1,120,88
768,0,1,102,89
769,0,1,6,87
771,0,1,171,154
784,0,1,122,204
785,0,1,102,208
788,0,1,122,203
790,0,1,114,16
791,0,1,133,19
792,0,1,139,19
793,0,1,134,19
794,0,1,137,19
795,0,1,182,19
796,0,1,138,20
797,0,1,133,20
798,0,1,132,20
799,0,1,108,20
800,0,1,116,16
801,0,1,118,16
802,0,1,117,16
803,0,1,115,16
804,0,1,114,18
805,0,1,116,18
806,0,1,118,18
807,0,1,117,18
808,0,1,119,18
809,0,1,182,20
810,0,1,133,21
811,0,1,132,21
812,0,1,108,21
813,0,1,182,21
814,0,1,134,21
815,0,1,133,6
816,0,1,134,6
817,0,1,136,6
818,0,1,135,6
819,0,1,137,6
820,0,1,165,7
821,0,1,167,7
822,0,1,101,7
823,0,1,103,7
824,0,1,163,7
825,0,1,165,8
826,0,1,167,8
827,0,1,101,8
828,0,1,103,8
829,0,1,166,8
830,0,1,165,122
831,0,1,167,122
832,0,1,101,122
833,0,1,103,122
834,0,1,164,122
835,0,1,171,123
836,0,1,172,123
837,0,1,173,123
838,0,1,169,123
839,0,1,170,123
840,0,1,171,124
841,0,1,172,124
842,0,1,173,124
843,0,1,170,124
844,0,1,5,124
845,0,1,171,125
846,0,1,172,125
847,0,1,173,125
848,0,1,168,125
849,0,1,5,125
850,0,1,143,126
851,0,1,141,126
852,0,1,142,126
853,0,1,144,126
854,0,1,140,126
855,0,1,143,127
856,0,1,142,127
857,0,1,145,127
858,0,1,146,127
859,0,1,147,127
860,0,1,143,128
861,0,1,144,128
862,0,1,140,128
863,0,1,147,128
864,0,1,183,128
865,0,1,126,129
866,0,1,127,129
867,0,1,129,129
868,0,1,128,129
869,0,1,125,129
870,0,1,126,130
871,0,1,127,130
872,0,1,123,130
873,0,1,125,130
874,0,1,124,130
875,0,1,126,131
876,0,1,127,131
877,0,1,124,131
878,0,1,131,131
879,0,1,130,131
880,0,1,148,132
881,0,1,10,132
882,0,1,11,132
883,0,1,149,132
884,0,1,151,132
885,0,1,148,133
886,0,1,10,133
887,0,1,11,133
888,0,1,149,133
889,0,1,150,133
890,0,1,148,134
891,0,1,10,134
892,0,1,151,134
893,0,1,150,134
