ID,ProfessionID,ProfessionRatingID,Field_10_0_2_46259_002
1,2,6,75
2,2,1,100
3,2,2,100
4,2,3,100
5,2,4,100
6,2,5,100
7,2,7,100
8,4,1,100
9,4,2,100
10,4,3,100
11,4,4,100
12,4,5,100
13,4,6,75
14,4,7,100
15,10,1,100
16,10,2,100
17,10,3,100
18,10,4,100
19,10,5,100
20,10,6,75
21,10,7,100
22,9,1,100
23,9,2,100
24,9,3,100
25,9,4,100
26,9,5,100
27,9,6,75
28,9,7,100
29,5,1,100
30,5,2,100
31,5,3,100
32,5,4,100
33,5,5,100
34,5,6,75
35,5,7,100
36,14,1,100
37,14,2,100
38,14,3,100
39,14,4,100
40,14,5,100
41,14,6,75
42,14,7,100
43,13,1,100
44,13,2,100
45,13,3,100
46,13,4,100
47,13,5,100
48,13,6,75
49,13,7,100
50,3,1,100
51,3,2,100
52,3,3,100
53,3,4,100
54,3,5,100
55,3,6,75
56,3,7,100
57,7,2,100
58,7,3,100
59,7,4,100
60,7,1,100
61,7,5,100
62,7,6,75
63,7,7,100
64,12,1,100
65,12,2,100
66,12,3,100
67,12,4,100
68,12,5,100
69,12,6,75
70,12,7,100
71,8,1,100
72,8,2,100
73,8,3,100
74,8,4,100
75,8,5,100
76,8,6,75
77,8,7,100
78,6,1,100
79,6,2,100
80,6,3,100
81,6,4,100
82,6,5,100
83,6,6,75
84,6,7,100
85,11,1,100
86,11,2,100
87,11,3,100
88,11,4,100
89,11,5,100
90,11,6,75
91,11,7,100
