ID,ItemLevel
118,5
724,15
733,15
787,10
858,13
929,22
1017,25
1082,15
1113,15
1114,25
1251,1
1253,8
1254,28
1450,25
1487,35
1710,31
2136,25
2288,15
2300,12
2302,8
2303,10
2304,5
2305,6
2306,6
2307,18
2308,15
2309,15
2310,13
2311,13
2312,15
2313,15
2314,24
2315,20
2316,22
2317,20
2318,10
2319,20
2454,5
2455,15
2456,15
2457,12
2458,12
2459,15
2460,15
2518,8
2568,8
2569,13
2570,6
2572,10
2575,10
2576,7
2577,10
2578,14
2579,14
2580,12
2581,1
2582,17
2583,19
2584,16
2585,21
2587,20
2679,10
2680,10
2681,10
2682,10
2683,15
2684,15
2685,25
2687,15
2756,1
2757,1
2758,1
2759,1
2840,10
2841,20
2842,10
2844,9
2845,9
2847,10
2848,22
2849,23
2850,24
2851,11
2852,10
2853,7
2854,19
2857,18
2862,5
2863,15
2864,18
2865,21
2866,23
2867,23
2868,25
2869,26
2870,29
2871,25
2888,10
2892,30
2893,38
2895,22
2896,34
2927,40
2996,10
2997,25
3034,35
3220,15
3239,5
3240,15
3241,25
3369,24
3382,8
3383,20
3384,22
3385,24
3386,55
3387,50
3388,25
3389,26
3390,28
3391,30
3469,10
3470,10
3471,10
3472,12
3473,13
3474,15
3478,20
3480,22
3481,25
3482,26
3483,27
3484,29
3485,30
3486,25
3487,19
3488,13
3489,17
3490,25
3491,25
3492,30
3530,1
3531,1
3575,30
3576,20
3577,30
3662,15
3663,10
3664,25
3665,25
3666,25
3719,30
3726,15
3727,25
3728,35
3729,25
3772,35
3775,20
3776,50
3823,33
3824,34
3825,35
3826,36
3827,32
3828,39
3829,40
3835,33
3836,34
3837,38
3840,32
3841,35
3842,31
3843,34
3844,36
3845,40
3846,37
3847,40
3848,20
3849,32
3850,35
3851,31
3852,34
3853,36
3854,40
3855,37
3856,40
3859,35
3860,40
3928,45
4231,10
4233,20
4234,30
4236,30
4237,10
4238,5
4239,13
4240,15
4241,15
4242,15
4243,17
4244,20
4245,25
4246,16
4247,29
4248,26
4249,25
4250,25
4251,26
4252,28
4253,27
4254,30
4255,31
4256,35
4257,32
4258,34
4259,36
4260,39
4262,37
4264,40
4265,30
4304,40
4305,35
4307,10
4308,12
4309,14
4310,17
4311,21
4312,16
4313,20
4314,22
4315,24
4316,22
4317,25
4318,26
4319,29
4320,25
4321,28
4322,33
4323,34
4324,30
4325,35
4326,37
4327,40
4328,36
4329,40
4330,22
4331,25
4332,27
4333,31
4334,34
4335,37
4336,40
4339,45
4343,10
4344,7
4357,5
4358,10
4359,8
4360,14
4361,10
4362,10
4363,13
4364,15
4365,20
4366,17
4367,20
4368,20
4369,21
4370,26
4371,21
4372,24
4373,24
4374,29
4375,25
4376,25
4377,25
4378,30
4379,26
4380,33
4381,28
4382,29
4383,29
4384,30
4385,30
4386,31
4387,32
4388,32
4389,34
4390,35
4391,35
4392,37
4393,37
4394,43
4395,39
4396,40
4397,40
4398,40
4401,15
4403,33
4404,18
4405,12
4406,22
4407,36
4455,33
4456,33
4457,35
4592,15
4593,25
4594,35
4596,15
4623,43
4703,1
4852,37
5060,15
5081,5
5095,15
5105,20
5172,30
5184,1
5232,18
5237,24
5349,5
5350,5
5455,1
5462,1
5472,10
5473,10
5474,10
5476,15
5477,10
5478,25
5479,15
5480,25
5507,27
5509,34
5510,46
5511,22
5512,10
5513,38
5514,28
5517,18
5518,30
5522,36
5525,10
5526,15
5527,25
5530,34
5540,23
5541,28
5542,19
5631,14
5632,25
5633,35
5634,30
5639,1
5645,1
5646,1
5654,24
5739,38
5762,5
5763,15
5764,25
5765,25
5766,27
5770,30
5780,18
5781,19
5782,34
5783,38
5868,1
5957,10
5958,21
5961,23
5962,32
5963,34
5964,35
5965,37
5966,38
5996,18
5997,5
6037,50
6038,35
6040,37
6041,38
6042,30
6043,33
6048,27
6049,33
6050,38
6051,20
6052,38
6149,41
6182,10
6214,16
6217,5
6218,5
6219,10
6238,10
6239,12
6240,12
6241,10
6242,14
6243,18
6263,20
6264,23
6265,10
6290,10
6316,15
6338,20
6339,20
6350,18
6370,15
6371,25
6372,20
6373,28
6384,25
6385,25
6450,1
6451,1
6452,16
6453,26
6466,18
6467,21
6468,23
6533,30
6635,1
6657,10
6662,18
6709,18
6712,20
6714,25
6730,16
6731,20
6733,28
6786,10
6787,22
6795,32
6796,35
6866,12
6887,45
6888,10
6890,10
6947,20
6948,1
6949,28
6950,36
6951,38
7026,9
7027,28
7046,28
7047,29
7048,29
7049,30
7050,32
7051,34
7052,35
7053,35
7054,38
7055,35
7056,36
7057,36
7058,37
7059,38
7060,38
7061,39
7062,39
7063,41
7064,42
7065,33
7068,25
7071,30
7076,55
7078,55
7080,55
7082,55
7134,1
7135,1
7148,33
7166,11
7189,45
7190,26
7206,1
7268,1
7276,9
7277,9
7278,5
7279,5
7280,11
7281,14
7282,19
7283,20
7284,24
7285,24
7348,25
7349,27
7352,27
7358,28
7359,29
7371,35
7372,35
7373,33
7374,35
7375,35
7377,36
7378,37
7386,38
7387,39
7390,40
7391,40
7506,25
7586,1
7676,15
7733,1
7769,1
7770,1
7771,1
7867,1
7913,32
7914,32
7915,35
7916,36
7917,37
7918,41
7919,41
7920,42
7921,42
7922,43
7924,43
7925,44
7926,44
7927,44
7928,45
7929,42
7930,46
7931,46
7932,47
7933,47
7934,47
7935,48
7936,49
7937,49
7938,45
7939,49
7941,42
7942,44
7943,45
7944,48
7945,46
7946,49
7947,51
7954,47
7955,11
7956,25
7957,26
7958,27
7959,50
7960,52
7961,49
7963,40
7964,35
7965,35
7966,35
7967,43
7969,43
7970,1
8007,48
8008,58
8051,1
8067,10
8068,20
8069,35
8075,45
8076,55
8077,45
8078,55
8079,65
8095,1
8170,50
8172,40
8173,40
8174,40
8175,41
8176,41
8185,47
8187,41
8189,42
8191,46
8192,42
8193,46
8195,46
8197,47
8198,42
8200,43
8201,44
8202,47
8203,44
8204,45
8205,44
8206,49
8207,48
8208,50
8209,47
8210,44
8211,45
8212,50
8213,49
8214,45
8215,50
8216,48
8217,45
8218,45
8345,45
8346,46
8347,45
8348,50
8349,50
8364,35
8367,51
8432,1
8544,1
8545,1
8546,50
8585,1
8708,50
8827,34
8926,44
8927,52
8928,60
8949,37
8951,39
8956,41
8957,55
8984,46
8985,54
9030,42
9036,42
9060,42
9061,42
9088,48
9144,45
9149,45
9154,46
9155,47
9172,47
9173,1
9179,47
9186,52
9187,48
9197,48
9206,48
9210,49
9224,50
9233,50
9240,1
9254,40
9264,50
9280,1
9281,1
9282,1
9284,1
9306,1
9307,1
9312,20
9313,20
9316,1
9318,20
9319,1
9330,1
9365,1
9366,41
9372,55
9379,50
9380,50
9421,58
9425,44
9438,1
9440,1
9441,1
9593,1
9594,1
9595,1
9596,1
9597,1
9718,38
9998,41
9999,41
10001,42
10002,42
10003,43
10004,43
10007,43
10008,43
10009,43
10010,44
10011,44
10018,45
10019,45
10020,45
10021,45
10023,45
10024,46
10025,49
10026,46
10027,46
10028,47
10029,47
10030,48
10031,48
10032,48
10033,48
10034,1
10035,35
10036,35
10038,49
10039,50
10040,35
10041,50
10042,45
10044,49
10045,7
10046,9
10047,15
10048,19
10050,35
10051,35
10052,40
10053,47
10054,46
10055,47
10056,43
10421,10
10423,31
10464,1
10498,35
10499,35
10500,41
10501,44
10502,43
10503,46
10504,49
10505,35
10506,46
10507,35
10508,41
10510,44
10512,42
10513,49
10514,43
10515,1
10518,45
10542,41
10543,41
10545,42
10546,42
10548,48
10558,30
10559,39
10560,40
10561,43
10562,47
10576,50
10577,41
10579,42
10580,43
10585,44
10586,45
10587,46
10588,47
10589,48
10592,40
10644,42
10645,48
10646,41
10662,50
10691,1
10692,1
10693,1
10694,1
10713,40
10716,41
10719,41
10720,42
10721,43
10723,44
10724,45
10725,46
10726,47
10727,48
10818,50
10841,35
10918,32
10920,40
10921,48
10922,56
10938,10
10939,15
10998,20
11024,1
11082,25
11128,30
11130,30
11131,1
11134,30
11135,35
11144,40
11145,40
11149,1
11174,40
11175,45
11184,1
11185,1
11186,1
11188,1
11230,1
11270,1
11282,1
11283,1
11286,1
11287,15
11288,23
11289,31
11320,1
11371,50
11413,1
11470,1
11482,1
11511,1
11522,1
11582,1
11590,40
11604,59
11605,58
11606,56
11607,57
11608,55
11811,55
11825,41
11826,41
11947,1
11949,1
11950,55
11951,55
11952,55
11954,1
12144,1
12190,45
12209,25
12210,25
12212,45
12213,15
12214,25
12215,35
12216,35
12217,35
12218,45
12224,10
12241,1
12259,36
12260,39
12263,1
12347,1
12349,1
12359,50
12360,55
12368,1
12384,1
12404,45
12405,50
12406,50
12408,51
12409,56
12410,56
12414,60
12415,54
12416,52
12417,59
12418,57
12419,58
12420,61
12422,60
12424,53
12425,54
12426,59
12427,59
12428,53
12429,61
12442,1
12443,1
12563,1
12567,1
12610,60
12611,60
12612,61
12613,62
12614,62
12618,63
12619,63
12620,62
12624,54
12625,58
12628,57
12631,58
12632,59
12633,60
12636,61
12639,62
12640,61
12641,63
12643,45
12644,45
12645,55
12655,55
12723,1
12764,52
12769,54
12772,54
12773,55
12774,55
12775,56
12776,56
12777,56
12779,57
12781,57
12782,58
12783,63
12784,63
12790,63
12792,58
12794,63
12795,60
12796,63
12797,63
12798,63
12802,60
12803,55
12808,55
12810,55
12846,1
12847,1
12885,1
12907,1
13155,1
13159,1
13209,61
13370,1
13423,50
13442,51
13443,51
13444,59
13445,53
13446,55
13447,44
13452,56
13453,55
13454,57
13455,56
13456,58
13457,58
13458,58
13459,58
13460,58
13461,58
13462,57
13503,50
13506,60
13510,60
13511,60
13512,60
13513,60
13544,60
13582,20
13583,20
13602,48
13603,60
13699,36
13700,46
13701,56
13851,35
13856,51
13857,52
13858,52
13860,53
13863,55
13864,56
13865,57
13866,59
13867,61
13868,51
13869,51
13870,53
13871,56
13927,45
13928,45
13929,45
13930,45
13931,45
13932,45
13933,55
13934,55
13935,55
14042,52
14043,54
14044,55
14045,56
14046,52
14048,55
14100,54
14101,54
14103,55
14104,58
14106,61
14107,55
14108,57
14111,58
14112,62
14128,60
14130,61
14132,55
14134,55
14136,57
14137,58
14138,60
14139,61
14140,62
14141,55
14142,54
14143,53
14144,58
14146,62
14152,62
14153,62
14154,62
14155,60
14156,62
14339,1
14342,55
14529,52
14530,58
14645,1
14894,51
15045,52
15046,54
15047,61
15048,57
15049,59
15050,58
15051,60
15052,62
15053,57
15054,54
15055,61
15056,57
15057,55
15058,59
15059,60
15060,57
15061,54
15062,60
15063,58
15064,55
15065,57
15066,58
15067,54
15068,62
15069,57
15070,59
15071,55
15072,56
15073,55
15074,53
15075,58
15076,53
15077,51
15078,55
15079,57
15080,59
15081,61
15082,56
15083,52
15084,53
15085,61
15086,56
15087,58
15088,60
15090,62
15091,54
15092,55
15093,56
15094,58
15095,60
15096,62
15138,60
15141,62
15209,1
15407,50
15409,50
15448,1
15564,50
15802,56
15843,1
15845,1
15846,50
15869,20
15870,30
15871,40
15872,55
15875,1
15885,1
15992,50
15993,52
15994,52
15995,52
15996,53
15997,57
15999,54
16000,39
16004,55
16005,57
16006,58
16007,61
16008,58
16009,58
16022,60
16023,55
16040,60
16202,50
16203,55
16206,55
16207,58
16309,63
16642,1
16643,1
16644,1
16766,45
16787,1
16892,30
16893,40
16895,50
16896,60
16973,1
16979,62
16980,61
16982,59
16983,60
16984,61
16988,62
16989,59
17013,60
17014,59
17015,65
17016,65
17126,1
17182,80
17191,1
17193,67
17197,10
17198,10
17202,5
17222,45
17224,1
17323,1
17324,1
17325,1
17333,1
17353,1
17362,1
17363,1
17364,1
17442,1
17505,1
17506,1
17507,1
17690,60
17691,60
17696,1
17704,38
17708,38
17716,38
17721,38
17723,40
17735,1
17758,1
17771,60
17781,1
17900,60
17901,60
17902,60
17903,60
17904,60
17905,60
17906,60
17907,60
17908,60
17909,60
17967,60
17968,60
18045,45
18151,1
18168,65
18232,60
18238,40
18251,60
18253,60
18254,45
18258,55
18262,60
18263,64
18282,65
18283,60
18294,45
18405,62
18407,62
18408,62
18409,62
18413,62
18486,61
18492,1
18504,62
18506,62
18508,62
18509,62
18510,62
18511,62
18513,1
18540,1
18582,100
18583,100
18584,100
18587,53
18588,40
18594,55
18597,10
18598,10
18608,75
18628,60
18631,50
18634,52
18637,55
18638,58
18639,60
18640,1
18641,45
18642,1
18643,1
18645,53
18660,50
18662,1
18713,75
18715,75
18769,60
18770,60
18771,60
18775,1
18799,1
18948,32
18984,55
18986,52
19004,10
19005,10
19006,22
19007,22
19008,34
19009,34
19010,46
19011,46
19012,58
19013,58
19016,70
19026,50
19043,58
19044,58
19047,58
19048,61
19049,61
19050,61
19051,58
19052,58
19056,58
19057,61
19058,61
19059,61
19148,66
19149,66
19156,66
19157,70
19162,70
19163,70
19164,70
19165,70
19166,66
19167,66
19168,70
19169,70
19170,70
19213,1
19228,1
19257,1
19267,1
19277,1
19322,1
19422,1
19440,58
19450,35
19574,60
19575,60
19576,68
19577,65
19579,60
19585,60
19586,68
19588,65
19591,60
19592,60
19593,68
19594,65
19598,60
19599,60
19600,68
19601,65
19602,60
19603,60
19604,68
19605,65
19606,60
19607,60
19608,68
19609,65
19610,60
19611,60
19612,68
