ID,Component,Color,FileDataID,EmblemID
24493,3,0,180399,0
24494,4,0,180398,0
24495,3,1,180401,0
24496,4,1,180400,0
24497,3,2,180403,0
24498,4,2,180402,0
24499,3,3,180405,0
24500,4,3,180404,0
24501,3,4,180407,0
24502,4,4,180406,0
24503,3,5,180409,0
24504,4,5,180408,0
24505,3,6,180411,0
24506,4,6,180410,0
24507,3,7,180413,0
24508,4,7,180412,0
24509,3,8,180415,0
24510,4,8,180414,0
24511,3,9,180417,0
24512,4,9,180416,0
24513,3,10,180419,0
24514,4,10,180418,0
24515,3,11,180421,0
24516,4,11,180420,0
24517,3,12,180423,0
24518,4,12,180422,0
24519,3,13,180425,0
24520,4,13,180424,0
24521,3,14,180427,0
24522,4,14,180426,0
24523,3,15,180429,0
24524,4,15,180428,0
24525,3,16,180431,0
24526,4,16,180430,0
24527,3,0,180433,1
24528,4,0,180432,1
24529,3,1,180435,1
24530,4,1,180434,1
24531,3,2,180437,1
24532,4,2,180436,1
24533,3,3,180439,1
24534,4,3,180438,1
24535,3,4,180441,1
24536,4,4,180440,1
24537,3,5,180443,1
24538,4,5,180442,1
24539,3,6,180445,1
24540,4,6,180444,1
24541,3,7,180447,1
24542,4,7,180446,1
24543,3,8,180449,1
24544,4,8,180448,1
24545,3,9,180451,1
24546,4,9,180450,1
24547,3,10,180453,1
24548,4,10,180452,1
24549,3,11,180455,1
24550,4,11,180454,1
24551,3,12,180457,1
24552,4,12,180456,1
24553,3,13,180459,1
24554,4,13,180458,1
24555,3,14,180461,1
24556,4,14,180460,1
24557,3,15,180463,1
24558,4,15,180462,1
24559,3,16,180465,1
24560,4,16,180464,1
24561,3,0,180467,2
24562,4,0,180466,2
24563,3,1,180469,2
24564,4,1,180468,2
24565,3,2,180471,2
24566,4,2,180470,2
24567,3,3,180473,2
24568,4,3,180472,2
24569,3,4,180475,2
24570,4,4,180474,2
24571,3,5,180477,2
24572,4,5,180476,2
24573,3,6,180479,2
24574,4,6,180478,2
24575,3,7,180481,2
24576,4,7,180480,2
24577,3,8,180483,2
24578,4,8,180482,2
24579,3,9,180485,2
24580,4,9,180484,2
24581,3,10,180487,2
24582,4,10,180486,2
