ID,CurrencyTypeID,ItemID,CostScaling,Flags,PlayerConditionID,ConditionalCostScaling,ItemGroupIlvlScalingID
1,2245,0,0.5,0,0,1,2
2,2245,0,0.1,2,0,1,2
3,2245,0,5,1,0,1,2
4,2245,0,0.5,1,0,1,1
5,0,204195,0,0,0,1,1
6,0,204196,0,0,0,1,1
7,0,204194,0,0,0,1,1
8,0,204193,0,0,0,1,1
9,2706,0,0,0,0,1,3
10,2709,0,0,0,0,1,3
11,2708,0,0,0,0,1,3
12,2707,0,0,0,0,1,3
13,2245,0,0.5,1,0,1,3
14,2245,0,0.5,1,0,1,5
15,2807,0,0,0,0,1,5
16,2809,0,0,0,0,1,5
17,2812,0,0,0,0,1,5
18,2806,0,0,0,0,1,5
19,2778,0,0.05,0,0,1,6
20,3008,0,0.5,1,0,1,4
21,2914,0,0,0,129099,0.66,4
22,2915,0,0,0,129100,0.66,4
23,2916,0,0,0,129101,0.66,4
24,2917,0,0,0,129102,0.66,4
30,3008,0,0.5,3,0,1,4
