ID,Field_10_2_0_51685_000,ItemFixupID
1,0,1
7,2,2
17,0,4
18,0,5
19,0,6
20,0,7
21,0,8
22,0,9
23,0,10
24,0,11
25,0,12
26,0,13
27,3,14
28,3,15
29,1,14
30,1,14
31,1,15
32,3,16
34,3,18
35,1,18
36,1,18
37,3,19
38,1,19
39,4,20
40,4,20
41,0,21
42,0,21
44,2,23
45,2,25
46,1,27
47,0,27
48,0,28
49,1,29
50,1,29
51,0,29
52,0,29
53,1,30
54,0,30
55,0,30
56,1,31
57,1,31
58,0,31
59,0,31
60,1,30
61,1,30
62,1,30
63,1,31
64,1,31
65,1,31
66,1,32
67,0,32
68,1,33
69,0,33
70,1,34
71,0,34
72,1,35
73,1,35
74,0,35
75,0,35
76,1,36
77,1,36
78,0,36
79,0,36
80,1,37
81,1,37
83,1,37
84,1,37
85,0,37
86,0,37
87,1,38
88,1,38
90,1,38
91,1,38
92,0,38
93,1,39
94,1,39
95,0,39
96,0,39
97,1,40
98,1,40
99,0,40
100,0,40
101,1,41
102,0,41
103,1,42
104,0,42
105,0,38
106,1,43
107,0,43
108,1,44
109,0,44
110,1,45
111,0,45
112,1,46
113,0,46
114,0,47
115,0,48
116,1,49
117,0,49
118,1,50
119,1,50
120,1,50
121,1,50
122,1,50
123,1,50
124,1,50
125,1,50
126,1,50
127,1,50
128,1,50
129,1,50
130,1,50
131,1,50
132,1,50
133,0,51
134,0,52
135,0,52
136,0,53
137,0,54
138,0,55
139,0,56
140,0,56
141,1,57
142,1,57
143,0,63
144,0,64
145,1,65
146,1,65
148,1,71
149,1,71
150,1,72
151,1,72
152,1,73
153,1,73
154,1,73
155,1,73
156,1,73
157,1,73
158,1,73
159,1,73
160,1,73
161,1,73
162,1,73
163,1,73
164,1,73
165,1,73
166,1,73
167,1,73
168,1,73
169,1,73
170,1,73
171,1,73
172,1,73
173,1,73
174,1,73
175,1,73
176,1,73
177,1,73
178,1,73
179,1,73
180,1,73
181,1,73
182,1,73
183,1,73
184,1,73
185,1,73
186,1,73
187,1,73
188,1,73
189,1,73
190,1,73
191,1,73
192,1,73
193,1,73
194,0,74
195,0,74
196,0,75
199,0,78
200,0,78
201,0,79
202,0,79
203,0,80
204,0,80
205,0,81
206,0,82
207,0,83
208,0,84
209,0,85
211,0,82
212,0,83
213,0,84
214,0,85
215,0,86
216,0,87
217,0,84
218,0,88
219,0,88
220,0,88
221,0,89
222,0,89
223,0,89
224,0,90
225,0,90
226,0,90
227,0,91
228,0,92
229,1,93
230,1,94
231,1,94
232,1,94
233,0,95
234,0,95
238,1,97
239,1,98
