ID,MapID,BattlemasterListID
829,30,1
830,489,2
831,529,3
832,559,4
833,562,5
834,559,6
835,562,6
836,572,6
837,617,6
838,566,7
839,572,8
840,607,9
841,617,10
842,618,11
843,628,30
844,30,32
845,489,32
846,529,32
847,566,32
848,607,32
849,628,32
850,761,32
851,726,32
852,529,100
853,726,100
854,761,100
855,489,100
856,968,100
857,529,101
858,566,101
859,607,101
860,628,102
861,30,102
862,726,108
863,761,120
865,968,656
866,2118,1089
867,2755,1116
868,728,1121
1135,727,708
1136,998,699
1137,1105,754
1138,1134,757
1139,980,719
1152,1010,706
1153,1105,100
1154,727,100
1155,998,100
1156,727,32
1157,998,32
1158,1105,32
1159,1134,6
1160,980,6
