ID,LuaConstantName,Color
1,NORMAL_FONT_COLOR,-12032
2,WHITE_FONT_COLOR,-1
3,HIGHLIGHT_FONT_COLOR,-1
4,RED_FONT_COLOR,-57312
5,DIM_RED_FONT_COLOR,-3401447
6,DULL_RED_FONT_COLOR,-4250074
7,BLUE_FONT_COLOR,-16728077
8,GREEN_FONT_COLOR,-15073511
9,GRAY_FONT_COLOR,-8355712
10,YELLOW_FONT_COLOR,-256
11,LIGHTYELLOW_FONT_COLOR,-103
12,DARKYELLOW_FONT_COLOR,-12032
13,ORANGE_FONT_COLOR,-32704
14,PASSIVE_SPELL_FONT_COLOR,-3890432
15,BATTLENET_FONT_COLOR,-8206849
16,TRANSMOGRIFY_FONT_COLOR,-32513
17,DISABLED_FONT_COLOR,-8355712
18,WARNING_FONT_COLOR,-47104
19,BRIGHTBLUE_FONT_COLOR,-10044417
20,LIGHTBLUE_FONT_COLOR,-7885825
21,LIGHTGRAY_FONT_COLOR,-6710887
22,GOLD_FONT_COLOR,-858471
23,PAPER_FRAME_EXPANDED_COLOR,-1193570
24,PAPER_FRAME_COLLAPSED_COLOR,-2905994
25,PAPER_FRAME_DARK_COLOR,-12573179
26,PAPER_FRAME_TITLE_COLOR,-13303808
27,PAPER_FRAME_TEXT_COLOR,-13303808
28,INVALID_EQUIPMENT_COLOR,-6815744
29,ACTIONBAR_HOTKEY_FONT_COLOR,-3355444
30,PURE_RED_COLOR,-3407872
31,ARTIFACT_BAR_COLOR,-1651559
32,WARBOARD_OPTION_TEXT_COLOR,-12122875
33,DEFAULT_CHAT_CHANNEL_COLOR,-16192
34,DIM_GREEN_FONT_COLOR,-12533696
35,BLACK_FONT_COLOR,-16777216
36,LINK_FONT_COLOR,-10044417
37,SEPIA_COLOR,-7315416
38,HIGHLIGHT_LIGHT_BLUE,-12676609
39,CORRUPTION_COLOR,-6984239
40,LORE_TEXT_BODY_COLOR,-3488067
41,RARE_MISSION_COLOR,-16776374
42,TUTORIAL_FONT_COLOR,-3355444
43,DARKGRAY_COLOR,-10066330
44,SCENARIO_STAGE_COLOR,-5714
45,SCENARIO_SUBTITLE_COLOR,-11167
46,CHALLENGE_MODE_TOAST_TITLE_COLOR,-2175844
47,TRADESKILL_EXPERIENCE_COLOR,-10813663
48,SUBSCRIPTION_INTERSTITIAL_COLOR,-2501170
49,GLUE_DIALOG_FONT_COLOR,-13303808
50,NEW_FEATURE_SHADOW_COLOR,-11370241
51,QUEST_OBJECTIVE_FONT_COLOR,-3355444
52,QUEST_OBJECTIVE_HIGHLIGHT_FONT_COLOR,-1
53,QUEST_OBJECTIVE_DISABLED_FONT_COLOR,-8421505
54,QUEST_OBJECTIVE_DISABLED_HIGHLIGHT_FONT_COLOR,-6710887
55,AREA_NAME_FONT_COLOR,-5438
56,AREA_DESCRIPTION_FONT_COLOR,-1
57,INVASION_FONT_COLOR,-3670272
58,INVASION_DESCRIPTION_FONT_COLOR,-2039
59,FACTION_RED_COLOR,-3388104
60,FACTION_ORANGE_COLOR,-4242176
61,FACTION_YELLOW_COLOR,-1658112
62,FACTION_GREEN_COLOR,-16738022
63,FRIENDS_BNET_NAME_COLOR,-8206849
64,FRIENDS_BNET_BACKGROUND_COLOR,201377264
65,FRIENDS_WOW_NAME_COLOR,-73380
66,FRIENDS_WOW_BACKGROUND_COLOR,218092032
67,FRIENDS_GRAY_COLOR,-8616822
68,FRIENDS_OFFLINE_BACKGROUND_COLOR,210866577
