ID,ChrRaceID,Gender,InventoryType,Variation,UiCameraID
12,1,0,3,0,221
13,1,0,5,0,674
14,1,0,10,0,226
15,1,0,8,0,227
16,1,0,7,0,228
17,1,0,4,0,229
18,1,0,19,0,230
19,1,0,6,0,234
20,1,0,16,0,235
21,1,0,1,0,236
22,1,0,9,0,237
24,1,1,1,0,274
25,1,1,3,0,275
26,1,1,16,0,276
27,1,1,5,0,278
28,1,1,4,0,278
29,1,1,19,0,279
30,1,1,9,0,280
31,1,1,10,0,281
32,1,1,6,0,282
33,1,1,7,0,283
34,1,1,8,0,284
35,24,0,1,0,285
36,24,0,3,0,286
37,24,0,16,0,287
38,24,0,5,0,675
39,24,0,4,0,289
40,24,0,19,0,290
41,24,0,9,0,291
42,24,0,10,0,292
43,24,0,6,0,293
44,24,0,7,0,294
45,24,0,8,0,295
46,25,0,1,0,285
47,25,0,3,0,286
48,25,0,16,0,287
49,25,0,5,0,675
50,25,0,4,0,289
51,25,0,19,0,290
52,25,0,9,0,291
53,25,0,10,0,292
54,25,0,6,0,293
55,25,0,7,0,294
56,25,0,8,0,295
57,26,0,1,0,285
58,26,0,3,0,286
59,26,0,16,0,287
60,26,0,5,0,675
61,26,0,4,0,289
62,26,0,19,0,290
63,26,0,9,0,291
64,26,0,10,0,292
65,26,0,6,0,293
66,26,0,7,0,294
67,26,0,8,0,295
68,24,1,1,0,298
69,24,1,3,0,299
70,24,1,16,0,300
71,24,1,5,0,676
72,24,1,4,0,302
73,24,1,19,0,303
74,24,1,9,0,304
75,24,1,10,0,305
76,24,1,6,0,306
77,24,1,7,0,307
78,24,1,8,0,308
79,25,1,1,0,298
80,25,1,3,0,299
81,25,1,16,0,300
82,25,1,5,0,676
83,25,1,4,0,302
84,25,1,19,0,303
85,25,1,9,0,304
86,25,1,10,0,305
87,25,1,6,0,306
88,25,1,7,0,307
89,25,1,8,0,308
90,26,1,1,0,298
91,26,1,3,0,299
92,26,1,16,0,300
93,26,1,5,0,676
94,26,1,4,0,302
95,26,1,19,0,303
96,26,1,9,0,304
97,26,1,10,0,305
98,26,1,6,0,306
99,26,1,7,0,307
100,26,1,8,0,308
101,22,0,1,0,309
102,22,0,3,0,310
103,22,0,16,0,311
104,22,0,5,0,313
105,22,0,4,0,313
106,22,0,19,0,314
