ID,SpellID,Slot,SpellFlyoutID
1110,11419,0,248
1111,11416,1,248
1112,10059,2,248
1113,11417,0,249
1114,11420,1,249
1115,11418,2,249
1116,3565,0,250
1117,3562,1,250
1118,3561,2,250
1119,3567,0,251
1120,3566,1,251
1121,3563,2,251
1122,1296601,0,252
1123,1296599,1,252
1124,1296598,2,252
1125,1296597,3,252
1126,1296596,4,252
1127,13163,0,253
1128,13165,1,253
1129,14318,2,253
1130,14319,3,253
1131,14320,4,253
1132,14321,5,253
1133,14322,6,253
1134,25296,7,253
1135,5118,8,253
1136,13161,9,253
1137,13159,14,253
1138,20043,15,253
1139,20190,16,253
1147,1299445,10,253
1148,1299446,12,253
1149,1299447,13,253
1166,1296663,0,257
1168,1302995,1,257
1169,1303010,2,257
1170,1303008,3,257
1171,1303015,4,257
1172,1302996,5,257
1173,1302994,6,257
1174,1302997,7,257
1175,1303013,8,257
1176,1302999,9,257
1177,1303009,10,257
1178,1303007,11,257
1179,1303001,12,257
1180,1302939,13,257
1181,1303002,14,257
1182,1303011,15,257
1183,1297659,3,250
1184,1297659,3,251
1185,1306798,16,257
1189,688,0,259
1190,697,1,259
1191,712,2,259
1192,713,3,259
1193,691,4,259
1195,20801,0,261
1196,6307,1,261
1197,2949,2,261
1198,4511,3,261
1199,5487,0,262
1200,1066,2,262
1201,768,3,262
1202,783,4,262
1203,24858,5,262
1204,9634,1,262
1207,19854,23,264
1208,19979,28,264
1226,883,0,267
1227,982,1,267
1228,6991,2,267
1229,2641,3,267
1230,1515,4,267
1231,1462,5,267
1232,5149,6,267
1233,1494,0,268
1234,19878,1,268
1235,19879,2,268
1236,19880,3,268
1237,19882,4,268
1238,19885,5,268
1239,19883,6,268
1240,19884,7,268
1241,2457,0,269
1242,71,1,269
1243,2458,2,269
1255,1038,13,264
1256,20217,14,264
1257,25291,15,264
1258,19838,16,264
1259,19837,17,264
1260,19836,18,264
1261,19835,19,264
1262,19834,20,264
1263,19740,21,264
1264,25290,22,264
1265,19853,24,264
1266,19852,25,264
1267,19850,26,264
1268,19742,27,264
1269,19978,29,264
1270,19977,30,264
1271,10301,0,270
1272,10300,1,270
1273,10299,2,270
1274,10298,3,270
1275,7294,4,270
1276,10293,5,270
1277,10292,6,270
1278,1032,7,270
1279,10291,8,270
1280,643,9,270
1281,10290,10,270
1282,465,11,270
1283,19746,12,270
1284,20218,13,270
1285,19900,14,270
1286,19899,15,270
1287,19891,16,270
1288,19898,17,270
1289,19897,18,270
1290,19888,19,270
1291,19896,20,270
1292,19895,21,270
1293,19876,22,270
1296,25895,0,272
1297,25898,1,272
1298,25916,2,272
1299,25782,3,272
1300,25918,4,272
1301,25894,5,272
1302,25890,6,272
1303,10278,0,273
1304,5599,1,273
1305,1022,2,273
1306,1044,3,273
1307,20729,4,273
1308,6940,5,273
