ID,Offset[0],Offset[1],Offset[2],GameObjectID,StateIndex,GameEventID,Facing,TransitionInID,TransitionOutID,CollisionHull,Flags,SpellVisualKitID,MultiPropertiesID
2,0,0,0,287047,2,63288,0,3,4,0,2,0,1
5,0,0,0,287046,1,63287,0,3,4,0,3,0,1
6,0,0,0,287045,0,63286,0,3,4,0,2,0,1
7,0,0,0,288436,0,63702,0,1,2,0,1,0,2
8,0,0,0,288437,1,63703,0,1,2,0,1,0,2
9,0,0,0,288438,2,63704,0,1,2,0,1,0,2
10,0,0,0,288439,0,65772,0,0,0,0,0,104102,3
11,0,0,0,288440,1,65773,0,0,0,0,0,104102,3
12,0,0,0,288441,0,65774,0,0,0,0,0,104102,4
13,0,0,0,288442,1,65775,0,0,0,0,0,104102,4
14,0,0,0,288443,0,65776,0,0,0,0,0,104102,5
15,0,0,0,288444,1,65777,0,0,0,0,0,104102,5
19,0,0,0,289695,0,61778,0,0,0,1983086,0,104102,7
20,0,0,0,289674,1,63949,0,0,0,1846142,0,104102,7
21,0,0,0,289696,2,64073,0,0,0,1893179,0,104102,7
22,0,0,0,289771,0,63976,0,0,0,1890013,0,104863,9
23,0,0,0,289691,1,63977,0,0,0,944660,0,104863,9
24,0,0,-1,289772,2,64076,0,0,0,1884921,0,104863,9
26,0,0,0,289711,0,63963,0,0,0,963162,0,104102,10
27,3.75,1.59,-0.1648,289712,1,63961,0,0,0,963165,0,104102,10
29,0,0,0,289714,0,63955,0,0,0,0,0,104102,11
30,0,0,0,289715,1,63956,0,0,0,0,0,104102,11
31,0,0,0,289713,2,64074,0,0,0,2054134,0,104102,11
32,0,0,0,289730,0,63960,0,0,0,963165,0,104102,12
33,0,0,0,289729,1,64075,0,0,0,1890005,0,104102,12
35,0,0,0,289689,0,63973,0,0,0,0,0,104102,8
36,4.112,-4.17,0,289769,1,63974,0,0,0,0,0,104102,8
37,1.901,-6.45,-0.1065,289770,2,63975,-0.09,0,0,0,0,104102,8
38,0,0,0,289773,0,64077,0,0,0,0,0,104102,13
39,0,0,0,289777,1,64078,0,0,0,0,0,104102,13
41,0,0,0.5,289774,0,63979,0,0,0,0,0,104102,14
42,0,0,0,289776,1,64079,0,0,0,0,0,104102,14
44,0,0,0,289791,0,63990,0,0,0,1891506,0,104102,15
45,0,0,-0.5,289792,1,63996,0,0,0,961685,0,104102,15
46,0,0,0,289790,2,64081,0,0,0,1891514,0,104102,15
47,0,0,-0.5,289793,0,63991,0,0,0,961915,0,104102,16
48,0,0,0,289794,1,64082,0,0,0,1891510,0,104102,16
49,0,0,0,289783,0,63988,0,0,0,963162,0,104102,17
50,1.5,-5,0,289784,1,63989,0,0,0,963165,0,104102,17
51,0,0,0,289799,0,64000,0,0,0,1893174,0,104102,18
52,0,0,-1,289800,1,64001,0,0,0,987022,0,104102,18
53,0,0,0,289798,2,64083,0,0,0,1882445,0,104102,18
54,0,0,0,289802,0,64002,0,0,0,995741,0,104102,19
55,0,0,0,289801,1,64085,0,0,0,1882451,0,104102,19
56,0,0,0,289795,0,63998,0,0,0,963162,0,104102,20
57,8.569,-4.49,0.5,289796,1,63999,0,0,0,963165,0,104102,20
58,5.33,8.17,0,290465,0,64037,0,0,0,0,0,104102,21
59,0,0,0,290466,1,64038,0,0,0,0,0,104102,21
60,0,0,0,290467,2,64039,0,0,0,0,0,104102,21
61,0,0,0,290468,0,64040,0,0,0,999762,0,104102,22
62,0,0,0,290469,1,64041,0,0,0,892171,0,104102,22
63,0,0,0,290470,2,64067,0,0,0,1979990,0,104102,22
64,0,0,0.3,290472,0,64068,0,0,0,892174,0,104102,23
65,0,0,0,290473,1,64069,0,0,0,0,0,104102,23
66,0,0,0,290474,0,64042,0,0,0,892496,0,104102,24
67,0,0,0,290475,1,64070,0,0,0,0,0,104102,24
68,0,0,0,290481,0,64043,0,0,0,1983085,0,104102,25
69,0,0,-0.3,290482,1,64044,0,0,0,1830539,0,104102,25
