ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Show Posts,Enables you to stable five more mounts at the stable for public display.,0,0,0,132224,100,0
3,Mount Trader,A rare mount trader has taken up shop at your garrison stables building.,0,1,0,413588,5,0
7,Recall Portal,Allows you to abort a current mission and immediately bring followers back.,0,5,0,511651,0,0
8,Headhunter,"Recruit a random follower with a specific Trait, Ability or Role for 10 Material.",0,6,0,134149,0,0
9,Blackrock Chef,Enables access to garrison cooking dailies.,0,6,0,236571,0,0
11,Mining Carts,Additional miners will fill carts for you that are full of ore and other strange things.,0,7,3,961629,0,0
12,Orchard,Plant an orchard in your garrison that will produce rare fruit.,9,7,0,133977,0,0
13,Exquisite Skinning Knife,Increases the hourly skin gathering rate by 10%.,0,7,0,924154,0,0
22,Rock Crusher,"Creates bonus material by crushing the waste rocks from mining for use in roads, concrete, etc.",0,7,3,135236,0,0
23,Mass Teleport,Removes travel time for the first misison every day that requres 5 followers.,0,5,0,413583,0,0
24,City Travel,Provides access to portals that grant transport to cities other than Orgrimmar and Stormwind.,0,5,0,135744,0,0
25,Mechanical Picker,Automates harvesting of herbs from the garden.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Blackrock,Generates more Blackrock Ore reagents in your shipments.,0,3,0,0,0,0
28,True Iron,Generates more True Iron Ore reagents in your shipments.,0,3,0,0,0,0
31,Fish Shipment,"A delivery a fresh fish every day, direct to your Fishing Shack!",0,6,3,970842,0,0
32,Fishing for Bait,Greatly increases the chance that you will find bait while fishing in Garrison waters.,0,6,3,970852,0,0
33,Cavedweller,Grants you a chance to catch Frostdeep Minnow's in Garrison waters.  These can be used to summon a Frostdeep Cavedweller.,0,6,3,970814,0,0
34,Student Lab,"Your Alchemy Lab takes on students, and the class has a couple of potions for you each day.",0,6,3,413574,0,0
35,Transmutation,"The lab specializes in the mutable nature of physical objects, increasing the amount of Metamorphic Crystals that can be produced each day.",0,6,3,967514,0,0
36,Elixir,"The lab specializes in catalyzing alchemical reactions, increasing the amount of Alchemical Catalysts that can be produced each day.",0,6,3,967512,0,0
37,Greater Call to Arms,"Strengthens the troops in your Call to Arms ability, generating more damage.",0,6,3,975738,0,0
38,First Aid,Summons a First Aid nurse NPC that grants healing potions and bandages each day.,0,6,3,135966,0,0
39,Prison,Occasionally catches thieves who can pay fines or provide useful information to serve their sentence.,0,6,3,136058,0,0
40,Mine Guards,"Garrison guards patrol your mine, keeping it clear of hostile Goren.",0,6,3,132110,0,0
41,Buying in Bulk,Reduces cost of purchasing buildings and changing specializations.,0,6,3,132761,0.5,0
