ID,ChrSpecialization,Field_11_1_5_59571_002,PlayerConditionID
12,71,0,0
20,102,0,0
60,266,0,0
68,263,0,0
88,1468,0,0
105,103,0,0
139,1467,0,0
140,1473,0,0
151,104,0,0
153,257,0,0
154,254,0,0
160,256,0,0
278,64,0,0
328,63,0,0
358,62,0,0
365,250,0,0
420,258,0,0
421,255,0,0
422,253,0,0
462,105,0,0
520,265,0,0
531,268,0,0
565,581,0,0
580,270,0,0
586,260,0,0
637,66,0,0
695,262,0,0
838,72,0,0
872,73,0,0
884,267,0,0
901,70,0,0
1116,251,0,0
1125,252,0,0
1164,65,0,0
1188,264,0,0
1200,269,0,0
1216,259,0,0
1278,261,0,0
1599,577,0,0
1864,1480,0,0
5167,0,0,0
5183,0,0,0
5184,0,0,47453
5185,0,0,47454
5186,0,0,34465
5187,0,0,47458
5188,0,0,160912
5189,0,0,160913
5190,0,0,47456
5191,0,0,54203
5192,0,0,54202
5193,0,0,61660
5194,0,0,66693
5195,0,0,75664
5196,0,0,40576
5197,0,0,34462
5198,0,0,34466
5199,0,0,54205
5200,0,0,54204
5201,0,0,61661
5202,0,0,64968
5203,0,0,74393
5204,0,0,34468
5205,0,0,104496
5206,0,0,123985
5207,0,0,148993
5208,0,0,160923
5209,0,0,160924
5210,0,0,160925
5211,0,0,160927
5212,0,0,160928
5213,0,0,160930
5214,0,0,160932
5215,0,0,160933
5216,0,0,160935
5217,0,0,160936
5218,0,0,160937
5219,0,0,160938
5220,0,0,160939
5221,0,0,160941
5222,0,0,160942
5223,0,0,160943
5224,0,0,160944
5225,0,0,160945
5226,0,0,160946
5227,0,0,160947
5228,0,0,160948
