ID,Name_lang,Enchantment[0],Enchantment[1],Enchantment[2],Enchantment[3],Enchantment[4]
5,of intellect,79,0,0,0,0
6,of strength,68,0,0,0,0
14,of agility,74,0,0,0,0
15,of stamina,71,0,0,0,0
16,of spirit,82,0,0,0,0
17,of agility,75,0,0,0,0
18,of agility,76,0,0,0,0
19,of stamina,72,0,0,0,0
22,of stamina,73,0,0,0,0
23,of strength,69,0,0,0,0
24,of strength,70,0,0,0,0
25,of intellect,80,0,0,0,0
26,of intellect,81,0,0,0,0
27,of spirit,83,0,0,0,0
28,of spirit,84,0,0,0,0
29,of toughness,85,0,0,0,0
30,of toughness,87,0,0,0,0
31,of toughness,86,0,0,0,0
32,of quality,67,0,0,0,0
33,of quality,77,0,0,0,0
34,of quality,78,0,0,0,0
39,of proficiency,153,0,0,0,0
40,of proficiency,139,0,0,0,0
41,of proficiency,125,0,0,0,0
42,of proficiency,160,0,0,0,0
43,of proficiency,146,0,0,0,0
44,of proficiency,132,0,0,0,0
45,of proficiency,181,0,0,0,0
46,of proficiency,167,0,0,0,0
47,of proficiency,174,0,0,0,0
48,of defense,110,0,0,0,0
49,of beast slaying,188,0,0,0,0
50,of retaliation,199,0,0,0,0
51,of critical strike,195,0,0,0,0
52,of proficiency,154,0,0,0,0
53,of proficiency,140,0,0,0,0
54,of proficiency,126,0,0,0,0
56,of proficiency,161,0,0,0,0
57,of proficiency,147,0,0,0,0
58,of proficiency,133,0,0,0,0
59,of proficiency,182,0,0,0,0
60,of proficiency,168,0,0,0,0
62,of defense,111,0,0,0,0
63,of proficiency,175,0,0,0,0
64,of beast slaying,189,0,0,0,0
65,of retaliation,200,0,0,0,0
66,of proficiency,155,0,0,0,0
67,of proficiency,141,0,0,0,0
68,of proficiency,127,0,0,0,0
69,of proficiency,162,0,0,0,0
70,of proficiency,148,0,0,0,0
71,of proficiency,134,0,0,0,0
72,of proficiency,183,0,0,0,0
73,of proficiency,169,0,0,0,0
74,of defense,112,0,0,0,0
75,of proficiency,176,0,0,0,0
76,of beast slaying,190,0,0,0,0
77,of retaliation,201,0,0,0,0
78,of critical strike,196,0,0,0,0
79,of toughness,89,0,0,0,0
80,of quality,117,0,0,0,0
81,of proficiency,156,0,0,0,0
82,of proficiency,142,0,0,0,0
83,of proficiency,128,0,0,0,0
84,of proficiency,163,0,0,0,0
85,of proficiency,149,0,0,0,0
86,of proficiency,135,0,0,0,0
87,of proficiency,184,0,0,0,0
88,of proficiency,170,0,0,0,0
89,of defense,113,0,0,0,0
90,of proficiency,177,0,0,0,0
91,of beast slaying,191,0,0,0,0
92,of retaliation,202,0,0,0,0
93,of agility,90,0,0,0,0
94,of intellect,94,0,0,0,0
95,of spirit,98,0,0,0,0
96,of stamina,102,0,0,0,0
97,of strength,106,0,0,0,0
98,of toughness,121,0,0,0,0
99,of quality,118,0,0,0,0
100,of proficiency,157,0,0,0,0
101,of proficiency,143,0,0,0,0
102,of proficiency,129,0,0,0,0
103,of proficiency,164,0,0,0,0
104,of proficiency,150,0,0,0,0
105,of proficiency,136,0,0,0,0
106,of proficiency,185,0,0,0,0
107,of proficiency,171,0,0,0,0
108,of defense,114,0,0,0,0
109,of proficiency,178,0,0,0,0
110,of beast slaying,192,0,0,0,0
111,of agility,91,0,0,0,0
112,of intellect,95,0,0,0,0
113,of spirit,99,0,0,0,0
114,of stamina,103,0,0,0,0
115,of strength,107,0,0,0,0
