Name_lang,Description_lang,ID,Pos[0],Pos[1],Pos[2],PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,Field_9_1_0_38783_011,ContinentID,AreaID,WorldStateID,UiWidgetSetID,Importance,Icon
Anvilmar,,1,-6134.28,383.763,399.254,0,0,0,517,0,0,0,0,0,132,0,0,3,7
Brill,,2,2249.85,278.41385,34.11371,0,0,0,517,0,0,0,0,0,159,0,0,2,7
Darkshire,,3,-10564.7,-1170.65,28.0505,0,0,0,525,0,0,0,0,0,10,0,0,3,5
Deathknell,,4,1879.83,1588.2,90.17196,0,0,0,517,0,0,0,0,0,154,0,0,3,7
Dun Algaz,,5,-4191.0234,-2373.1401,205.15083,0,0,0,517,0,0,0,0,0,836,0,0,3,7
Dun Modr,,6,-2610.2583,-2350.5583,81.59118,0,0,0,517,0,0,0,0,0,205,0,0,3,7
Goldshire,,7,-9480.089,63.521755,56.17569,0,0,0,517,0,0,0,0,0,87,0,0,3,7
Ironforge,,8,-4798.776,-1107.4966,498.8072,0,0,0,541,0,0,0,0,0,1,0,0,3,6
Kharanos,,9,-5585.9507,-482.127,397.01672,0,0,0,517,0,0,0,0,0,131,0,0,2,7
Lakeshire,,10,-9227.69,-2201.47,63.9334,0,0,0,525,0,0,0,0,0,44,0,0,3,5
Menethil Harbor,,11,-3672.7,-828.455,9.89915,0,0,0,525,0,0,0,0,0,11,0,0,3,5
Moonbrook,,12,-11017.1,1510.17,43.1657,0,0,0,517,0,0,0,0,0,20,0,0,3,7
Northshire Abbey,,13,-8896.159,-179.328,80.290924,0,0,0,517,0,0,0,0,0,24,0,0,3,7
Raven Hill,,14,-10752.5,310.433,40.1628,0,0,0,517,0,0,0,0,0,94,0,0,3,7
Sentinel Hill,,15,-10503.7,1027.76,55.5831,0,0,0,525,0,0,0,0,0,40,0,0,3,5
Stormwind City,,16,-8678.426,729.6007,122.33388,0,0,0,541,0,0,0,0,0,12,0,0,3,6
The Sepulcher,,17,508.073,1619.02,125.272,0,0,0,525,0,0,0,0,0,130,0,0,2,5
Undercity,,18,1594.3385,240.2882,-52.142963,0,0,0,541,0,0,0,0,0,85,0,0,4,6
Thelsamar,,19,-5349.27,-2959.91,323.627,0,0,0,525,0,0,0,0,0,38,0,0,3,5
Alliance,,20,-448.982,-1028.22,431.971,0,0,0,1,0,0,0,0,37,0,0,0,0,0
Horde,,21,-669.134,-483.289,387.273,0,0,0,1,0,0,0,0,37,0,0,0,0,0
Southshore,,22,-803.031,-531.727,15.9654,0,0,0,0,0,0,0,0,0,267,0,0,3,5
Tarren Mill,,23,-27.0354,-900.562,55.9603,0,0,0,525,0,0,0,0,0,267,0,0,2,5
Refuge Pointe,,24,-1251.05,-2526.81,20.7117,0,0,0,525,0,0,0,0,0,320,0,0,2,5
Hammerfall,,25,-991.57,-3528.34,56.5482,0,0,0,525,0,0,0,0,0,45,0,0,2,5
Kargath,,26,-6676.42,-2186.68,245.829,0,0,0,0,0,0,0,0,0,3,0,0,3,5
Angor Fortress,,27,-6392.65,-3158,299.765,0,0,0,517,0,0,0,0,0,338,0,0,3,7
Bloodhoof Village,,28,-2323.92,-394.981,-9.12757,0,0,0,517,0,0,0,0,1,222,0,0,3,7
Thunder Bluff,,29,-1205.41,29.4214,126.347,0,0,0,541,0,0,0,0,1,215,0,0,3,6
Camp Narache,,30,-2906.49,-253.607,52.9407,0,0,0,517,0,0,0,0,1,221,0,0,3,7
Razor Hill,,31,312.659,-4745.52,9.54726,0,0,0,517,0,0,0,0,1,362,0,0,3,7
The Den,,32,-604.098,-4202.92,38.7281,0,0,0,517,0,0,0,0,1,364,0,0,3,7
Orgrimmar,,33,1381.77,-4371.16,26.0233,0,0,0,541,0,0,0,0,1,14,0,0,3,6
Sen'jin Village,,34,-819.492,-4918.24,19.3401,0,0,0,516,0,0,0,0,1,367,0,0,3,7
The Crossroads,,35,-455.9,-2652.15,95.5865,0,0,0,525,0,0,0,0,1,17,0,0,3,5
