ID,ItemID,AzeriteTierUnlockSetID,AzeritePowerSetID
1,156656,1,1
2,156829,190,674
3,158076,2,7
6,158171,4,8
7,158194,2,9
10,159904,5,378
11,159908,5,378
12,159902,5,380
13,159906,5,380
14,159907,5,382
15,159905,5,384
16,159903,5,382
17,159901,5,384
18,159911,6,15
19,159918,6,15
20,160188,6,24
21,160209,6,16
22,160210,6,23
23,160211,6,16
25,160308,7,17
26,160309,7,19
27,160310,7,20
28,160311,9,17
29,160312,8,17
30,160313,7,18
31,160673,10,677
32,160674,10,30
33,160675,11,31
34,160676,10,32
35,160677,11,33
249,160906,5,12
250,160907,5,14
251,160908,5,10
252,160909,5,11
253,160910,5,12
254,160911,5,14
255,160912,5,10
256,160913,5,11
257,160914,5,385
258,160915,5,381
259,160916,5,383
260,160917,5,379
261,160918,5,385
262,160919,5,381
263,160920,5,383
264,160921,5,379
292,159455,16,252
294,159448,18,229
295,159446,17,246
296,159432,18,228
297,159440,18,227
299,159415,16,251
300,159414,17,245
302,159424,18,226
303,159439,16,250
304,159431,16,249
305,159416,18,225
308,159430,17,244
309,159408,18,224
310,159423,16,248
311,159422,17,243
312,155885,17,242
313,159407,16,247
315,155866,17,230
317,159279,17,217
318,159273,16,223
319,159267,16,222
322,159232,16,221
323,159254,16,220
324,159252,17,216
328,159244,17,215
329,159238,16,219
330,159236,17,214
331,158301,18,207
332,158344,16,218
333,155886,17,213
334,158315,17,212
336,159335,18,264
337,159339,16,276
339,159323,16,275
340,159330,18,263
342,159331,16,274
343,159334,17,270
344,158364,17,269
345,159298,18,262
349,159318,17,268
350,159314,18,261
351,159310,17,267
352,159307,16,273
353,159302,17,266
354,159299,16,272
355,159303,18,260
356,155888,17,265
358,158304,16,271
359,155860,18,259
360,159398,17,288
361,159395,18,282
363,159381,17,287
365,159393,16,293
367,159391,17,296
369,159360,16,292
370,159370,18,280
371,159374,17,285
372,159385,16,294
373,159362,18,279
374,159376,16,291
375,159354,18,278
377,158355,18,277
378,159368,16,290
379,159358,17,283
380,155887,17,284
381,159352,16,297
382,158307,18,295
384,161490,16,63
385,161491,17,82
386,161495,17,63
387,161496,16,82
388,161505,18,64
389,161508,17,81
390,161510,16,64
391,161513,18,81
392,161515,16,77
393,161518,17,77
394,161522,16,65
395,161523,17,80
396,161525,18,65
397,161530,18,65
398,161533,17,76
399,161535,16,80
400,161539,17,66
401,161540,16,66
402,161541,17,79
403,161543,18,66
404,161547,18,75
405,161552,16,79
406,161554,16,63
407,161555,158,11
408,161557,159,380
409,161558,17,81
410,161559,16,64
411,161560,160,383
412,161561,17,80
413,161562,18,65
414,161563,158,12
415,161564,16,66
416,161565,18,66
519,163635,17,66
520,158349,18,209
521,159233,18,206
522,159241,18,211
523,159257,18,208
524,159268,18,210
533,163865,15,194
534,163862,15,191
535,163863,15,192
536,163864,15,193
549,163653,15,388
550,163654,15,298
551,163664,15,387
552,163666,15,389
553,163667,15,299
554,163676,15,386
555,163655,15,392
556,163656,15,300
557,163657,15,390
558,163668,15,393
559,163669,15,301
560,163671,15,391
561,163658,15,396
562,163659,15,302
563,163660,15,394
564,163665,15,395
565,163670,15,397
566,163672,15,303
567,163661,15,400
568,163662,15,304
569,163663,15,398
570,163673,15,401
571,163674,15,305
572,163675,15,399
580,161632,144,253
581,161634,145,257
582,161653,143,255
583,161741,144,254
584,161743,145,258
585,161762,143,256
586,161709,144,308
587,161600,144,307
588,161602,145,311
589,161711,145,312
590,161621,143,309
591,161730,143,310
592,161603,145,323
593,161712,145,324
594,161723,144,320
595,161614,144,319
596,161623,143,321
597,161732,143,322
598,161635,145,317
599,161744,145,318
600,161646,144,313
601,161755,144,314
602,161655,143,315
603,161764,143,316
604,161636,145,667
605,161745,145,330
606,161647,144,325
607,161756,144,669
608,161652,143,327
609,161761,143,328
610,161604,145,668
611,161713,145,336
612,161615,144,331
613,161724,144,670
614,161620,143,333
615,161729,143,334
616,161601,145,347
617,161710,145,348
618,161613,144,672
619,161722,144,344
620,161622,143,345
621,161731,143,346
622,161633,145,341
623,161742,145,342
624,161645,144,671
625,161754,144,338
626,161654,143,339
627,161763,143,340
629,162935,188,317
630,162946,161,313
631,162955,189,315
632,162947,161,325
633,162952,189,327
634,162936,188,329
635,162934,188,257
636,162932,161,253
637,162953,189,255
638,162945,161,337
639,162954,189,339
640,162933,188,341
641,162900,161,307
642,162901,188,347
643,162922,189,345
644,162913,161,343
645,162921,189,309
646,162902,188,311
647,162904,188,335
648,162920,189,333
649,162915,161,331
650,162923,189,321
651,162914,161,319
652,162903,188,323
653,160488,164,306
654,160489,164,349
655,160490,164,350
656,160491,164,351
657,158363,165,402
658,161444,167,404
659,154461,165,408
660,158345,167,417
661,154447,166,424
662,162614,166,406
663,162619,166,419
664,162618,165,415
665,162621,165,421
666,154466,166,407
667,154449,166,413
668,159179,165,409
669,154460,165,416
670,154273,166,425
671,154389,167,423
672,154467,167,411
673,154448,166,420
674,154458,165,422
675,162612,165,403
676,162616,166,414
677,162615,165,410
678,162622,166,426
679,162613,167,405
680,162617,167,412
681,162620,167,418
688,160613,160,444
689,160726,160,445
690,160616,158,442
691,160719,158,443
692,160614,159,446
693,160619,159,440
694,160620,160,439
695,160623,158,437
696,160728,159,441
697,163596,158,438
698,160627,159,435
699,160630,158,432
700,160632,160,433
701,160725,159,436
702,160731,160,434
703,160634,158,427
704,160636,159,430
705,160641,160,429
706,160722,159,431
707,160732,158,428
708,155313,15,48
709,155325,15,460
710,160887,15,450
711,155112,15,355
712,155105,15,35
713,155115,15,474
714,160888,15,456
715,155095,15,361
716,155107,15,37
717,155113,15,480
718,160889,15,462
719,155094,15,367
720,155106,15,36
721,155116,15,486
722,160890,15,468
723,155093,15,373
724,155104,15,38
725,155114,15,492
726,155510,15,41
727,159029,15,472
728,155324,15,448
729,155334,15,353
730,155314,15,49
731,159012,15,478
732,155326,15,454
733,155332,15,359
734,159011,15,484
735,155335,15,365
736,155312,15,47
737,159010,15,490
738,155323,15,466
739,155333,15,371
740,155185,15,40
741,155178,15,475
742,160877,15,451
743,155188,15,356
744,155168,15,52
745,155180,15,481
746,160878,15,457
747,155186,15,362
748,155167,15,51
749,155179,15,487
750,160879,15,463
751,155189,15,368
752,155166,15,50
753,155177,15,493
754,160880,15,469
755,155187,15,374
756,155039,15,476
757,160858,15,452
758,155032,15,357
759,155042,15,39
760,155022,15,482
761,160859,15,458
762,155034,15,363
763,155040,15,46
764,155021,15,488
765,160860,15,464
766,155033,15,377
767,155043,15,45
768,155020,15,494
769,160861,15,470
770,155031,15,375
771,155041,15,44
772,155404,15,449
773,155397,15,354
774,155407,15,42
775,161161,15,473
776,155387,15,455
777,155399,15,360
778,155405,15,55
779,161160,15,479
780,155386,15,461
781,155398,15,376
782,155408,15,54
783,161159,15,485
784,155385,15,467
785,155396,15,372
786,155406,15,53
787,161158,15,491
788,155258,15,352
789,155251,15,43
790,161142,15,471
791,155261,15,447
792,155241,15,358
793,155253,15,58
794,161140,15,477
795,155259,15,453
796,155240,15,364
797,155252,15,57
798,161141,15,483
799,155262,15,459
800,155239,15,370
801,155250,15,56
802,161143,15,489
803,155260,15,465
804,161352,159,502
805,161367,159,509
806,161400,159,495
807,161409,159,516
808,161456,159,505
809,161458,159,512
810,161459,159,519
811,161467,159,506
812,161469,159,513
813,161470,159,520
814,161356,158,510
815,161396,158,517
816,161401,158,496
817,161404,158,503
818,161453,158,514
819,161455,158,498
820,161464,158,515
821,161466,158,499
822,161349,160,497
823,161357,160,511
824,161372,160,518
825,161391,160,504
826,161454,160,500
827,161457,160,507
828,161460,160,521
829,161465,160,501
830,161468,160,508
831,161471,160,522
856,163459,186,573
857,163426,185,526
858,163280,186,524
859,163424,187,528
860,163283,186,530
861,163435,185,532
862,163432,187,565
863,163282,186,567
864,163446,185,569
865,163441,187,571
866,163456,185,575
867,163453,187,577
881,163339,185,525
882,163248,186,523
883,163337,187,527
884,163251,186,529
885,163380,185,531
886,163377,187,564
887,163398,186,566
888,163394,185,568
889,163389,187,570
890,163418,186,572
891,163410,185,574
892,163405,187,576
896,158026,178,578
897,158001,177,584
898,158003,179,590
899,158006,178,596
900,158009,177,602
901,158011,179,608
902,158014,178,614
903,158017,177,620
904,158019,179,626
905,158022,178,632
906,158025,177,638
907,158028,179,644
908,157898,178,581
909,157873,177,587
910,157875,179,593
911,157878,178,599
912,157881,177,605
913,157883,179,611
914,157886,178,617
915,157889,177,623
916,157891,179,629
917,157894,178,635
918,157897,177,641
919,157900,179,647
920,158058,178,580
921,158033,177,586
922,158035,179,592
923,158038,178,598
924,158041,177,604
925,158043,179,610
926,158046,178,616
927,158049,177,622
928,158051,179,628
929,158054,178,634
930,158057,177,640
931,158060,179,646
932,157994,178,582
933,157969,177,588
934,157971,179,594
935,157974,178,600
936,157977,177,606
937,157979,179,612
938,157982,178,618
939,157985,177,624
940,157987,179,630
941,157990,178,636
942,157993,177,642
943,157996,179,648
944,157962,178,583
945,157937,177,589
946,157939,179,595
947,157942,178,601
948,157945,177,607
949,157947,179,613
950,157950,178,619
951,157953,177,625
952,157955,179,631
953,157958,178,637
954,157961,177,643
955,157964,179,649
956,157930,178,579
957,157905,177,585
958,157907,179,591
959,157910,178,597
960,157913,177,603
961,157915,179,609
962,157918,178,615
963,157921,177,621
964,157923,179,627
965,157926,178,633
966,157929,177,639
967,157932,179,645
973,164775,6,433
974,164777,6,435
975,164779,145,795
976,164782,144,803
977,164784,143,811
978,164787,145,819
979,164790,144,827
980,164792,143,835
981,164795,145,843
982,164798,144,851
983,164800,143,859
984,164803,144,875
985,164804,145,867
986,164808,143,883
