ID,TransmogSetID,ItemModifiedAppearanceID,Flags
66935,3634,218961,1
66936,3634,218962,0
66937,3634,218957,3
66938,3634,218960,1
66939,3634,218958,1
66940,3634,218959,1
66972,3634,219284,1
75264,4397,285236,1
75265,4397,285240,1
75266,4397,285315,1
75267,4397,285318,1
75268,4397,285320,1
75269,4397,285322,1
75270,4397,285324,1
75271,4397,287100,1
75272,4397,287268,1
75273,4397,287516,1
75284,4397,287444,1
105808,5700,307660,1
105809,5700,307663,1
105810,5700,307662,2
105811,5700,307658,1
105812,5700,307655,1
105813,5700,307661,1
105814,5700,307656,1
105815,5700,307659,1
105816,5700,307657,1
105817,5701,307670,1
105818,5701,307674,1
105819,5701,307673,2
105820,5701,307668,1
105821,5701,307665,1
105822,5701,307671,1
105823,5701,307666,1
105824,5701,307669,1
105825,5701,307667,1
105826,5702,307680,3
105827,5702,307683,1
105828,5702,307678,1
105829,5702,307682,0
105830,5702,307675,1
105831,5702,307681,1
105832,5702,307676,1
105833,5702,307679,1
105834,5702,307677,1
105835,5703,307689,3
105836,5703,307692,1
105837,5703,307687,1
105838,5703,307691,0
105839,5703,307684,1
105840,5703,307690,1
105841,5703,307685,1
105842,5703,307688,1
105843,5703,307686,1
108090,5914,310904,3
108091,5914,310905,1
108092,5914,310897,1
108093,5914,310898,1
108094,5914,310899,1
108095,5914,310900,1
108096,5914,310901,1
108097,5914,310902,1
108098,5914,310903,1
