ID,Cost,BankType,OrderIndex,PlayerConditionID,PurchasePromptTitle,PurchasePromptBody,PurchasePromptConfirmation,TabCleanupConfirmation,TabNameEditBoxHeader
3,1000000,1,0,0,0,0,0,0,0
4,2500000,1,1,0,0,0,0,0,0
5,5000000,1,2,0,0,0,0,0,0
6,10000000,1,3,0,0,0,0,0,0
7,25000000,1,4,0,0,0,0,0,0
8,50000000,1,5,0,0,0,0,0,0
9,100,2,0,0,1138,1139,1141,1137,1140
10,250,2,1,0,1138,1139,1141,1137,1140
11,1000,2,2,0,1138,1139,1141,1137,1140
12,5000,2,3,0,1138,1139,1141,1137,1140
13,25000,2,4,0,1138,1139,1141,1137,1140
15,0,0,0,0,1143,1144,1146,1142,1145
16,1000,0,1,0,1143,1144,1146,1142,1145
17,10000,0,2,0,1143,1144,1146,1142,1145
18,100000,0,3,0,1143,1144,1146,1142,1145
19,250000,0,4,0,1143,1144,1146,1142,1145
20,500000,0,5,0,1143,1144,1146,1142,1145
41,25000,2,5,0,1138,1139,1141,1137,1140
42,25000,2,6,0,1138,1139,1141,1137,1140
43,25000,2,7,0,1138,1139,1141,1137,1140
44,25000,2,8,0,1138,1139,1141,1137,1140
45,1000000,0,6,0,1143,1144,1146,1142,1145
46,2000000,0,7,0,1143,1144,1146,1142,1145
47,4000000,0,8,0,1143,1144,1146,1142,1145
