ID,Rot[0],Rot[1],Rot[2],Rot[3],TimeIndex,GameObjectsID
1,0,0,0,-1,0,194301
2,0,0.726931,0,-0.686711,7467,194301
3,0,0.999424,0,-0.033944,10933,194301
4,0,0.723559,0,0.690262,12167,194301
5,0,0.015733,0,0.999876,15733,194301
6,0,0.012665,0,0.99992,21067,194301
7,-0.007798,-0.00998,-0.615656,-0.787914,22833,194301
8,-0.012425,0.002456,-0.98094,0.193898,25533,194301
9,0,0,0,1,0,194303
10,0.717614,0,0,-0.696441,8233,194303
11,-0.485169,0.528755,0.513154,0.470854,10300,194303
12,-0.675307,0.057371,0.734586,0.032437,11533,194303
13,-0.00878,0.020834,0.997787,0.062526,15667,194303
14,-0.384733,0.214714,0.789728,0.426859,24767,194303
15,-0.010178,0.00338,0.365398,0.93079,27667,194303
21,0,0,0,1,0,194345
22,0,0,0,1,37700,194345
23,0,0,0.001038,0.999999,38933,194345
24,0,0,0.008239,0.999966,39333,194345
25,0,0,0.032957,0.999457,40133,194345
26,0,0,0.056806,0.998385,40733,194345
27,0,0,0.090315,0.995913,41400,194345
28,0,0,0.13452,0.990911,42133,194345
29,0,0,0.197159,0.980372,43067,194345
30,0,0,0.274934,0.961463,44133,194345
31,0,0,0.37852,0.925593,45467,194345
32,0,0,0.575864,0.817545,48067,194345
33,0,0,0.654187,0.756333,49167,194345
34,0,0,0.816882,0.576804,51667,194345
35,0,0,0.868458,0.495762,52700,194345
36,0,0,0.940861,0.338793,54667,194345
37,0,0,0.96002,0.279932,55433,194345
38,0,0,0.977255,0.212067,56400,194345
39,0,0,0.990907,0.134551,57567,194345
40,0,0,0.996507,0.083509,58433,194345
41,0,0,0.998678,0.051399,59067,194345
42,0,0,0.999698,0.024564,59767,194345
43,0,0,0.999971,0.007575,60333,194345
44,0,0,1,0.000648,60767,194345
45,0,0,1,-0.00083,102167,194345
46,0,0,0.999965,-0.00838,102567,194345
47,0,0,0.999396,-0.034756,103367,194345
48,0,0,0.998345,-0.057501,103900,194345
49,0,0,0.995951,-0.089901,104500,194345
50,0,0,0.990513,-0.137416,105233,194345
51,0,0,0.981309,-0.192438,106000,194345
52,0,0,0.966671,-0.256023,106800,194345
53,0,0,0.931761,-0.363073,108067,194345
54,0,0,-0.811569,0.584257,110767,194345
55,0,0,-0.748694,0.662916,111800,194345
56,0,0,-0.561079,0.827762,114200,194345
57,0,0,-0.486966,0.873421,115067,194345
58,0,0,-0.347403,0.937716,116700,194345
59,0,0,-0.286473,0.958088,117433,194345
60,0,0,-0.220609,0.975362,118300,194345
61,0,0,-0.146763,0.989172,119333,194345
62,0,0,-0.086352,0.996265,120300,194345
63,0,0,-0.051492,0.998673,120933,194345
64,0,0,-0.024377,0.999703,121567,194345
65,0,0,-0.007881,0.999969,122067,194345
66,0,0,-0.000751,1,122467,194345
67,0,0,0,1,128333,194345
81,0,0,4E-06,1,33,194350
82,0,0,4E-06,1,37733,194350
83,0,0,0.001042,0.999999,38967,194350
84,0,0,0.008243,0.999966,39367,194350
85,0,0,0.032961,0.999457,40167,194350
86,0,0,0.056811,0.998385,40767,194350
87,0,0,0.090319,0.995913,41433,194350
88,0,0,0.134525,0.99091,42167,194350
