ID,SpellID,OrderIndex,Field_12_1_0_68209_002,ItemID
1,452146,0,0,219314
2,455482,0,0,225654
3,1266687,0,0,249343
4,1266686,0,1,249343
5,1265808,0,0,260235
6,1260615,0,0,249806
7,1264144,0,0,249807
8,1264150,0,1,249807
9,1264948,0,0,249811
10,1264337,0,0,249810
11,1269591,0,0,249805
12,1262753,0,0,249342
13,1259317,0,0,249809
14,1258534,0,0,249341
15,1263141,0,1,249339
16,1259633,0,0,249344
17,1295057,0,0,270167
18,1303479,0,1,270166
19,1295885,0,0,270169
20,1307470,0,1,270169
22,1295582,0,0,270165
23,1297761,0,0,270175
24,1305376,0,1,270175
25,1305846,0,0,270171
26,1306822,1,0,270174
27,1306823,0,0,270174
28,1295649,0,1,270174
29,1295328,0,0,270160
30,1305853,0,0,270161
31,1292299,1,0,270164
32,1292300,1,0,270164
33,1306870,1,0,270164
34,1308012,1,0,270164
35,1308014,1,0,270164
36,1308013,0,0,270164
37,1307578,0,0,270162
39,345230,0,0,280097
40,345230,0,0,280097
41,345230,0,0,270603
42,345230,0,0,255328
43,345230,0,0,255614
44,345230,0,0,267469
45,1308559,0,0,280376
47,1293316,0,0,273796
48,1293311,0,0,273795
49,1293326,1,0,273797
50,1295735,0,1,273797
58,383813,0,1,193757
59,389820,0,1,193757
60,383926,0,0,193762
62,1263644,0,0,250254
65,1259352,0,0,250238
66,1263762,0,0,250214
67,1263768,0,1,250214
68,1263077,0,1,250259
70,1264294,0,1,250248
71,1260316,0,1,250244
72,1260321,1,1,250244
73,1258223,0,0,250229
74,1258222,0,1,250229
75,1250587,0,0,250243
77,1250533,0,0,250215
78,1254180,0,0,250228
79,1254331,0,1,250228
80,1255200,0,0,250255
81,1250557,0,0,250225
82,1263357,0,1,250225
86,1264404,0,1,250224
87,1294745,0,0,273649
88,271107,0,0,159617
89,265946,0,0,159618
90,267410,0,0,158367
91,267179,0,1,158374
93,1294746,0,0,158368
95,1272698,0,1,264878
96,1259994,0,0,251789
98,1265323,0,0,251790
99,1265327,1,1,251790
101,1266299,0,0,251792
102,1266300,0,1,251792
103,1266182,0,0,251783
104,1266184,1,0,251783
105,1266197,2,0,251783
106,1266403,0,0,251785
107,1276677,0,0,265657
108,1247570,0,0,248583
109,1247568,0,0,248583
110,1247571,0,0,248583
111,1247569,0,0,248583
112,1296890,0,0,274496
114,1296976,0,1,274495
115,1294326,0,0,274495
116,1296714,0,0,274493
117,1296742,0,0,274499
118,1307641,0,0,280091
119,1307582,0,0,280047
120,1308728,0,0,280377
