ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Flag Captures,Number of times you have captured the flag,Flag Captures,0
58,Walls Destroyed,Number of times you have destroyed enemy walls.,Walls Destroyed,0
59,Buildings Destroyed,Number of times you have destroyed enemy buildings.,Buildings Destroyed,0
60,Gates Destroyed,Number of times you have destroyed a gate,Gates Destroyed,0
61,Graveyards Defended,Number of times a graveyard capture has been prevented,Graveyards Defended,0
62,Flag Returns,Number of times you have returned your Flag to your base from the field,Flag Returns,0
63,Towers Assaulted,Number of times enemy tower banners have been removed,Towers Assaulted,0
64,Secondary Objectives,Number of secondary units activated,Secondary Objectives,0
65,Bases Assaulted,Number of times enemy base banners have been removed,Bases Assaulted,0
67,Towers Defended,Number of times a tower capture has been prevented,Towers Defended,0
69,Bases Defended,Number of times a base capture has been prevented,Bases Defended,0
70,Demolishers Destroyed,Number of times you have destroyed a demolisher,Demolishers Destroyed,0
71,Graveyards Assaulted,Number of times enemy graveyard banners have been removed,Graveyards Assaulted,0
75,Carts Controlled,Number of Carts you helped control,Carts Controlled,0
78,Carts Captures,Number of times you have captured the enemy mine cart,Carts Captures,0
79,Carts Returned,Number of times you have returned your mine cart to your base from the field,Carts Returned,0
81,Mines Defended,Number of times a mine capture has been prevented,Mines Defended,0
87,Orb Possessions,Number of times you have controlled an orb,Orb Possessions,0
88,Victory Points,Number of Victory Points earned,Victory Points,0
89,Score,Contribution toward victory,Score,0
98,Artifacts Collected,Total Artifact Fragments you've collected and turned in.,Artifacts Collected,0
99,Azerite Collected,Total Azerite you've collected.,Azerite Collected,0
102,Ingredients Gathered,Number of Ingredients Gathered,Ingredients Gathered,0
1092,Mines Assaulted,Number of times enemy base banners have been removed,Mines Assaulted,0
1093,Flag Captures,Number of times you have captured the flag,Flag Captures,0
1097,Rounds Won,,Rounds|nWon,0
1100,Crystal Captures,Number of times you have captured the crystal,Crystal Captures,0
