ID,Field_11_1_0_58221_001,Field_11_1_0_58221_002,Field_11_1_0_58221_003,Field_11_1_0_58221_004,Field_11_1_0_58221_005,Field_11_1_0_58221_006,Field_11_1_0_58221_007,Field_11_1_0_58221_008,Field_11_1_0_58221_009,Field_11_1_0_58221_010,Field_11_1_0_58221_011,Field_11_1_0_58221_012,Field_11_1_0_58221_013,Field_11_1_0_58221_014,Field_11_1_0_58221_015,Field_11_1_0_58221_016
1,10,35,20,40,80,110,50,0.1,1,0.5,100,70,10,75,3,66
2,10,35,20,40,80,110,50,0.1,1,0.5,100,70,10,75,3,66
3,10,35,20,40,80,110,50,0.1,1,0.5,100,70,10,75,3,66
4,10,35,20,40,80,110,10,0.1,1,0.5,100,70,10,75,3,66
5,10,35,20,40,80,110,80,0.1,1,0.5,100,70,10,75,3,66
6,10,35,20,40,80,110,10,0.1,1,0.5,100,70,10,75,3,66
7,10,35,20,40,80,110,80,0.1,1,0.5,100,70,10,75,3,66
8,10,35,20,40,80,110,10,0.1,1,0.5,100,70,10,75,3,66
9,10,35,20,40,80,110,80,0.1,1,0.5,100,70,10,75,3,66
10,10,28,20,40,80,110,80,0.1,1,0.5,100,70,10,75,3,66
11,10,28,20,40,80,110,10,0.1,1,0.5,100,70,10,75,3,66
12,10,28,20,40,80,110,50,0.1,1,0.5,100,70,10,75,3,66
