ID,NodeID,Field_12_0_0_63534_002,Field_12_0_0_63534_003,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
28,354,0,15,0,0,0
29,357,0,15,0,0,0
30,358,0,40,0,0,0
126,541,0,15,0,0,0
127,544,15,40,0,0,0
128,545,0,8,0,0,0
199,749,0,30,0,0,0
200,750,0,8,0,0,0
212,795,0,30,0,0,0
213,796,0,8,0,0,0
215,801,100,0,0,0,0
227,818,0,0,0,0,0
228,819,0,30,0,0,0
234,826,0,100,0,0,0
236,829,0,0,0,30,0
239,831,0,100,0,0,0
250,840,0,0,0,0,0
252,843,0,10,0,0,0
255,846,0,0,0,0,1.5
256,839,0,100,0,0,0
257,849,0,0,0,0,0
258,804,0,0,0,0,0
260,851,0,100,0,0,0
262,855,0,6,0,0,0
267,862,0,0,0,0,0
268,854,0,45,0,0,0
269,863,0,0,0,0,5
272,870,0,35,0,0,0
273,871,0,8,0,0,0
286,925,0,0,0,0,0
288,932,0,30,0,0,0
289,933,0,30,0,0,0
293,951,0,30,0,0,0
294,954,0,30,0,0,0
356,1100,0,0,0,12,0
375,1129,0,0,0,0,0
376,1130,0,10,0,0,0
377,1135,0,0,0,0,0
378,1136,0,0,0,0,0
