ID,Spells[0],Spells[1],Spells[2],Spells[3],Availability[0],Availability[1],Availability[2],Availability[3]
5525,0,24450,0,0,100,100,0,0
5786,17253,50519,0,0,100,100,0,0
5787,0,50519,0,0,100,100,0,0
5788,0,50519,0,0,100,100,0,0
5789,0,50519,0,0,100,100,0,0
5790,0,50519,0,0,100,100,0,0
5791,0,50519,0,0,100,100,0,0
5792,0,50519,0,0,100,100,0,0
5793,0,50519,0,0,100,100,0,0
5794,0,50519,0,0,100,100,0,0
5795,16827,50256,0,0,100,100,0,0
5796,16827,50256,0,0,100,100,0,0
5797,0,50256,0,0,100,100,0,0
5798,0,50256,0,0,100,100,0,0
5799,0,50256,0,0,100,100,0,0
5800,0,50433,0,0,100,100,0,0
5801,0,50256,0,0,100,100,0,0
5802,0,50256,0,0,100,100,0,0
5803,0,50256,0,0,100,100,0,0
5804,0,50256,0,0,100,100,0,0
5805,0,50256,0,0,100,100,0,0
5806,0,50256,0,0,100,100,0,0
5807,0,50256,0,0,100,100,0,0
5808,0,0,0,0,100,0,0,0
5809,0,50256,0,0,100,100,0,0
5810,0,50256,0,0,100,100,0,0
5811,0,50256,0,0,100,100,0,0
5812,0,50256,0,0,100,100,0,0
5813,0,50256,0,0,100,100,0,0
5814,0,50256,0,0,100,100,0,0
5815,0,50256,0,0,100,100,0,0
5816,16827,24450,0,0,100,100,0,0
5817,16827,24450,0,0,100,100,0,0
5818,16827,24450,0,0,100,100,0,0
5819,16827,24450,0,0,100,100,0,0
5820,0,24450,0,0,100,100,0,0
5821,0,24450,0,0,100,100,0,0
5822,0,24450,0,0,100,100,0,0
5823,0,24450,0,0,100,100,0,0
5824,0,24450,0,0,100,100,0,0
5825,0,24450,0,0,100,100,0,0
5826,0,24450,0,0,100,100,0,0
5827,0,24450,0,0,100,100,0,0
5828,0,24450,0,0,100,100,0,0
5829,0,24450,0,0,100,100,0,0
5830,0,24450,0,0,100,100,0,0
5831,0,24450,0,0,100,100,0,0
5832,0,24450,0,0,100,100,0,0
5833,0,0,0,0,100,100,0,0
5834,0,0,0,0,100,100,0,0
5835,16827,50245,0,0,100,100,100,0
5836,0,50245,0,0,100,100,0,0
5837,0,50245,0,0,100,100,0,0
5838,0,50245,0,0,100,100,0,0
5839,0,50245,0,0,100,100,0,0
5840,0,50245,0,0,100,100,0,0
5841,0,50245,0,0,100,100,0,0
5842,0,50245,0,0,100,100,0,0
5843,0,50245,0,0,100,100,0,0
5844,0,50245,0,0,100,100,0,0
5846,0,50245,0,0,100,100,0,0
5847,0,50433,0,0,100,100,0,0
5848,0,50433,0,0,100,100,0,0
5849,0,50433,0,0,100,100,0,0
5851,0,50433,0,0,100,100,0,0
5852,0,50433,0,0,100,100,0,0
5853,0,50433,0,0,100,100,0,0
5854,0,50433,0,0,100,100,0,0
5855,0,50433,0,0,100,100,0,0
5856,0,50433,0,0,100,100,0,0
5857,0,50433,0,0,100,100,0,0
5858,0,50433,0,0,100,100,0,0
5859,16827,50541,0,0,100,100,0,0
5860,0,50541,0,0,100,100,0,0
5861,0,50541,0,0,100,100,0,0
5862,0,50541,0,0,100,100,0,0
5863,0,50541,0,0,100,100,100,0
5864,16827,24640,0,0,100,100,0,0
5865,0,24640,0,0,100,100,0,0
5866,0,0,0,0,100,100,0,0
5867,0,0,0,0,100,100,0,0
5868,0,0,0,0,100,100,0,0
5869,0,0,0,0,100,100,0,0
5870,0,0,0,0,100,100,0,0
5871,0,0,0,0,100,100,0,0
5872,0,0,0,0,100,100,0,0
5873,0,0,0,0,100,100,0,0
5874,0,0,0,0,100,100,0,0
5875,16827,24640,0,0,100,100,0,0
5876,0,24640,0,0,100,100,0,0
5877,0,0,0,0,100,100,0,0
5878,0,0,0,0,100,100,0,0
5879,17253,4167,0,0,100,100,0,0
5880,17253,4167,0,0,100,100,0,0
5881,17253,4167,0,0,100,100,0,0
5882,17253,4167,0,0,100,100,0,0
5883,0,4167,0,0,100,100,0,0
5884,0,0,0,0,100,0,0,0
5885,0,4167,0,0,100,100,0,0
5886,0,4167,0,0,100,100,0,0
5887,0,4167,0,0,100,100,0,0
5888,0,4167,0,0,100,100,0,0
5889,0,4167,0,0,100,100,0,0
5890,0,4167,0,0,100,100,0,0
5891,0,4167,0,0,100,100,0,0
5892,0,0,0,0,100,0,0,0
5893,0,4167,0,0,100,100,0,0
5894,0,4167,0,0,100,100,0,0
5895,0,4167,0,0,100,100,0,0
5896,0,4167,0,0,100,100,0,0
5897,0,4167,0,0,100,100,0,0
5898,0,4167,0,0,100,100,0,0
5899,0,4167,0,0,100,100,0,0
5900,0,4167,0,0,100,100,0,0
5901,0,4167,0,0,100,100,0,0
5902,0,4167,0,0,100,100,0,0
5903,0,4167,0,0,100,100,0,0
5904,0,4167,0,0,100,100,0,0
5905,0,4167,0,0,100,100,0,0
5906,0,4167,0,0,100,100,0,0
5907,0,4167,0,0,100,100,0,0
5908,0,4167,0,0,100,100,0,0
5909,0,4167,0,0,100,100,0,0
5910,0,4167,0,0,100,100,0,0
5911,0,4167,0,0,100,100,0,0
5912,0,4167,0,0,100,100,0,0
5913,17253,4167,0,0,100,100,0,0
5914,0,4167,0,0,100,100,0,0
5915,0,50285,0,0,100,100,0,0
5916,0,50285,0,0,100,100,0,0
5917,0,50285,0,0,100,100,0,0
5918,0,50285,0,0,100,100,0,0
5919,0,50285,0,0,100,100,0,0
5921,0,50285,0,0,100,100,0,0
5922,0,50285,0,0,100,100,0,0
5923,0,26064,0,0,100,100,0,0
5924,0,26064,0,0,100,100,0,0
5925,0,26064,0,0,100,100,0,0
5926,0,26064,0,0,100,100,0,0
5927,0,26064,0,0,100,100,0,0
5928,0,26064,0,0,100,100,0,0
5929,0,26064,0,0,100,100,0,0
5930,0,26064,0,0,100,100,0,0
5931,0,26064,0,0,100,100,0,0
5932,0,26064,0,0,100,100,0,0
5933,0,26064,0,0,100,100,0,0
5934,0,26064,0,0,100,100,0,0
5935,17253,24604,0,0,100,100,0,0
5936,17253,24604,0,0,100,100,0,0
5937,17253,24604,0,0,100,100,0,0
5938,17253,24604,0,0,100,100,0,0
5939,17253,24604,0,0,100,100,0,0
5940,17253,24604,0,0,100,100,0,0
5941,0,24604,0,0,100,100,0,0
5942,0,24604,0,0,100,100,0,0
5943,0,24604,0,0,100,100,0,0
5944,0,24604,0,0,100,100,0,0
5945,0,24604,0,0,100,100,0,0
5946,0,24604,0,0,100,100,0,0
5947,0,24604,0,0,100,100,0,0
5948,0,24604,0,0,100,100,0,0
5949,0,0,0,0,100,100,0,0
5950,0,0,0,0,100,100,0,0
5951,0,0,0,0,100,100,0,0
5952,0,0,0,0,100,100,0,0
5953,0,0,0,0,100,100,0,0
5954,0,0,0,0,100,100,0,0
5955,0,0,0,0,100,100,0,0
5956,0,0,0,0,100,100,0,0
5957,0,0,0,0,100,0,0,0
5958,0,0,0,0,100,100,0,0
5959,0,24604,0,0,100,100,0,0
5960,0,24604,0,0,100,100,0,0
5961,0,0,0,0,100,100,0,0
5962,0,0,0,0,100,100,0,0
5963,0,0,0,0,100,100,0,0
6706,4974,11428,0,0,100,100,0,0
7264,674,0,0,0,100,0,0,0
7344,0,0,0,0,100,100,0,0
8261,0,0,0,0,100,100,0,0
8262,0,0,0,0,100,100,0,0
8263,0,24450,0,0,100,100,0,0
8264,0,24450,0,0,100,100,0,0
8265,0,24450,0,0,100,100,0,0
8266,0,0,0,0,100,100,0,0
8267,0,0,0,0,100,100,0,0
8268,0,0,0,0,100,100,0,0
8270,0,0,0,0,100,100,0,0
8272,0,0,0,0,100,100,0,0
8274,0,0,0,0,100,100,0,0
8275,0,24450,0,0,100,100,0,0
8276,0,0,0,0,100,100,0,0
8278,0,24450,0,0,100,100,0,0
8279,0,0,0,0,100,100,0,0
8280,0,50271,0,0,100,100,0,0
8281,0,50271,0,0,100,100,0,0
8282,0,50271,0,0,100,100,0,0
8283,0,50271,0,0,100,100,0,0
8284,0,50271,0,0,100,100,0,0
8285,0,50271,0,0,100,100,0,0
8286,0,50271,0,0,100,100,0,0
8287,0,50271,0,0,100,100,0,0
8288,0,50271,0,0,100,100,0,0
8289,0,50271,0,0,100,100,0,0
8292,0,50285,0,0,100,100,0,0
8293,0,0,0,0,100,100,0,0
8294,0,0,0,0,100,100,0,0
8295,0,0,0,0,100,100,0,0
8296,0,0,0,0,100,100,0,0
8297,0,0,0,0,100,100,0,0
8298,0,0,0,0,100,100,0,0
8299,0,0,0,0,100,100,0,0
8300,0,50519,0,0,100,100,0,0
8301,0,50519,0,0,100,100,0,0
8303,0,0,0,0,100,100,0,0
8304,0,0,0,0,100,100,0,0
8305,0,0,0,0,100,100,0,0
8306,0,0,0,0,100,100,0,0
8307,0,0,0,0,100,100,0,0
8308,0,0,0,0,100,100,0,0
8309,0,0,0,0,100,100,0,0
8310,0,0,0,0,100,100,0,0
8311,0,0,0,0,100,100,0,0
8312,0,0,0,0,100,0,0,0
8313,0,0,0,0,100,100,0,0
8314,0,0,0,0,100,100,0,0
8315,0,50541,0,0,100,100,0,0
8316,0,50541,0,0,100,100,0,0
8317,0,0,0,0,100,100,0,0
8318,0,0,0,0,100,100,0,0
8319,0,0,0,0,100,100,0,0
8320,0,0,0,0,100,100,0,0
8321,0,0,0,0,100,100,0,0
8322,0,0,0,0,100,100,0,0
8323,0,0,0,0,100,100,0,0
8832,0,0,0,0,100,100,0,0
8833,0,0,0,0,100,100,0,0
8834,0,24423,0,0,100,100,0,0
8836,0,0,0,0,100,100,0,0
8837,0,0,0,0,100,100,0,0
8841,0,0,0,0,100,0,0,0
8847,0,0,0,0,100,100,0,0
8848,24640,0,0,0,100,100,0,0
8849,24640,0,0,0,100,100,0,0
8851,0,0,0,0,100,100,0,0
8852,0,0,0,0,100,100,0,0
8853,0,0,0,0,100,100,0,0
8854,0,0,0,0,100,100,0,0
8855,0,0,0,0,100,100,0,0
8856,0,0,0,0,100,100,0,0
8857,0,0,0,0,100,100,0,0
8858,0,0,0,0,100,100,0,0
8859,0,0,0,0,100,100,0,0
8860,0,0,0,0,100,100,0,0
8861,0,0,0,0,100,100,0,0
8864,0,0,0,0,100,100,0,0
8865,0,0,0,0,100,100,0,0
8866,0,24604,0,0,100,100,0,0
8880,0,24450,0,0,100,100,0,0
8881,0,24450,0,0,100,100,0,0
8887,0,0,0,0,100,100,0,0
8898,0,0,0,0,100,100,0,0
8899,0,0,0,0,100,100,0,0
8900,0,0,0,0,100,100,0,0
8901,0,0,0,0,100,100,0,0
8902,0,0,0,0,100,100,0,0
8903,0,0,0,0,100,100,0,0
8904,0,0,0,0,100,100,0,0
8905,0,0,0,0,100,100,0,0
8906,0,0,0,0,100,100,0,0
8907,0,0,0,0,100,100,0,0
8908,0,0,0,0,100,100,0,0
8909,0,0,0,0,100,100,0,0
8910,0,0,0,0,100,100,0,0
9001,0,0,0,0,100,100,0,0
9050,0,0,0,0,100,100,0,0
9051,0,0,0,0,100,100,0,0
9053,0,0,0,0,100,100,0,0
9054,0,0,0,0,100,100,0,0
9055,0,0,0,0,100,100,0,0
9057,26090,0,0,0,100,100,0,0
9059,26090,0,0,0,100,100,0,0
9062,26064,0,0,0,100,100,0,0
9063,0,0,0,0,100,100,0,0
9065,17253,35290,0,0,100,100,0,0
9066,17253,35290,0,0,100,100,0,0
9067,0,0,0,0,100,100,0,0
9068,17253,35290,0,0,100,100,0,0
9069,17253,35290,0,0,100,100,0,0
9070,17253,35290,0,0,100,100,0,0
9071,0,0,0,0,100,100,0,0
9072,17253,35290,0,0,100,100,0,0
9073,0,0,0,0,100,100,0,0
9074,17253,35290,0,0,100,100,0,0
9075,0,0,0,0,100,100,0,0
9076,17253,35290,0,0,100,100,0,0
9077,17253,35290,0,0,100,100,0,0
9078,17253,35290,0,0,100,100,0,0
9079,0,0,0,0,100,100,0,0
9080,17253,35290,0,0,100,100,0,0
9081,17253,35290,0,0,100,100,0,0
9082,17253,35290,0,0,100,100,0,0
9083,17253,35290,0,0,100,100,0,0
9084,0,0,0,0,100,100,0,0
9085,0,0,0,0,100,100,0,0
9086,0,0,0,0,100,100,0,0
9087,0,0,0,0,100,100,0,0
9088,0,0,0,0,100,100,0,0
9089,0,0,0,0,100,100,0,0
9090,0,0,0,0,100,100,0,0
9091,0,0,0,0,100,100,0,0
9111,16044,15749,24573,14100,100,100,100,100
9161,0,0,0,0,100,100,0,0
9477,0,24450,0,0,100,100,0,0
9504,29992,0,0,0,100,0,0,0
9612,13321,30849,0,0,100,100,0,0
9613,32202,31865,0,0,100,100,0,0
10391,34889,17253,0,0,100,100,0,0
10480,0,0,0,0,100,100,0,0
10481,34889,17253,0,0,100,100,0,0
10482,0,0,0,0,100,0,0,0
10483,0,0,0,0,100,100,0,0
10486,0,0,0,0,100,100,0,0
10487,0,0,0,0,100,100,0,0
10495,0,4167,0,0,100,100,0,0
10496,0,4167,0,0,100,100,0,0
10497,0,4167,0,0,100,100,0,0
10498,0,4167,0,0,100,100,0,0
10499,0,4167,0,0,100,100,0,0
10500,0,4167,0,0,100,100,0,0
10501,0,4167,0,0,100,100,0,0
10502,0,4167,0,0,100,100,0,0
10503,0,4167,0,0,100,100,0,0
10504,0,4167,0,0,100,100,0,0
10505,0,4167,0,0,100,100,0,0
10506,0,4167,0,0,100,100,0,0
10507,0,4167,0,0,100,100,0,0
10508,0,4167,0,0,100,100,0,0
10509,0,4167,0,0,100,100,0,0
10510,0,0,0,0,100,0,0,0
10511,0,4167,0,0,100,100,0,0
10512,0,4167,0,0,100,100,0,0
10513,0,4167,0,0,100,100,0,0
10514,0,4167,0,0,100,100,0,0
10515,0,4167,0,0,100,100,0,0
10516,0,4167,0,0,100,100,0,0
