FaceCustomizationOffset[0],FaceCustomizationOffset[1],FaceCustomizationOffset[2],CustomizeOffset[0],CustomizeOffset[1],CustomizeOffset[2],ID,Sex,DisplayID,CharComponentTextureLayoutID,Flags,SkeletonFileDataID,ModelFallbackChrModelID,TextureFallbackChrModelID,HelmVisFallbackChrModelID,CustomizeScale,CustomizeFacing,CameraDistanceOffset,BarberShopCameraOffsetScale,BarberShopCameraRotationFacing,BarberShopCameraRotationOffset
1.9,-0.0247,-0.26,0,-0.028,0,1,0,57899,103,2,4690413,0,0,0,1.1,0,-0.34,-0.0033,0,0
1.7,-0.0275,-0.41,0,-0.022,0,2,1,56658,104,2,4690412,0,0,0,1.2,0,-0.37,0.0048,0,0
3.6,0.048,0.12,0,0.081,0,3,0,51894,105,2,4690417,0,0,0,1,0.0174533,0.3,0.031,0,-0.0174533
1.7,0.081,-0.24,0,0.084,0,4,1,53762,106,2,4690416,0,0,0,1.1,0,-0.55,0,0,0
2,-0.0245,-0.32,0,-0.042,0,5,0,49242,107,2,4690407,0,0,0,1.2,0.0218166,-0.3,-0.011,0,0
2.1,-0.0285,-0.5,0,-0.03,0,6,1,53768,108,2,4690406,0,0,0,1.3,0.0174533,-0.15,0,0,0.00436332
1.9,-0.027,0,0,-0.03,0,7,0,54918,109,2,4690415,0,0,0,0.97,0.0349066,-0.45,0,0,-0.0174533
2.1,-0.027,-0.07,0,-0.05,0,8,1,54439,110,2,4993122,0,0,0,1,0.0523599,-0.3,-0.025,0,-0.0567232
1.7,0.007,0.03,0,0.155,0,9,0,54041,111,2,4690421,0,0,0,1.09,0.0392699,-0.45,0.136,0,-0.0392699
2,0.085,-0.3,0,0.104,0,10,1,56327,112,2,4690420,0,0,0,1.2,0.00872665,-0.35,0.017,0,0
2.7,0.0935,0.55,0,0.125,0,11,0,55077,113,1,4690423,0,0,0,0.78,0.01309,0.2,0.04,0,-0.00872665
2.3,0.063,0.12,0,0.092,0,12,1,56316,114,1,4690422,0,0,0,0.9,0.0392699,-0.08,0.015,0,-0.0261799
3.4,-0.025,-0.28,0,-0.017,0,13,0,51877,115,2,4690409,0,0,0,1.2,0,0.4,0.007,0,0
3.45,-0.024,-0.37,0,-0.022,0,14,1,53291,116,2,4690408,0,0,0,1.3,0,0.3,0.002,0,0
2.5,0.085,0.82,0,0.049,0,15,0,59071,117,3,4690425,0,0,0,0.87,0.001,0.1,-0.033,0,0.0174533
1.5,0.082,-0.01,0,0.15,0,16,1,59223,118,3,4690424,0,0,0,0.96,-0.0174533,-0.7,0.071,0,0.0174533
2.8,0.063,-0.23,0,0.1,0,17,0,6894,119,0,4690411,0,0,0,1.2,0.0349066,0.24,0.02,0,-0.0349066
2.5,0.076,-0.29,0,0.09,0,18,1,6895,120,0,4690410,0,0,0,1.2,0.0174533,-0.02,0.003,0,-0.00872665
2,-0.035,-0.25,0,0.083,0,19,0,62127,121,2,4690403,0,0,0,1.1,-0.0392699,-0.4,0.1052,0,0.0218166
2.1,0.079,-0.38,0,0.076,0,20,1,62128,122,2,4690402,0,0,0,1.2,-0.0523599,-0.35,-0.005,0,0.0349066
2.2,-0.0275,0.07,0,-0.014,0,21,0,57027,123,3,4690405,0,0,0,0.94,0,-0.3,0.009,0,-0.00872665
1.7,-0.0265,-0.03,0,-0.06,0,22,1,58232,124,3,4690404,0,0,0,0.98,-0.037,-0.58,-0.033,0,0.04
0,0,0,0,0,0,23,0,16981,153,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,24,1,16980,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,25,0,17402,2,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,26,1,17403,2,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,27,0,17576,153,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,28,1,17577,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,29,0,17578,1,0,0,9,9,0,1,0,0,0,0,0
0,0,0,0,0,0,30,1,17579,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,31,0,21685,2,2,199682,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,32,1,21686,2,2,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,33,0,21780,153,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,34,1,21781,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,35,0,21963,153,3,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,36,1,21964,1,3,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,37,0,26316,154,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,38,1,26317,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,39,0,26871,151,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,40,1,26872,152,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,41,0,26873,153,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,42,1,26874,1,0,0,0,0,0,1,0,0,0,0,0
2.3,-0.02,0.4,0,-0.035,0,43,0,29422,125,1,4690429,0,0,0,0.91,0.03054326,0.35,0,0,-0.0174533
2.1,-0.025,-0.2,0,0.01,0,44,1,29423,126,1,4690428,0,0,0,0.99,0,-0.25,0.035,0,0
2.5,0,0,0,0,0,45,0,57899,127,2,4690413,1,1,0,1,0,0,0,0,0
2,0,0,0,0,0,46,1,56658,128,2,4690412,0,0,0,1,0,0,0,0,0
2.7,-0.054,-0.1,0,-0.04,0,47,0,38551,129,28,4690419,0,0,0,1.05,-0.0349066,-0.44,0.017,0,0.0174533
2.8,-0.048,-0.3,0,-0.053,0,48,1,38552,130,28,4690418,0,0,0,1.1,0,-0.35,0.004,0,0
1.7,0.083,-0.02,0,0.087,0,53,0,75078,131,2,4690415,7,7,0,0.97,-0.00872665,-0.58,0.008,0,0.01309
1.6,0.083,-0.07,0,0.15,0,54,1,75079,132,0,4993122,0,0,0,1,0.0218166,-0.55,0.0673,0,-0.0218166
2.7,0.088,0.55,0,0.126,0,55,0,75080,133,1,4690423,11,11,0,0.78,0.00872665,-1.1,0.05,0,-0.00872665
2.3,0.062,0.12,0,0.088,0,56,1,75081,134,1,4690422,0,0,0,0.9,0.0523599,-0.12,0.008,0,-0.0349066
2,-0.147,-0.25,0,-0.029,0,57,0,75082,135,2,4690403,19,19,0,1.1,-0.0392699,-0.4,0.104,0,0.01309
1.7,-0.03,-0.4,0,-0.037,0,58,1,75083,136,2,4690402,0,0,0,1.2,-0.0174533,-0.46,-0.007,0,0.0349066
2.2,-0.0272,0.07,0,-0.014,0,59,0,75084,137,3,4690405,21,21,0,0.94,0,-1.4,0.016,0,0.00872665
1.7,-0.0265,-0.03,0,-0.059,0,60,1,75085,138,3,4690404,0,0,0,0.98,-0.037,-1.7,-0.029,0,0.0523599
2.2,0.081,0.42,0,0.159,0,61,0,79100,139,3,4690425,0,0,15,0.85,0.0436332,-0.45,0.087,0,-0.0523599
1.5,0.081,0.35,0,0.182,0,62,1,79101,140,1,4690424,0,0,16,0.84,0.0523599,-0.86,0.1183,0,-0.0698132
2.1,-0.029,0.23,0,-0.031,0,63,0,80387,141,2,4690413,0,0,1,0.9,0.0523599,-0.4,-0.002,0,-0.0872665
1.7,-0.0268,0.01,0,-0.034,0,64,1,80388,142,2,4690412,0,0,2,0.95,0.0218166,-0.5,-0.0065,0,-0.0174533
0,0,0,0,0,0,65,0,82317,2,2,0,10,9,1,1,0,0,0,0,0
0,0,0,0,0,0,66,1,82318,2,2,0,0,0,2,1,0,0,0,0,0
