ID,BattlePetStateID,Value,BattlePetAbilityID
19,1,1,131
34,2,1,88
35,21,1,151
36,23,-25,153
37,25,-25,154
38,25,75,161
39,24,-50,164
40,34,1,171
43,34,1,177
48,24,25,185
49,41,25,187
52,25,100,195
53,40,50,196
54,4,-25,196
58,23,125,207
59,23,100,215
60,23,0,220
61,23,100,222
62,24,-50,224
63,89,9,229
64,20,1,235
65,25,50,239
66,23,25,237
69,36,1,248
76,23,100,262
77,33,-1,264
79,21,1,271
80,24,50,280
81,23,100,281
82,68,1,284
83,1,1,285
84,1,1,288
85,24,-10,289
86,2,20,289
87,69,1,294
88,23,10,296
89,36,1,302
90,71,5,306
91,71,-5,309
92,73,100,311
93,71,3,313
94,71,-4,316
95,24,25,320
100,69,1,328
101,69,1,329
119,21,1,358
122,25,25,365
134,21,1,379
135,64,1,381
136,136,1,385
138,24,-50,391
139,21,1,397
143,77,1,410
146,25,25,425
147,71,-5,430
151,71,-5,435
158,71,2,446
161,23,10,458
162,82,1,462
171,23,25,485
172,23,50,487
173,77,1,491
174,23,-25,494
175,35,1,498
176,34,1,500
178,24,25,516
179,40,75,520
181,41,-25,526
182,23,-50,537
183,24,50,542
187,25,100,544
188,36,1,546
189,52,1,546
202,2,500,577
203,23,45,583
204,54,1,590
205,71,5,591
210,23,100,604
211,2,500,610
212,23,25,613
225,21,1,633
229,69,1,671
387,24,25,368
388,21,1,368
393,69,1,711
394,69,1,326
395,126,1,326
396,74,2,326
400,136,1,635
401,98,1,717
403,21,1,664
404,89,10,203
405,87,25,203
406,72,0,203
407,62,1,203
408,89,7,205
409,87,25,205
410,314,25,718
412,53,1,171
413,71,-5,454
414,41,-10,454
415,57,1,454
416,87,25,229
417,60,1,229
418,65,25,403
419,99,50,403
420,61,1,403
421,66,25,596
422,89,6,596
423,87,10,596
424,55,1,596
426,118,720,720
427,52,1,721
428,41,-20,721
429,23,50,245
430,68,1,242
434,69,1,480
435,126,1,480
436,74,2,480
437,69,1,464
438,126,1,464
439,74,2,464
440,69,1,434
441,126,1,434
442,74,2,434
443,69,1,438
444,74,2,438
445,75,438,438
446,69,1,443
447,126,1,443
448,74,2,443
449,29,1,341
450,33,1,341
451,23,-50,470
452,25,-50,470
453,35,1,734
454,22,1,734
455,35,1,174
456,22,1,174
457,25,50,735
459,69,1,333
460,74,2,333
461,75,333,333
462,25,-100,505
463,36,1,505
464,74,1,505
465,36,1,338
466,64,1,338
467,36,1,370
469,25,-25,415
470,52,1,415
471,29,1,737
472,33,1,737
473,34,1,502
474,23,25,739
475,69,1,747
476,74,1,750
477,41,50,251
478,40,25,251
479,74,1,759
480,21,1,781
482,52,1,785
484,52,1,787
485,40,50,790
487,66,-50,793
489,69,1,720
490,23,150,543
491,25,-30,543
492,66,-50,257
493,82,1,257
494,41,-10,257
495,56,1,257
496,118,799,799
497,69,0,799
498,73,100,804
501,23,25,807
502,24,50,807
504,69,1,810
506,69,1,189
508,29,1,331
509,98,1,331
510,69,1,819
511,98,1,246
512,36,1,246
513,35,1,246
514,41,-50,462
515,84,1,543
516,123,1,443
517,123,1,434
518,123,1,464
519,123,1,480
520,123,1,326
521,36,1,599
522,35,1,599
523,67,1,261
524,29,1,261
528,66,100,220
529,67,1,822
530,84,1,822
531,69,1,175
532,71,-5,823
533,36,1,331
534,35,1,331
535,30,1,331
536,29,1,829
537,98,1,829
538,36,1,829
539,35,1,829
540,30,1,829
541,29,1,830
542,30,1,830
543,67,1,565
544,29,1,565
545,29,1,340
546,30,1,340
547,36,1,322
548,33,1,322
549,75,443,443
550,75,434,434
551,75,464,464
552,75,480,480
553,75,326,326
556,30,1,565
557,35,1,822
562,25,100,837
563,29,1,839
564,33,1,839
565,40,50,841
586,36,1,848
587,52,1,848
588,25,100,850
589,29,1,852
590,33,1,852
591,20,99999,853
599,69,1,635
600,136,1,637
601,69,1,385
603,35,1,86
607,34,1,900
608,69,1,332
609,69,1,827
610,73,200,903
611,73,25,904
612,25,-50,911
613,71,-10,915
614,71,8,918
615,149,1,924
616,35,1,926
617,35,1,927
618,22,1,927
619,25,-50,928
620,40,-100,931
621,74,2,933
622,40,50,935
625,68,1,725
631,82,1,954
632,41,-100,954
633,24,-50,956
634,71,-10,959
635,71,-5,961
636,41,-25,963
637,124,4,968
638,23,100,970
639,24,100,970
642,41,-25,976
643,40,100,976
644,25,25,981
646,73,200,999
647,69,1,1001
648,71,-5,1006
649,41,-25,1009
650,82,1,1014
651,41,-100,1014
654,23,100,1028
655,35,1,1030
656,22,1,1030
657,24,-50,1034
659,41,20,1039
660,34,1,1042
661,71,-5,1044
662,73,50,1046
663,82,1,1048
664,21,1,1048
665,41,-100,1048
666,40,100,1053
667,69,1,1058
668,66,-50,1059
669,41,50,1061
670,40,50,1061
671,25,-25,1067
672,71,4,1067
673,36,1,1069
674,136,1,1071
675,158,1,1074
676,136,1,1081
677,69,1,1081
678,73,100,1083
684,24,-50,1089
692,24,-50,1111
708,23,100,1119
709,25,100,1119
710,23,-25,1120
711,23,25,1122
712,24,50,1122
713,73,100,1124
714,40,45,1128
717,22,1,498
718,40,15,1302
719,40,30,1303
720,40,60,1304
721,40,75,1305
722,41,25,425
723,40,25,425
724,73,33,1346
725,35,1,1348
726,22,1,1348
727,69,1,1355
728,29,1,1358
729,98,1,1358
730,36,1,1358
731,35,1,1358
736,71,-15,1379
739,40,50,1388
740,40,50,1387
742,191,500,1390
743,23,100,1391
744,24,50,1391
745,23,50,1399
747,98,1,1409
748,36,1,1409
749,35,1,1409
750,124,7,1417
751,124,5,1419
752,124,3,1420
753,23,50,1516
754,24,-50,1516
755,23,25,1534
756,40,25,1534
757,23,25,1546
758,25,-50,1571
759,73,100,1584
765,35,1,1593
766,22,1,1593
767,199,1,1593
769,71,-15,1628
770,23,50,1629
771,24,25,1629
772,35,1,1671
773,22,1,1671
774,73,25,1673
775,200,250,1674
776,73,200,1680
778,23,-25,242
779,23,125,1721
780,73,100,1723
781,24,100,1725
782,24,50,1726
783,66,-50,1732
784,24,-50,1734
786,41,50,1735
787,40,25,1735
788,71,-15,1757
789,40,75,1771
