ID,ParentSet,UiWidgetID
9462,1,2
9463,2,3
9464,1,4
9465,1,5
9466,1,6
9467,1,7
9468,1,8
9469,3,9
9470,3,10
9471,1,497
9472,1,498
9473,1,499
9474,1,500
9475,1,501
9476,2,502
9477,1,503
9478,1,504
9479,2,505
9480,2,506
9481,1,507
9482,1,508
9483,1,509
9484,1,510
9485,1,511
9486,1,512
9487,1,513
9488,1,514
9489,1,515
9490,1,516
9491,1,517
9492,1,518
9493,1,519
9494,2,520
9495,2,521
9496,1,522
9497,1,525
9498,1,526
9499,1,527
9500,1,528
9501,1,529
9502,1,530
9503,1,531
9504,1,532
9505,1,533
9506,1,534
9507,1,535
9508,1,536
9509,1,537
9510,2,538
9511,1,539
9512,2,540
9513,1,541
9514,1,542
9515,1,543
9516,1,544
9517,2,545
9518,1,546
9519,1,547
9520,1,548
9521,1,549
9522,1,550
9523,1,551
9524,1,552
9525,1,553
9526,1,554
9527,1,555
9528,1,556
9529,1,557
9530,1,558
9531,1,559
9532,1,560
9533,1,561
9534,1,562
9535,1,563
9536,1,564
9537,1,565
9538,1,566
9539,1,567
9540,1,568
9541,1,569
9542,1,570
9543,1,571
9544,1,572
9545,1,573
9546,1,574
9547,1,575
9548,1,576
9549,1,577
9550,1,578
9551,1,579
9552,1,580
9553,1,581
9554,1,582
9555,1,583
9556,1,584
9557,1,585
9558,1,586
9559,1,587
9560,1,588
9561,1,589
9562,1,590
9563,1,591
9564,1,592
9565,1,593
9566,1,594
9567,1,595
9568,1,596
9569,1,597
9570,1,598
9571,1,599
9572,1,600
9573,1,601
9574,1,602
9575,1,603
9576,1,604
9577,1,605
9578,1,606
9579,1,607
9580,1,608
9581,1,609
9582,1,610
9583,1,611
9584,1,612
9585,1,613
9586,1,614
9587,1,615
9588,1,616
9589,1,617
9590,1,618
9591,1,619
9592,1,620
9593,1,621
9594,1,622
9595,1,623
9596,1,624
9597,1,625
9598,1,626
9599,1,627
9600,1,628
9601,1,629
9602,1,630
9603,2,631
9604,1,632
9605,1,633
9606,1,634
9607,1,635
9608,1,636
9609,1,637
9610,1,638
9611,1,639
9612,1,640
9613,1,641
9614,1,642
9615,1,643
9616,1,644
9617,1,645
9618,1,646
9619,1,647
9620,1,648
9621,1,649
9622,1,650
9623,1,651
9624,1,652
9625,1,653
9626,1,654
9627,1,655
9628,1,656
9629,1,657
9630,1,658
9631,1,659
9632,1,660
9633,1,661
9634,1,662
9635,1,663
9636,1,664
9637,1,665
9638,1,666
9639,1,667
9640,1,668
9641,1,669
9642,1,670
9643,1,671
9644,1,672
9645,1,673
9646,1,674
9647,1,675
9648,1,676
9649,1,677
9650,1,678
9651,1,679
9652,1,680
9653,1,681
9654,1,682
9655,1,683
9656,1,684
9657,2,685
9658,1,686
9659,1,687
9660,1,688
9661,1,689
9662,1,690
9663,1,691
9664,1,692
9665,1,693
9666,1,694
9667,1,695
9668,1,696
9669,1,697
9670,1,698
9671,1,699
9672,1,700
9673,1,701
9674,1,702
9675,1,703
9676,1,706
9677,1,707
9678,1,708
9679,1,709
9680,1,710
9681,1,711
9682,1,712
9683,1,713
9684,1,714
9685,1,715
9686,1,716
9687,1,717
9688,1,718
9689,1,719
9690,1,720
9691,1,721
9692,1,722
9693,2,723
9694,2,724
9695,2,725
9696,2,726
9697,2,727
9698,2,728
9699,2,729
9700,1,730
9701,1,731
9702,1,732
9703,1,733
9704,1,736
9705,1,737
9706,1,738
9707,1,739
9708,1,740
9709,1,741
9710,1,742
9711,1,743
9712,1,744
9713,1,745
9714,1,746
9715,1,747
9716,1,748
9717,1,749
9718,1,750
9719,1,751
9720,1,752
9721,1,753
9722,1,754
9723,1,755
9724,1,756
9725,1,757
9726,1,758
9727,1,759
9728,1,760
9729,1,761
9730,1,762
9731,1,763
9732,1,764
9733,1,765
9734,1,766
9735,1,767
9736,1,768
9737,1,769
9738,1,770
9739,1,772
9740,1,773
9741,1,774
9742,2,775
9743,1,776
9744,2,777
9745,1,778
9746,1,779
9747,1,780
9748,1,781
9749,1,782
9750,1,783
9751,1,784
9752,1,785
9753,1,786
9754,1,787
9755,1,788
9756,1,789
9757,1,790
9758,1,791
9759,1,792
9760,1,793
9761,2,794
9762,2,795
9763,1,796
9764,1,797
9765,1,798
9766,1,799
9767,1,800
9768,1,801
9769,1,802
9770,1,803
9771,1,804
9772,1,805
9773,1,806
9774,1,807
9775,1,808
9776,1,809
9777,1,810
9778,1,811
9779,1,812
9780,1,813
9781,1,814
9782,1,815
9783,1,816
9784,1,817
9785,1,818
9786,1,819
9787,1,820
9788,1,821
9789,1,822
9790,1,823
9791,1,824
9792,1,825
9793,1,826
9794,1,827
9795,1,828
9796,1,829
9797,1,830
9798,1,831
9799,1,832
9800,1,833
9801,1,834
9802,1,835
9803,1,836
9804,1,837
9805,1,838
9806,1,839
9807,1,840
9808,1,841
9809,1,842
9810,1,843
9811,1,844
9812,1,845
9813,1,846
9814,1,847
9815,1,848
9816,1,849
9817,1,850
9818,1,851
9819,1,852
9820,1,853
9821,1,854
9822,1,855
9823,1,856
9824,1,857
9825,1,858
9826,1,859
9827,1,860
9828,1,861
9829,1,862
9830,1,863
9831,1,864
9832,1,865
9833,1,866
9834,1,867
9835,1,868
9836,1,869
9837,1,870
9838,1,871
9839,1,872
9840,1,873
9841,1,874
9842,1,875
9843,1,876
9844,1,877
9845,1,878
9846,1,879
9847,1,880
9848,1,881
9849,1,882
9850,1,883
9851,1,884
9852,1,885
9853,1,886
9854,1,887
9855,1,888
9856,1,889
9857,1,890
9858,1,891
9859,1,892
9860,1,893
9861,1,894
9862,2,895
9863,1,896
9864,1,897
9865,1,898
9866,1,899
9867,1,900
9868,1,901
9869,1,902
9870,1,903
9871,1,904
9872,1,905
9873,1,906
9874,1,907
9875,1,908
9876,1,909
9877,1,910
9878,1,911
9879,1,912
9880,1,913
