ID,ItemBonusTreeGroupID,ItemBonusTreeID
1,1,3351
2,2,3351
3,2,3062
4,2,3298
5,2,3572
6,2,3605
7,2,3703
8,2,3716
9,2,3717
10,2,3718
11,2,3719
12,2,3362
13,2,3371
14,2,3370
15,2,3369
16,2,3368
17,2,3708
18,2,3358
19,2,3435
20,3,3482
21,3,3515
24,3,3907
25,3,3909
38,2,3814
39,2,3840
40,3,3517
41,3,3751
42,3,3861
43,4,4012
44,4,3515
45,4,4158
46,4,4159
48,4,4079
51,3,3889
52,3,4083
54,3,3736
56,3,4069
57,3,4081
59,3,4120
60,3,4119
61,4,4001
62,4,4125
63,4,4126
64,4,4127
65,4,4128
66,4,4164
67,4,4121
68,4,4182
70,6,4196
73,6,4252
75,6,4195
76,6,4194
77,6,4193
78,6,4192
79,6,4191
83,6,4151
84,6,3515
85,6,4316
86,6,4317
87,7,4699
88,7,4382
89,7,4362
90,7,4361
91,7,4360
92,7,4359
93,7,4358
94,7,4364
95,7,4380
96,7,4381
97,7,4366
98,4,4255
99,8,4454
100,8,4617
101,8,4523
102,8,4522
103,8,4521
104,8,4520
105,8,4519
106,8,4316
107,8,4452
108,8,4151
109,8,3515
110,8,4614
111,6,4616
115,9,4814
116,9,4818
117,7,4486
118,7,4481
119,10,4486
120,10,4481
121,10,4950
122,10,4953
123,10,4908
124,10,4906
125,10,4904
126,10,4902
128,10,4364
129,10,4380
130,10,4952
131,10,4928
