ID,ItemCreationContext,OrderIndex,PVal,LabelID,Flags,PlayerConditionID,ItemContextPickerID
10,17,0,1,0,0,41853,5
11,1,1,1,0,0,41854,5
450,17,0,1,0,0,57361,55
451,18,1,1,0,0,63480,55
453,19,2,1,0,0,61808,55
565,1,3,1,0,0,57362,55
773,89,0,1,0,0,96274,213
775,90,0,1,0,0,96274,215
776,91,0,1,0,0,96274,216
777,92,0,1,0,0,96274,217
778,90,0,1,0,0,96273,218
779,90,0,1,0,0,96272,219
780,89,0,1,0,0,96273,220
781,89,0,1,0,0,96272,221
782,92,0,1,0,0,96273,222
783,92,0,1,0,0,96272,223
784,91,0,1,0,0,96273,224
785,91,0,1,0,0,96272,225
840,17,0,1,0,0,103325,241
841,1,1,1,0,0,103268,241
933,83,0,1,0,0,117992,256
934,83,0,1,0,0,117993,257
935,83,0,1,0,0,117994,258
936,82,0,1,0,0,117993,259
937,84,0,1,0,0,117993,260
938,85,0,1,0,0,117993,261
939,82,0,1,0,0,117994,262
940,84,0,1,0,0,117994,263
941,85,0,1,0,0,117994,264
942,82,0,1,0,0,117992,265
943,84,0,1,0,0,117992,266
944,85,0,1,0,0,117992,267
951,54,0,1,0,0,122327,269
994,17,0,1,0,1,120217,277
995,1,1,1,0,0,120217,277
