ID,NodeID,PinTemplateID
532,353,2
533,354,1
541,354,2
542,355,1
543,355,2
548,356,2
549,357,1
550,357,2
555,358,1
556,358,2
561,359,1
562,359,2
913,540,2
914,541,1
915,541,2
916,542,1
917,542,2
918,543,2
919,544,1
920,544,2
921,545,1
922,545,2
923,546,1
924,546,2
1219,748,2
1220,749,1
1221,749,2
1222,750,1
1223,750,2
1224,751,1
1225,751,2
1281,794,2
1282,795,1
1283,795,2
1284,796,1
1285,796,2
1286,797,1
1287,797,2
1288,798,2
1291,800,2
1292,801,1
1293,801,2
1294,802,1
1295,802,2
1298,803,2
1309,806,2
1313,809,2
1314,810,2
1315,811,2
1326,817,2
1327,818,1
1328,818,2
1329,819,1
1330,819,2
1345,826,1
1346,826,2
1347,827,2
1348,828,1
1349,828,2
1350,829,1
1351,829,2
1356,831,1
1357,831,2
1364,834,2
1381,840,1
1382,840,2
1387,843,1
1388,843,2
1395,846,1
1396,846,2
1397,847,1
1398,847,2
1401,839,1
1402,839,2
1403,848,2
1404,849,1
1405,849,2
1406,804,1
1407,804,2
1408,842,1
1409,842,2
1410,850,2
1411,851,1
1412,851,2
1413,852,1
1414,852,2
1415,853,1
1416,853,2
1419,855,1
1420,855,2
1433,862,1
1434,862,2
1435,854,1
1436,854,2
1437,863,1
1438,863,2
1447,869,2
1448,870,1
1449,870,2
1450,871,1
1451,871,2
1452,872,1
1453,872,2
1516,923,1
1517,923,2
1526,925,1
1527,925,2
1528,927,1
1529,927,2
1531,930,2
1532,928,2
1533,931,2
1534,931,1
1535,932,1
1536,932,2
1537,933,1
1538,933,2
1539,936,2
1540,937,1
1541,937,2
1542,938,1
1543,938,2
1544,935,2
1545,935,1
1546,934,1
1547,934,2
1554,942,1
1555,942,2
1556,943,1
1557,943,5
1558,943,6
1561,946,2
1562,947,1
1563,947,2
1564,948,2
1565,949,1
1566,949,2
1568,950,2
1569,951,1
1570,951,2
1571,953,1
1572,953,7
1573,953,8
1574,954,1
1575,954,2
1578,956,1
1581,958,1
1582,959,1
1583,960,1
