ID,Fidget,Index,CreatureSoundDataID
23475,13747,0,2665
24021,188329,0,5956
24022,188330,1,5956
30376,113553,0,7141
30377,113558,1,7141
32104,571,2,1
32105,572,3,1
32108,172422,2,5
32109,172421,3,5
32110,1128,2,25
32111,776,2,27
32112,597,2,29
32113,708,0,34
32114,708,1,34
32115,553,2,35
32116,720,2,36
32117,1121,2,37
32120,12339,2,38
32121,12339,3,38
32122,660,2,41
32123,1033,2,42
32124,1018,0,43
32125,137122,0,44
32126,556,2,44
32127,557,3,44
32128,407,0,45
32129,408,1,45
32130,1033,2,48
32131,452,0,62
32132,421,1,63
32133,725,0,65
32134,730,3,65
32135,2093,2,71
32136,2093,2,72
32139,591,1,75
32140,1135,2,77
32141,1011,2,78
32142,11818,0,79
32143,11819,0,80
32144,648,0,82
32145,648,2,82
32146,113874,0,83
32147,471,2,84
32148,764,2,85
32149,765,3,85
32150,714,2,90
32151,720,2,91
32152,720,2,92
32153,1033,2,116
32154,1033,2,117
32155,1033,2,118
32156,1033,2,119
32157,1033,2,120
32158,1033,2,121
32159,1392,3,135
32160,571,2,136
32161,572,3,136
32162,10083,0,145
32163,1416,3,164
32164,643,0,196
32165,643,1,196
32166,648,2,196
32167,77308,0,197
32168,3606,0,203
32169,3425,0,206
32170,3485,0,388
32171,232760,1,391
32172,3608,0,428
32173,772,0,668
32174,4414,0,688
32175,1416,3,1128
32176,648,0,1248
32177,3430,0,1288
32178,3430,1,1288
32179,3606,0,1428
32180,7143,0,1530
32181,771,0,1588
32182,771,1,1588
32183,16003,2,1728
32184,16004,3,1728
32185,391,0,1828
32186,391,1,1828
32187,1018,2,1828
32188,643,0,1829
32189,643,1,1829
32190,3425,0,1830
32191,3425,1,1830
32192,4414,0,1832
32193,4414,1,1832
32194,704,0,1833
32195,704,1,1833
32196,729,0,1834
32197,729,1,1834
32198,725,0,1868
32199,725,0,1869
32200,725,1,1869
32201,1027,0,1908
32202,11817,0,1928
32203,11816,0,1948
32204,15961,0,2112
32205,15961,1,2112
32206,8674,0,2115
32207,17328,2,2122
32208,17328,3,2122
32211,230497,2,2147
32212,230499,3,2147
32213,452,0,2169
32214,571,2,2172
32215,572,3,2172
32216,708,0,2178
32217,708,1,2178
32218,9913,0,2188
32221,246213,2,2196
32223,9918,0,2207
32224,25525,0,2208
32225,9913,0,2229
32226,9913,1,2229
32227,24156,0,2235
32228,25153,0,2236
32229,25153,0,2237
32230,764,2,2238
32231,765,3,2238
32232,24157,0,2254
32233,9913,0,2255
32234,9913,1,2255
32239,12339,0,2293
32240,12339,0,2294
32241,166499,0,2300
32242,166499,1,2300
32243,166499,2,2300
32244,166499,3,2300
32245,3606,0,2316
32246,3606,0,2327
32247,3606,1,2327
32248,11581,0,2332
32249,11581,1,2332
32250,11581,0,2333
32251,11581,1,2333
32252,5826,0,2341
32253,648,0,2346
32254,35298,0,2391
32255,35299,1,2391
32256,35300,2,2391
32257,17470,0,2399
32258,17470,1,2399
32259,17470,2,2399
32260,17470,3,2399
32261,11751,0,2450
32262,4554,0,2451
32263,4554,1,2451
32264,15149,0,2461
32265,11883,0,2484
32266,11883,1,2484
32267,11883,0,2489
32268,11883,1,2489
32269,113874,0,2499
32270,17479,0,2500
32271,13752,0,2516
32272,13753,1,2516
32273,16004,1,2522
32274,16004,3,2522
32275,16004,1,2523
32276,16004,3,2523
32277,12198,0,2542
32278,12199,1,2542
32279,12195,2,2566
32280,1018,2,2578
32281,25153,0,2614
32282,725,0,2618
32283,15976,0,2644
32284,15976,1,2644
32285,15976,2,2644
32286,15976,3,2644
32287,3606,0,2648
32288,3606,1,2648
32289,12962,0,2656
32290,46921,0,2660
32292,13747,0,2666
32293,13747,0,2667
32296,230497,2,2684
32297,230499,3,2684
32298,3606,0,2703
32299,3606,1,2703
32300,29476,0,2729
32301,46921,0,2733
32302,46921,0,2769
32303,46921,0,2770
32304,230501,0,2779
32305,13747,0,2784
32306,13747,0,2785
32307,648,0,2886
32308,17472,2,2892
32309,13753,0,2893
32310,15917,0,2925
32311,15917,1,2925
32312,101768,0,2942
32313,648,0,2948
32314,25529,0,2949
32317,15937,0,2997
32318,15934,0,2998
32319,15935,1,2998
32320,16491,3,2998
32321,15937,0,3002
32322,15937,0,3003
32323,648,0,3004
32324,120366,0,3022
32325,725,0,3031
32329,22454,2,3058
32330,22583,3,3058
32332,22450,1,3061
32333,22447,2,3061
32334,17641,0,3068
32335,17641,1,3068
32336,17641,2,3068
32337,17641,3,3068
32338,16483,1,3069
32339,16484,3,3069
32340,16489,1,3070
32342,17333,1,3099
32343,17333,3,3099
32344,17640,0,3100
32345,17640,1,3100
32346,17640,2,3100
32347,17640,3,3100
32350,230497,2,3101
32351,230499,3,3101
32352,771,0,3102
32353,17639,2,3103
32354,17774,0,3107
32355,17775,1,3107
32356,17775,2,3107
32357,17775,3,3107
32360,17777,2,3108
32361,17778,3,3108
32362,18139,0,3115
32363,18135,1,3115
32364,22900,0,3141
32365,139612,2,3142
32366,24158,0,3143
32367,19841,2,3183
32368,15976,0,3316
32369,15976,1,3316
32370,15976,2,3316
32371,15976,3,3316
32372,715,0,3319
32373,15917,0,3320
32374,15917,1,3320
32375,23563,0,3321
32376,776,2,3345
32377,553,2,3346
32378,49507,0,3349
32379,471,2,3350
32380,13747,0,3418
32381,15917,0,3430
32382,15917,1,3430
32384,230497,2,3466
32385,230499,3,3466
32387,25525,0,3903
32388,433,0,3909
32389,433,2,3909
32390,25360,0,3917
32393,17479,0,3964
32394,6694,0,3990
32395,6694,1,3990
32396,34828,1,4005
32397,27669,1,4006
32398,26623,0,4043
32399,26623,2,4043
32400,26631,2,4044
32401,6694,0,4045
32402,6694,1,4045
32403,1018,2,4045
32404,17328,2,4046
32405,17328,3,4046
32406,28157,1,4078
32407,26836,0,4079
32408,26852,0,4082
32409,27070,0,4086
32412,246213,2,4087
32414,26958,0,4093
32415,26985,1,4097
32416,32725,0,4099
32417,27077,0,4100
32418,32059,0,4101
32419,27077,0,4102
32420,27118,0,4104
32421,27182,0,4107
32422,34822,1,4119
32423,28153,0,4129
32424,28158,0,4130
32425,28507,1,4141
32426,28508,2,4141
32427,28600,0,4144
32428,28632,0,4146
32429,31068,1,4152
32430,2093,2,4155
32431,28911,1,4163
32432,29223,1,4167
32433,29224,2,4167
32434,26958,0,4196
32435,27077,0,4238
32436,32332,1,4250
32437,32332,1,4251
32438,27182,0,4255
32439,32740,0,4256
32440,32815,0,4259
32441,32784,0,4260
32442,32796,1,4261
32443,32807,1,4262
32444,16004,1,4275
32445,16004,3,4275
32446,33155,0,4277
32447,26623,0,4298
32448,26623,2,4298
32449,33558,0,4299
32450,33557,1,4299
32451,34167,0,4324
32452,34166,1,4324
32453,34165,2,4324
32458,34796,0,4351
32459,34835,0,4354
32460,35146,0,4378
32461,35146,1,4378
32462,35146,2,4378
32463,35146,3,4378
32464,35166,0,4380
32465,35165,1,4380
32466,35176,0,4381
32467,35177,1,4381
32470,35232,2,4383
32471,35233,3,4383
32472,35243,1,4384
32473,35244,2,4384
32474,35245,3,4384
32475,35298,0,4386
32476,35299,1,4386
32477,35300,2,4386
32478,27182,0,4406
32479,36142,0,4407
32480,36146,1,4407
32481,36131,0,4408
32482,36136,1,4408
32483,36147,0,4409
32484,36362,1,4409
32485,36164,1,4410
32486,36184,1,4411
32487,36192,1,4412
32490,36248,2,4420
32491,36247,3,4420
32492,36295,3,4421
32493,36431,0,4427
32494,36444,1,4427
32495,36461,0,4428
32496,36459,1,4428
32497,36295,3,4429
32498,36551,3,4430
32499,36591,0,4434
32500,36639,3,4436
32501,36662,0,4438
32502,36667,1,4438
