ID,HighlightFileDataID,HighlightAtlasID,UiMapArtStyleID
970,0,0,1
1194,137134,0,1
1195,0,0,1
1196,0,0,1
1197,0,0,1
1198,0,0,1
1199,0,0,1
1200,137151,0,1
1201,0,0,1
1202,137094,0,1
1203,137148,0,1
1204,137091,0,1
1205,137087,0,1
1206,137088,0,1
1207,137093,0,1
1208,0,0,1
1209,137110,0,1
1210,137175,0,1
1211,137162,0,1
1212,137191,0,1
1213,137137,0,1
1214,137144,0,1
1215,137145,0,1
1216,137133,0,1
1217,0,0,1
1218,0,0,1
1219,0,0,1
1220,137156,0,1
1221,0,0,1
1222,0,0,1
1223,0,0,1
1224,137124,0,1
1225,0,0,1
1226,0,0,1
1227,0,0,1
1228,137138,0,1
1229,0,0,1
1230,0,0,1
1231,0,0,1
1232,0,0,1
1233,137131,0,1
1234,0,0,1
1235,137135,0,1
1236,137149,0,1
1237,137155,0,1
1238,137165,0,1
1239,137168,0,1
1240,137192,0,1
1241,0,0,1
1242,0,0,1
1243,137193,0,1
1244,137170,0,1
1245,0,0,1
1246,0,0,1
1247,137128,0,1
1248,137089,0,1
1249,137173,0,1
1250,137163,0,1
1251,137132,0,1
1252,137141,0,1
1253,137136,0,1
1254,137169,0,1
1255,0,0,1
1256,0,0,1
1257,0,0,1
1258,0,0,1
1259,137090,0,1
1260,137140,0,1
1261,137190,0,1
1262,0,0,1
1263,137150,0,1
1264,137160,0,1
1265,0,0,1
1266,137194,0,1
1267,137164,0,1
1268,137154,0,1
1269,137146,0,1
1270,137174,0,1
1271,137129,0,1
1272,137189,0,1
1273,0,0,1
1274,0,0,1
1275,0,0,1
1278,0,0,4
1279,0,0,4
1997,8032235,0,1
2031,0,0,1
2034,0,0,1
2054,8032822,0,1
2098,0,0,1
2121,137155,0,1
2126,137175,0,1
2130,137132,0,1
2132,8032779,0,1
2133,137087,0,1
2134,137137,0,1
2140,8027540,0,1
2141,0,0,1
2142,137148,0,1
2145,0,0,4
2146,0,0,1
2147,137088,0,1
2148,137110,0,1
2149,137124,0,1
2150,137131,0,1
2151,137133,0,1
2152,137135,0,1
2153,137138,0,1
2154,137144,0,1
2155,0,0,1
2156,137149,0,1
2157,137156,0,1
2158,137162,0,1
2159,137093,0,1
2160,137165,0,1
2161,137168,0,1
2162,137145,0,1
2163,0,0,1
2164,137191,0,1
2165,137192,0,1
2166,137193,0,1
2167,137089,0,1
2168,137090,0,1
2169,137134,0,1
2170,137141,0,1
2171,137128,0,1
2172,0,0,1
2173,137136,0,1
2174,137140,0,1
2175,137150,0,1
2176,0,0,1
2177,137160,0,1
2178,137163,0,1
2179,137169,0,1
2180,137170,0,1
2181,137094,0,1
2182,137173,0,1
2183,0,0,1
2184,137190,0,1
2185,137194,0,1
2186,0,0,1
2187,0,0,1
2188,0,0,1
2190,0,0,4
