ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,Pack of Imps,102,42846,1396680,47,0
10,Swarm of Wild Imps,102,40902,1396698,48,1
11,Black Harvest Acolytes,103,41214,1396691,49,0
16,Black Harvest Invokers,103,41213,1452660,50,1
17,Tirisgarde Apprentices,72,41574,1396696,20,0
18,Kirin Tor Invokers,72,41575,1396699,21,1
19,Water Elementals,73,42839,1396675,18,0
20,Arcane Golems,73,41573,1401852,19,1
21,Ox Initiates,67,42840,1396688,22,0
22,Ox Adepts,67,40092,1396705,23,1
23,Tiger Initiates,66,40012,1396706,25,0
24,Tiger Adepts,66,40138,1396707,26,1
25,Lesser Elementals,97,42847,1396645,40,0
26,Greater Elementals,97,41422,1396658,41,1
27,Circle of Earthcallers,98,40260,1396708,42,0
28,Earthen Ring Geomancers,98,41421,1401884,43,1
29,Ascendants,139,41525,1396660,44,0
30,Squad of Archers,86,42842,1401885,14,0
31,Unseen Marksmen,86,41557,1401886,15,1
32,Band of Trackers,85,41559,1401887,16,0
33,Pathfinders,85,41560,1401888,17,1
34,Dreamgrove Treants,81,42843,1396694,10,0
35,Daughters of Cenarius,81,41580,1396686,11,1
36,Druids of the Claw,82,41581,1396668,12,0
37,Keepers of the Grove,82,41582,1396684,13,1
38,Squad of Squires,87,42841,1396701,28,0
39,Shieldbearer Phalanx,87,41588,1396702,29,1
40,Silver Hand Knights,88,41589,1396703,30,0
41,Silver Hand Templar,88,41590,1396704,31,1
42,Valarjar Aspirants,99,42845,1401869,51,0
43,Stormforged Valarjar,99,41592,1401871,52,1
44,Shieldmaiden Warband,100,41593,1401854,53,0
45,Valkyra Shieldmaidens,100,41594,1401874,54,1
46,Ashtongue Warriors,79,42844,1401873,6,0
47,Naga Myrmidon,79,41635,1401889,7,1
48,Illidari Adepts,80,41636,1401865,8,0
49,Transformed Illidari Adepts,80,41637,1401883,9,1
50,Pack of Ghouls,75,42837,1401858,2,0
51,Geist Swarm,75,42838,1401859,3,1
52,Ebon Knights,76,41676,1401866,4,0
53,Ebon Ravagers,76,41677,1401855,5,1
54,Gang of Bandits,93,42848,1401891,36,0
55,Defias Thieves,93,41707,1401892,37,1
56,Uncrowned Duelists,94,41705,1401893,38,0
57,Crew of Pirates,94,41704,1401894,39,1
58,Celestial,105,40060,1401861,59,0
59,Group of Acolytes,91,42849,1086381,32,0
60,Netherlight Paragons,91,41906,1066217,33,1
61,Band of Zealots,92,41907,1066169,34,0
62,Dark Zealots,92,41908,1066121,35,1
63,Ancient of War,96,42818,1452563,58,0
64,Abomination,77,43780,1401851,0,0
65,Coilskar Brute,144,47107,1551349,0,0
66,Grimtotem Warriors,145,47112,1551342,80,0
67,Kirin Tor Guardians,147,48413,1604890,68,0
68,Ebon Knight Frostreavers,148,48417,1605028,64,0
69,Shock Force,149,49177,1605040,75,0
70,Dreamgrove Wardens,150,48415,1589538,66,0
71,Shivarra,151,48416,1589536,65,0
72,Earthen Ring Protectors,152,48408,1589546,73,0
73,Masters of Serenity,153,48412,1605031,69,0
74,Felguard Brutes,154,48407,1589549,74,0
75,Hooded Priests,155,48410,1589544,71,0
76,Silver Hand Crusaders,156,48411,1605020,70,0
77,Ravenholdt Assassins,157,48409,1605036,72,0
78,Nightborne Hunters,158,48414,1551348,67,0
80,Shock Force,149,49178,1605021,75,1
81,Krokul Ridgestalker,160,50765,1712229,77,0
82,Void-Purged Krokul,161,51511,1712228,78,0
83,Lightforged Bulwark,162,51512,1694048,76,0
