ID,Field_9_0_1_33978_000,Field_9_0_1_33978_001,Field_9_0_1_33978_002,Field_9_0_1_33978_003,Field_9_0_1_33978_004,Field_9_0_1_33978_005,Field_9_0_1_33978_006,Field_9_0_1_33978_007,Field_9_0_1_33978_008,Field_9_0_1_33978_009,Field_9_0_1_33978_010,Field_9_0_1_33978_011,Field_9_0_1_33978_012,Field_9_0_1_33978_013,Field_9_0_1_33978_014,Field_9_0_1_33978_015,Field_9_0_1_33978_016,Field_9_0_1_33978_017,Field_9_0_1_33978_018,Field_9_0_1_33978_019,Field_9_0_1_33978_020,Field_9_0_1_33978_021,Field_9_0_1_33978_022,Field_9_0_1_33978_023,RibbonTexture,Field_9_0_1_33978_025,Field_9_0_1_33978_026,Flags,Field_9_0_1_33978_028,Field_9_0_1_33978_029,EffectTexture[0],EffectTexture[1],EffectTexture[2]
2,0.04,1,-0.5,0,0.02,1,-0.1,0,1,1,0,0,0.02,0.2,-1,0.05,1,1,1,1,1,1,1,1,1890056,0,2,3,0,0,1715283,3153964,1715283
3,1,1,-0.02,0.05,0.005,1,-0.05,0.02,0.04,1,-0.5,-0.02,0.001,1,-0.02,0.01,1,1,1,1,2,2,2,2,3580329,0,3,0,0,2,1715283,3258604,1715283
6,0.01,1,-0.05,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,1,-0.15,0.05,0.78823537,0.91372555,1,1,4,4,4,1,3580336,0,5,14,1,0.5,3258609,3580331,3580331
9,0.1,1,0.1,0.1,0.01,0.2,0,0,0.02,0.2,0,0,0.005,0.1,-0.15,0.05,1,1,1,1,1,1,1,1,1890056,0,0,3,1,0.5,895601,984062,1715283
10,0.04,1,-1,0,0.02,0.2,-0.1,0,1,1,0,0,0.02,0.2,-1,0.05,1,1,1,1,1,1,1,1,1890056,2,5,3,0,0,192272,1715283,1715283
11,0.02,0.4,-0.1,0.1,0.02,0.2,-0.2,0.02,0.04,0.4,-0.2,-0.02,0.01,0.1,-0.2,0.05,1,1,1,1,10,1,1,10,1890056,1,8,3,0,0,1114561,192272,1715283
12,0.01,0.4,-0.12,0.02,0.01,0.2,-0.5,0,0.02,0.2,-0.1,0,0.005,0.1,-0.15,0.05,1,1,1,1,10,1,1,10,1890056,0,8,7,1,0,1114561,1715203,1715203
13,0.005,1,-0.05,0.01,0.005,1,-0.1,-0.02,0.01,1,-0.1,0.01,0.005,0.1,-0.15,0.05,0.30980393,0.5686275,0.7176471,1,2,2,2,1,3580329,6,20,12,1,0.5,3258608,3258608,1715283
14,0.005,1,-0.07,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,1,-0.15,0.05,0.21176472,0.46274513,0.6392157,1,4,4,4,16,3580269,0,20,12,1,0.5,3258605,1715283,1715283
15,0.001,1,-0.04,0.012,0.001,1,-0.08,-0.01,0.02,1,-0.1,0.01,0.005,0.1,-0.15,0.05,0.21568629,0.4431373,0.63529414,1,4,4,4,1,1966574,0,10,4,1,0.5,3258610,3258607,3258607
16,0.04,1,-0.5,0,0.02,0.2,-0.1,0,1,1,0,0,0.02,0.2,-1,0.05,1,1,1,1,1,1,1,1,1890056,0,2,2,0,0,1715283,3153964,1715283
17,0.01,10,-0.15,0.05,0.005,1,-0.1,0.02,0.04,1,-0.1,-0.02,0.0005,1,-0.0005,-0.1,1,0,0,1,20,4,4,50,2388503,0,5,7,0,2,3525883,3258611,1715283
18,0.001,1,-0.01,0.01,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.002,1,-0.15,0.05,1,1,1,1,16,4,4,20,3064390,10,10,1,0,1,3258612,3258613,3258613
19,0.01,1,-0.05,0.01,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,0.1,-0.15,0.05,1,1,1,1,6,4,4,0.75,1966574,6,5,5,1,1,3258614,3258614,3258614
20,0.01,1,-0.05,0.05,0.008,1,-0.1,-0.02,0.018,1,-0.1,0.01,0.005,1,-0.15,0.05,1,1,1,1,4,4,4,20,3064390,2,10,5,1,0.8,3307834,3258613,3258613
21,0.012,1,-0.1,0.02,0.008,1,-0.1,-0.01,0.018,1,-0.05,0.005,0.005,1,-0.1,-0.1,1,1,1,1,4,4,4,20,1006703,0,10,5,1,0.5,3258605,3258613,3258613
22,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1598548,0,0,0,0,0,1598548,1598548,1598548
23,0.01,1,-0.15,0.05,0.005,1,-0.1,0.02,0.0025,1,-0.1,-0.5,0.0025,1,-0.1,-0.5,1,1,1,1,16,16,16,20,985109,5,15,3,0,1,3307836,3307842,985109
24,0.001,1,-0.01,0.01,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.01,1,-0.3,0.6,0.18823531,0.4431373,0.427451,1,0,10,7,50,985109,0,15,3,0,0,3258612,3258610,3258610
25,0.001,1,-0.012,-0.02,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.01,1,-0.3,0.5,0.18823531,0.4431373,0.427451,1,0,10,7,50,985109,0,20,3,0,0,3258612,3258610,3258610
26,0.01,6,0.2,0.05,0.008,1,-0.2,-0.02,0.018,1,0.2,0.01,0.005,1,-0.01,0.01,1,1,1,1,4,4,4,8,952533,0,20,5,1,2,3193683,3258613,3258613
27,0.01,6,-0.01,0.05,0.008,1,-0.05,-0.02,0.018,1,-0.05,0.01,0.002,1,-0.1,0.005,1,1,1,1,8,8,8,8,1966574,10,10,7,1,0.5,3193683,2438992,2438992
28,0.01,2,-0.01,0.01,0.01,1,-0.05,-0.02,0.02,1,-0.01,0.01,0.005,1,-0.05,0.02,0.03529412,0.42352945,1,1,2,2,2,20,203601,0,12,6,1,0.5,3307830,193532,193532
29,0.001,1,-0.01,0.01,0.001,1,-0.02,0.005,0.001,1,-0.1,-0.02,0.01,1,-0.15,0.05,1,1,1,1,4,4,4,4,3580258,0,2,4,0,0,3580244,3580244,3580244
30,0.01,2,0.2,-0.1,0.008,1,0.1,-0.02,0.0025,1,0.1,-0.5,0.0025,1,0.1,0,1,1,1,1,1,1,1,20,3580269,0,30,1,1,-2,3307841,3307838,985109
31,0.01,1,0.1,-0.1,0.008,1,0.1,-0.02,0.0025,1,0.1,-0.5,0.0025,1,0.1,0,1,1,1,1,1,1,1,15,3580269,0,30,1,1,1,3307837,3307838,3580269
32,0.1,3,-3,1,0.12,3,-2.5,-1,0.0025,1,-0.1,-0.5,0.0025,1,-0.1,-0.5,1,1,1,1,16,16,16,4,985109,0,15,1,1,0,2024920,2024920,985109
33,0.02,1,0.5,0,0.06,2,1,-0.1,0.0025,1,0.1,0,0.0025,1,0.1,0,0,0,0,1,4,4,4,8,3580269,0,15,1,1,0.2,3580349,3308184,3580269
34,0.02,1,0.5,0,0.0025,1,0.1,0,0.0025,1,0.1,0,0.0025,1,0.1,0,1,1,1,1,16,16,16,20,3580269,10,15,3,0,0.2,3580348,3308184,3580269
35,0.01,0.1,-0.05,0.01,0.1,3,-0.7,-0.1,0.04,1,-0.1,0.02,0.01,0.1,-0.05,0.01,0.83921576,0.023529414,0,1,4,4,4,200,3580329,0,10,3,0,1,3580329,3580351,1715283
36,0.01,1,-0.05,0.01,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,0.1,-0.15,0.05,1,1,1,1,4,4,4,0.75,1966574,6,5,5,1,1,3307832,3307832,3307832
37,0.012,1,-0.14,0.02,0.008,1,0,0,0.018,1,0,0,0.01,0.1,-0.05,0.01,1,1,1,1,4,4,4,5,3580329,2,10,0,1,1,3258612,3258613,3258613
38,0.01,2,-0.07,0.02,0.01,1,0,0,0.02,1,0,0,0.01,0.1,-0.05,0.01,1,1,1,1,4,4,4,10,3580329,2,7,1,1,1.5,3258612,3258613,3258613
