ID,DeclinedWord,CaseIndex,DeclinedWordID
2819158,алого ядра,1,413694
2819159,алому ядру,2,413694
2819160,алое ядро,3,413694
2819161,алым ядром,4,413694
2819162,алом ядре,5,413694
2819163,алого крестоносца,1,413695
2819164,алому крестоносцу,2,413695
2819165,алого крестоносца,3,413695
2819166,алым крестоносцем,4,413695
2819167,алом крестоносце,5,413695
2819168,артиллериста Алого ордена,1,413696
2819169,артиллеристу Алого ордена,2,413696
2819170,артиллериста Алого ордена,3,413696
2819171,артиллеристом Алого ордена,4,413696
2819172,артиллеристе Алого ордена,5,413696
2819173,архимага Нилуса Премудрого,1,413697
2819174,архимагу Нилусу Премудрому,2,413697
2819175,архимага Нилуса Премудрого,3,413697
2819176,архимагом Нилусом Премудрым,4,413697
2819177,архимаге Нилусе Премудром,5,413697
2819178,беженца из Нового Авалона,1,413698
2819179,беженцу из Нового Авалона,2,413698
2819180,беженца из Нового Авалона,3,413698
2819181,беженцем из Нового Авалона,4,413698
2819182,беженце из Нового Авалона,5,413698
2819183,беженки из Нового Авалона,1,413699
2819184,беженке из Нового Авалона,2,413699
2819185,беженку из Нового Авалона,3,413699
2819186,беженкой из Нового Авалона,4,413699
2819187,беженке из Нового Авалона,5,413699
2819188,боевого орудийного ловчего,1,413700
2819189,боевому орудийному ловчему,2,413700
2819190,боевого орудийного ловчего,3,413700
2819191,боевым орудийным ловчим,4,413700
2819192,боевом орудийном ловчем,5,413700
2819193,бойца пехоты Алого ордена,1,413701
2819194,бойцу пехоты Алого ордена,2,413701
2819195,бойца пехоты Алого ордена,3,413701
2819196,бойцом пехоты Алого ордена,4,413701
2819197,бойце пехоты Алого ордена,5,413701
2819198,верховного рыцаря Калдорана,1,413702
2819199,верховному рыцарю Калдорану,2,413702
2819200,верховного рыцаря Калдорана,3,413702
2819201,верховным рыцарем Калдораном,4,413702
2819202,верховном рыцаре Калдоране,5,413702
2819203,всадницы из ордена Серебряного Рассвета,1,413703
