ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,A delivery of delicious fish is coming soon!,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Generate a shipment of Alchemical Catalysts.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Alchemical Catalyst,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Generates a shipment of meat, leather, or fur, depending on the creature captured.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Barn Shipment,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Generates a shipment of Garrison Resources from timber harvested from around Draenor.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Lumber Mill Shipment,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Generate a shipment of Hexweave Cloth. 

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Hexweave Cloth,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Generate a shipment of Truesteel Ingots.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Truesteel Ingot,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Generate a shipment of Burnished Leather.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Burnished Leather,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Generate a shipment of Taladite Crystal.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Taladite Crystal,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
