FileDataID,UsageType,MaterialResourcesID
117401,0,3616
117402,0,3617
117403,0,3618
117404,0,3619
117405,0,3620
117406,0,3621
117407,0,3622
117408,0,3623
117409,0,3624
117410,0,3625
117413,0,3627
117414,0,3628
117415,0,3629
117416,0,3630
117417,0,3631
117418,0,3632
117419,0,3633
117420,0,3634
117421,0,3635
117422,0,3636
117423,0,3637
117424,0,3638
117425,0,3639
117426,0,3640
117427,0,3641
117428,0,3642
117429,0,3643
117430,0,3644
117431,0,3645
117432,0,3646
117433,0,3647
117434,0,3648
117435,0,3649
117436,0,3650
118035,0,2727
118036,0,2728
118037,0,2729
118038,0,2730
118039,0,2731
118040,0,2732
118041,0,2733
118042,0,2734
118043,0,2735
118044,0,2736
118085,0,2777
118086,0,2778
118087,0,2779
118088,0,2780
118089,0,2781
118090,0,2782
118091,0,2783
118092,0,2784
118093,0,2785
118094,0,2877
118136,0,2919
118137,0,2920
118138,0,2921
118139,0,2922
118140,0,2923
118141,0,2924
118142,0,2925
118143,0,2926
118144,0,2939
118145,0,2990
118146,0,2928
118147,0,2929
118148,0,2930
118149,0,2931
118150,0,2932
118151,0,2933
118152,0,2934
118153,0,2935
118154,0,2936
118155,0,2937
118156,0,2938
118157,0,2940
118158,0,2941
118159,0,2942
118160,0,2943
118161,0,2944
118162,0,2945
118163,0,2946
118164,0,2947
118165,0,2948
118166,0,2949
118167,0,2950
118168,0,2951
118169,0,2952
118170,0,2953
118171,0,2954
118172,0,2955
118173,0,2956
118174,0,2957
118175,0,2958
118176,0,2959
118177,0,2960
118178,0,2961
118179,0,2962
118180,0,2963
118181,0,2964
118182,0,2965
118183,0,2966
118184,0,2967
118185,0,2968
118186,0,2969
118187,0,2970
118188,0,2971
118189,0,2972
118190,0,2973
118191,0,2974
118192,0,2975
118193,0,2976
118194,0,2977
118195,0,2978
118196,0,2979
118197,0,2980
118198,0,2981
118199,0,2982
118200,0,2983
118201,0,2984
118202,0,2985
118203,0,2986
118204,0,2987
118205,0,2988
118206,0,2989
118207,0,2991
118208,0,2992
118209,0,2993
118210,0,2994
118211,0,2995
118212,0,2996
118213,0,2997
118214,0,2998
118215,0,2999
118216,0,3000
118217,0,3001
118218,0,3002
118219,0,3003
118220,0,3004
118221,0,3005
118222,0,3006
118223,0,3007
118224,0,3008
118225,0,3009
118226,0,3010
118227,0,3011
118228,0,3012
118229,0,3013
118230,0,3014
118231,0,3015
118232,0,3016
118233,0,3017
118234,0,3018
118235,0,3019
118236,0,3020
118237,0,3021
118238,0,3022
118239,0,3023
118240,0,2348
118241,0,2349
118242,0,2350
118243,0,2351
118244,0,2352
118245,0,2353
118246,0,2354
118247,0,2355
118248,0,2356
118249,0,2357
118250,0,2358
118251,0,2359
118252,0,2360
118253,0,2361
118254,0,2362
118255,0,2363
118256,0,2364
118257,0,2365
118258,0,2366
118259,0,2367
118260,0,2368
118261,0,2369
118262,0,2370
118263,0,2371
118264,0,2372
118265,0,2373
118266,0,2374
118267,0,2375
118268,0,2376
118269,0,2377
118270,0,2378
118271,0,2379
118272,0,2380
118273,0,2381
118274,0,2382
118275,0,2383
118276,0,2384
118277,0,2385
118278,0,2386
118279,0,2387
118280,0,2388
118281,0,2389
118282,0,2390
118283,0,2391
118284,0,2392
118285,0,2393
118286,0,2394
118287,0,2395
118288,0,2396
118289,0,2397
118290,0,2398
118291,0,2399
118292,0,2400
118293,0,2401
118294,0,2402
118295,0,2403
118296,0,2404
118297,0,2405
118298,0,2406
118299,0,2407
118300,0,2408
118301,0,2409
118302,0,2410
118303,0,2411
118304,0,2412
118305,0,2413
118306,0,2414
118307,0,2415
118308,0,2416
118309,0,2417
118310,0,2418
118311,0,2419
118312,0,2420
118313,0,2421
118314,0,2422
118315,0,2423
118316,0,2424
118317,0,2425
118318,0,2426
118319,0,2427
118320,0,2428
118321,0,2429
118322,0,2430
118323,0,2431
118324,0,2432
118325,0,2433
118326,0,2434
118327,0,2435
118328,0,2436
118329,0,2437
118330,0,2438
118331,0,2439
118332,0,2440
118333,0,2441
118334,0,4506
118335,0,4507
118336,0,4501
118337,0,4502
118338,0,4503
118339,0,4504
118340,0,4505
118341,0,4508
118342,0,4509
118343,0,4510
118344,0,4511
118345,0,4512
118346,0,4513
118347,0,4514
118348,0,4515
118349,0,4516
118350,0,4517
118351,0,4518
118352,0,4519
118353,0,4520
118354,0,4521
118356,0,4522
118357,0,4523
118358,0,4524
118359,0,4525
118360,0,4526
118361,0,4527
118362,0,73627
118363,0,73628
118364,0,73629
118366,0,4529
118367,0,4530
118368,0,4531
118369,0,4532
118370,0,4533
118371,0,4534
118372,0,73637
118373,0,73638
118374,0,73639
118376,0,4536
118377,0,4537
118378,0,4538
118379,0,4539
118380,0,4540
118381,0,4541
118382,0,73647
118383,0,73648
118384,0,73649
118386,0,4543
118387,0,4544
118388,0,4545
118389,0,4546
118390,0,4547
118391,0,4548
118392,0,73654
118393,0,73655
118394,0,73656
118395,0,4549
118396,0,4550
118397,0,4551
118398,0,4552
118399,0,4553
118400,0,4554
118401,0,73661
118402,0,73662
118403,0,73663
118404,0,4555
118405,0,4556
118406,0,4557
118407,0,4558
118408,0,4559
118409,0,4560
118410,0,73668
118411,0,73669
118412,0,73670
118413,0,4561
118414,0,4562
118415,0,4563
118416,0,4564
118417,0,4565
118418,0,4566
118419,0,73675
118420,0,73676
118421,0,73677
118422,0,4567
118423,0,4568
118424,0,4569
118425,0,4570
118426,0,4571
118427,0,4572
118428,0,73682
118429,0,73683
118430,0,73684
118431,0,4573
118432,0,4574
118433,0,4575
118434,0,4576
118435,0,4577
118436,0,4578
118437,0,73689
118438,0,73690
118439,0,73691
118440,0,4581
118441,0,4579
118442,0,4580
118443,0,4582
118444,0,4583
118445,0,4584
118446,0,73696
118447,0,73697
118448,0,73698
118449,0,4585
118450,0,4586
118451,0,4587
118452,0,4588
118453,0,4589
118454,0,4590
118455,0,4591
118456,0,4592
118457,0,4593
118459,0,4595
118460,0,4596
118461,0,4597
118462,0,4598
118463,0,4599
118464,0,4600
118465,0,4601
118466,0,4602
118467,0,4603
118469,0,4605
118470,0,4606
118471,0,4607
118472,0,4608
118473,0,4609
118474,0,4610
118475,0,4611
118476,0,4612
118477,0,4613
118479,0,4615
118480,0,4616
118481,0,4617
118482,0,4618
118483,0,4619
118484,0,4620
118485,0,4621
118486,0,4622
118487,0,4623
118488,0,4624
118489,0,4625
118490,0,4626
118491,0,4627
118492,0,4628
118493,0,4629
118494,0,4630
118495,0,4631
118496,0,4632
118497,0,4633
118498,0,4634
118499,0,4635
118500,0,4636
118501,0,4637
118502,0,4638
118503,0,4639
118504,0,4640
118505,0,4641
118506,0,4642
118507,0,4643
118508,0,4644
118509,0,4645
118510,0,4646
118511,0,4647
118512,0,4648
118513,0,4649
118514,0,4650
118515,0,4651
118516,0,4652
118517,0,4653
118518,0,4654
118519,0,4655
118520,0,4656
118521,0,4657
118522,0,4658
118523,0,4659
118524,0,4660
118525,0,4661
118526,0,4662
118527,0,4663
