ID,AnimationID,SequenceVariation,AnimKitID,SpellVisualKitID,Alpha,Scale,AnimSpeed
1,0,0,0,0,1,4,1
6,0,0,0,0,1,3.5,1
9,0,0,0,0,1,7,1
10,0,0,0,0,1,4,1
11,0,0,0,0,1,3,1
14,0,0,0,0,1,3,1
15,0,0,0,0,1,3,1
43,0,0,0,0,1,0.95,1
148,0,1,0,0,1,0.95,1
163,0,0,0,0,1,1.1,1
164,0,0,0,0,1,0.85,1
166,0,0,0,0,1,0.9,1
170,0,0,0,0,1,1,1
171,0,1,0,0,1,0.75,1
172,0,0,0,0,1,0.95,1
174,0,0,0,0,1,2,1
176,0,0,0,0,1,0.9,1
179,0,0,0,0,1,1.1,1
180,0,0,0,0,1,0.85,1
184,0,0,0,0,1,0.75,1
189,0,0,0,0,1,1.1,1
193,0,0,0,0,1,50,1
194,0,0,0,0,1,6,1
197,0,0,0,0,1,0.95,1
198,0,0,0,0,1,1.25,1
199,0,0,0,0,1,1.5,1
201,0,0,0,0,1,1.5,1
216,0,0,0,0,1,1.15,1
217,0,0,0,0,1,1.05,1
218,0,0,0,0,1,1.1,1
219,0,0,0,0,1,1.25,1
220,0,0,0,0,1,0.95,1
221,0,0,0,0,1,0.95,1
226,0,0,0,0,1,0.7,1
227,0,0,0,0,1,0.8,1
228,0,0,0,0,1,0.8,1
229,0,0,0,0,1,0.7,1
230,0,0,0,0,1,0.7,1
231,0,0,0,0,1,0.8,1
232,0,0,0,0,1,0.7,1
240,0,0,0,0,1,3.5,1
241,0,0,0,0,1,4,1
245,0,0,182,0,1,7,1
246,0,0,182,0,1,4,1
256,0,0,0,0,1,3,1
425,0,0,0,0,1,1,1
426,0,0,0,0,1,0.6,0.5
427,0,0,0,0,1,3,0
428,0,0,0,0,1,0.6,0.5
430,0,1,0,0,1,1,1
435,940,0,0,0,0.2,2.5,0.25
436,0,0,0,27532,1,7,0
437,988,0,0,0,0.2,2.75,0.25
438,0,0,0,27532,1,7,0.25
439,0,0,0,0,1,0.1,1
440,0,0,0,0,1,0.1,1
441,0,0,0,0,1,0.1,1
443,940,0,0,0,0.15,3.25,0.25
444,68,1,31006,0,1,0.1,1
445,0,0,0,0,1,0.1,1
453,68,1,31006,0,1,1,1
454,678,0,0,0,1,1,1
460,1722,0,0,0,1,1,1
