ID,TraitNodeID,LeftTraitNodeGroupID,RightTraitNodeGroupID,TraitCurrencyID
347,19487,2380,2379,895
348,19486,2378,2377,894
349,19485,2376,2375,893
350,19484,2374,2373,892
351,19483,2372,2371,891
352,19482,2370,2369,890
353,19539,2393,2392,901
354,19538,2391,2390,900
355,19537,2389,2388,899
356,19536,2387,2386,898
357,19535,2385,2384,897
358,19534,2383,2382,896
542,22483,2916,2915,1110
543,22482,2914,2913,1109
544,22481,2912,2911,1108
545,22480,2910,2909,1107
546,22479,2908,2907,1106
547,22478,2906,2905,1105
650,23727,3180,3179,1239
651,23726,3178,3177,1238
652,23725,3176,3175,1237
653,23724,3174,3173,1236
654,23723,3172,3171,1235
655,23722,3170,3169,1234
656,23721,3168,3167,1233
657,23765,3191,3190,1244
658,23764,3189,3188,1243
659,23763,3187,3186,1242
660,23762,3185,3184,1241
661,23761,3183,3182,1240
668,23912,3231,3230,1263
669,23911,3229,3228,1262
670,23910,3227,3226,1261
671,23909,3225,3224,1260
672,23908,3223,3222,1259
673,23907,3221,3220,1258
674,23906,3219,3218,1257
675,23905,3217,3216,1256
676,23904,3215,3214,1255
677,23903,3213,3212,1254
678,23902,3211,3210,1253
679,23901,3209,3208,1252
680,23900,3207,3206,1251
792,28438,3809,3808,1441
793,28437,3807,3806,1440
794,28436,3805,3804,1439
795,28435,3803,3802,1438
796,28434,3801,3800,1437
797,28433,3799,3798,1436
798,28432,3797,3796,1435
799,28431,3795,3794,1434
800,28430,3793,3792,1433
801,28429,3791,3790,1432
802,28428,3789,3788,1431
808,28546,3843,3842,1457
809,28545,3841,3840,1456
810,28544,3839,3838,1455
811,28543,3837,3836,1454
812,28542,3835,3834,1453
813,28541,3833,3832,1452
814,28540,3831,3830,1451
815,28539,3829,3828,1450
816,28538,3827,3826,1449
817,28537,3825,3824,1448
818,28536,3823,3822,1447
823,28610,3861,3860,1465
824,28609,3859,3858,1464
825,28608,3857,3856,1463
826,28607,3855,3854,1462
827,28660,3872,3871,1470
828,28659,3870,3869,1469
829,28658,3868,3867,1468
830,28657,3866,3865,1467
831,28656,3864,3863,1466
832,28672,3875,3874,1471
833,28728,3890,3889,1478
834,28727,3888,3887,1477
835,28726,3886,3885,1476
836,28725,3884,3883,1475
837,28724,3882,3881,1474
838,28723,3880,3879,1473
839,28722,3878,3877,1472
850,31146,4089,4088,1538
851,31145,4087,4086,1537
852,31144,4085,4084,1536
853,31143,4083,4082,1535
854,31184,4100,4099,1543
855,31183,4098,4097,1542
856,31182,4096,4095,1541
857,31181,4094,4093,1540
858,31180,4092,4091,1539
936,34689,4474,4473,1667
937,34688,4472,4471,1666
938,34687,4470,4469,1665
939,34729,4483,4482,1671
940,34728,4481,4480,1670
941,34727,4479,4478,1669
942,34726,4477,4476,1668
943,34759,4490,4489,1674
944,34758,4488,4487,1673
945,34757,4486,4485,1672
951,34835,4512,4511,1684
952,34834,4510,4509,1683
