ID,AreaPOIID,UiWidgetSetID,Field_10_2_6_53840_002
2,7104,1090,1
3,7267,1090,1
4,7413,1090,1
5,7393,1089,1
6,7344,1091,1
7,7342,1091,1
8,7343,1091,1
9,7345,1091,1
10,7221,1092,1
12,7223,1094,1
13,7224,1095,1
14,7222,1093,1
15,7393,723,0
286,7787,1271,0
288,7779,1273,0
290,7781,1275,0
292,7782,1277,0
294,7788,1279,0
296,7785,1281,0
298,7780,1283,0
300,7783,1285,0
302,7789,1287,0
304,7786,1289,0
306,7784,1291,0
308,7790,1293,0
310,7779,1274,1
311,7780,1284,1
312,7781,1276,1
313,7785,1282,1
314,7788,1280,1
315,7783,1286,1
316,7789,1288,1
317,7782,1278,1
318,7787,1272,1
319,7790,1294,1
320,7784,1292,1
321,7786,1290,1
337,5531,10,0
338,5532,10,0
339,5535,11,0
340,5536,11,0
341,5537,6,0
342,5538,6,0
343,5539,8,0
344,5540,8,0
345,5541,9,0
346,5542,9,0
347,5549,8,0
348,5550,6,0
349,5560,5,0
350,5581,7,0
351,5582,112,0
352,5583,114,0
353,5585,5,0
354,5586,7,0
355,5587,112,0
356,5588,114,0
357,5589,12,0
358,5590,5,0
359,5593,5,0
360,5615,121,0
361,5616,121,0
362,5619,116,0
363,5620,116,0
364,5621,116,0
365,5622,119,0
366,5623,119,0
367,5625,120,0
368,5626,120,0
369,5627,118,0
370,5628,118,0
371,5629,118,0
372,5806,5,0
373,5807,5,0
374,5809,7,0
375,5810,7,0
376,5812,12,0
377,5813,12,0
378,5814,112,0
379,5815,112,0
380,5816,114,0
381,5817,114,0
382,5818,5,0
383,5819,5,0
384,5857,7,0
385,5858,7,0
386,5859,112,0
387,5860,112,0
388,5861,12,0
389,5862,12,0
390,5863,5,0
391,5864,5,0
392,5865,5,0
393,5866,5,0
394,5867,114,0
395,5868,114,0
396,5871,5,0
397,5872,5,0
398,5897,160,0
399,5898,160,0
400,5899,164,0
401,5900,164,0
402,5905,166,0
403,5906,166,0
404,5907,166,0
405,5908,167,0
406,5909,167,0
407,5910,167,0
408,5911,159,0
409,5912,159,0
410,5913,168,0
411,5914,168,0
412,5915,165,0
413,5916,165,0
414,5919,10,0
415,5921,5,0
416,5922,5,0
417,5923,5,0
418,5924,5,0
419,5925,5,0
420,5926,5,0
421,5927,114,0
422,5928,114,0
423,5929,114,0
424,5930,7,0
425,5931,7,0
426,5932,7,0
427,5933,12,0
428,5934,12,0
429,5935,12,0
430,5936,112,0
431,5937,112,0
432,5938,112,0
433,5943,168,0
434,5944,168,0
435,5945,10,0
436,5946,159,0
437,5947,159,0
438,5948,164,0
439,5949,164,0
440,5952,167,0
441,5953,167,0
442,5954,167,0
443,5957,166,0
444,5958,166,0
445,5959,166,0
446,5960,165,0
447,5961,165,0
448,5962,160,0
449,5963,160,0
450,5974,112,0
451,5975,112,0
452,5976,112,0
453,5977,7,0
454,5978,7,0
455,5979,7,0
456,5980,114,0
457,5981,114,0
458,5982,114,0
459,5983,5,0
460,5984,5,0
461,5985,5,0
462,5986,5,0
463,5987,5,0
464,5988,5,0
465,6007,195,0
466,6009,12,0
467,6010,12,0
468,6011,12,0
469,6122,245,0
470,6123,246,0
471,6124,247,0
472,6125,248,0
473,6144,253,0
474,6172,261,0
475,6173,263,0
476,6174,264,0
477,6175,265,0
478,6176,262,0
479,6485,269,0
480,6492,270,0
481,6569,292,0
482,6640,399,0
483,7053,619,0
484,7086,638,0
485,7089,696,0
486,7090,697,0
487,7091,698,0
488,7092,699,0
489,7093,700,0
490,7094,701,0
491,7095,702,0
492,7096,703,0
493,7097,633,0
494,7098,619,0
495,7099,704,0
496,7101,719,0
497,7102,718,0
498,7103,720,0
499,7104,713,0
500,7218,711,0
501,7219,711,0
502,7265,674,0
503,7266,671,0
504,7267,713,0
505,7270,677,0
506,7271,678,0
507,7272,679,0
508,7294,685,0
509,7342,712,0
510,7343,712,0
511,7344,712,0
512,7345,712,0
513,7365,717,0
514,7391,722,0
515,7392,721,0
516,7394,724,0
517,7407,707,0
518,7408,786,0
519,7409,785,0
520,7410,784,0
521,7411,783,0
522,7412,739,0
523,7413,713,0
524,7414,742,0
525,7415,748,0
526,7429,779,0
527,7432,779,0
528,7433,780,0
529,7434,780,0
530,7435,780,0
531,7459,807,0
532,7460,807,0
533,7461,807,0
534,7462,807,0
535,7471,779,0
536,7473,780,0
537,7486,780,0
538,7487,779,0
539,7488,779,0
