ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,New in Shadowlands Pre-Launch!,Leveling Revamp,Experience a streamlined narrative as you level to the new max of 50!,Character Customization,Visit a Barber Shop to explore all-new looks.,Death Rising,Explore your updated class abilities and prepare for the coming darkness.,60113,60115,0,5364,0,0,87298,119
20,New in Shadowlands!,Covenants,Pledge loyalty to one of four unique covenants and gain new powers.,Character Customization,Visit a Barber Shop to explore all-new looks.,Shadowlands,Explore the realms of the afterlife and uncover the mysteries of death.,60545,61874,0,5365,0,0,87299,120
40,New in Chains of Domination!,The Call to Korthia,Push back the Jailer's forces in the rediscovered City of Secrets.,Torghast Updates,Reach new heights with the revamped progression system.,Battle for Ardenweald,Defend the eternal forest from the Banshee Queen's incursion!,63576,63576,0,5403,0,0,92337,154
41,,Tazavesh,Thwart a high-stakes broker heist in the Veiled Market!,Season 2 Begins,"Updated dungeon and PvP rewards, and the new Mythic+ affix: Tormented.",Sanctum of Domination,"At long last, battle Sylvanas Windrunner as you raid the Jailer's stronghold!",0,0,1,5404,0,0,92337,123
42,New in Patch 9.1.5!,Timewalking: Legion,Challenge yourself in Mythic+ Legion dungeons and the Mage Tower.,Leveling Leveled Up!,"Improved leveling, reputation, and catch-up gear for alternate characters!",Covenant Updates,Freely change your covenant at maximum Renown.,0,0,0,5416,0,0,92337,176
43,New in Eternity's End!,Cypher of the First Ones,Learn the language of the Automa and unlock powerful rewards.,The Jailer's Gauntlet,Battle through 8 floors of the deadliest foes from every wing of Torghast.,Zereth Mortis,Confront the Jailer's forces in the otherworldly land of the First Ones.,64942,64942,0,5442,0,0,92337,204
44,New in Season 3!,Season 3,"Updated dungeon and PvP rewards, and the new Mythic+ affix: Encrypted.",Class Sets,Unique armor looks and bonuses aid your fight to save the Shadowlands.,Sepulcher of the First Ones,Explore the forbidden sanctum and thwart the Jailer's plan to dominate reality.,0,0,0,5443,0,0,92337,149
45,New in Patch 9.2.5!,Lordaeron Quests,Can the Forsaken reclaim the ruins of Lordaeron and forge a new future?,Enigma Crucible,Do battle in a new PvP arena set within the ancient wonders of Zereth Mortis.,Cross-Faction Instances,"For the first time, assemble a dungeon, raid, or rated PvP group with members from both factions!",0,0,0,5430,0,0,92337,247
46,New in Season 4!,Shadowlands Season 4,Earn new rewards in Mythic Keystone dungeons and PvP.,New Mythic+ Dungeons,Experience iconic legacy dungeons with Mythic affixes!,Fated Raids,Return to Shadowlands raids for a new challenge and new rewards.,0,0,0,5431,0,0,92337,248
47,New in Dragonflight Pre-Patch!,User Interface Updates,The UI has undergone an art refresh. Customize it with the new Edit Mode!,Dragonflight Coming Soon!,November 28,New Talent System,Explore the brand new class and specialization trees and create your own talent build!,0,0,0,5482,0,0,87298,250
