CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"Skoldus Hall is but one of Torghast's countless cell blocks. Warden Skoldus utilizes beasts, chains, and traps to torment his prisoners as well as those who intrude upon his domain.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,1,26048,5352
,,2,26191,5336
,,3,26192,5336
"Within the Fracture Chambers, prisoners from across the Shadowlands have their bones endlessly broken and mended in a cruel cycle of torture. Release them so they might claim their vengeance.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,4,26375,5354
"Suspended between the towering spires of Torghast, the Coldheart Interstitia is where the Mawsworn Kyrian make their lair. Striking from above, they fling foolhardy interlopers into the darkness below.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,5,26377,5355
"Like the shifting and malformed terrain itself, the souls trapped within Mort'regar have lost all semblance of who they once were. The Jailer's forces subject them to necromantic experiments, transforming them into horrible monstrosities.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,6,26378,5353
The Upper Reaches are the domain of the Jailer's most devoted servants. Elite Mawsworn forces and their Venthyr allies patrol these halls and maintain their master's most powerful defenses.,Reward received - Completing this layer again will grant a small amount of additional Soul Ash,7,26379,5357
"True to their name, the Twisting Corridors wind unpredictably throughout the entirety of Torghast's myriad cell blocks and are guarded by all manner of the Jailer's minions. Those intrepid enough to venture into its 18 floors seldom return.",Reward Received,8,26380,5358
Doomed souls are brought to the Soulforges to be melted down into weapons and armor for the Jailer's army. Beware the rampant flames that burn within these halls.,Reward received - Completing this layer again will grant a small amount of additional Soul Ash,9,26376,5356
"Skoldus Hall is but one of Torghast's countless cell blocks. Warden Skoldus utilizes beasts, chains, and traps to torment his prisoners as well as those who intrude upon his domain.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,10,26655,5352
"Within the Fracture Chambers, prisoners from across the Shadowlands have their bones endlessly broken and mended in a cruel cycle of torture. Release them so they might claim their vengeance.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,11,26656,5354
Doomed souls are brought to the Soulforges to be melted down into weapons and armor for the Jailer's army. Beware the rampant flames that burn within these halls.,Reward received - Completing this layer again will grant a small amount of additional Soul Ash,12,26657,5356
"Suspended between the towering spires of Torghast, the Coldheart Interstitia is where the Mawsworn Kyrian make their lair. Striking from above, they fling foolhardy interlopers into the darkness below.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,13,26658,5355
"Like the shifting and malformed terrain itself, the souls trapped within Mort'regar have lost all semblance of who they once were. The Jailer's forces subject them to necromantic experiments, transforming them into horrible monstrosities.",Reward received - Completing this layer again will grant a small amount of additional Soul Ash,14,26659,5353
The Upper Reaches are the domain of the Jailer's most devoted servants. Elite Mawsworn forces and their Venthyr allies patrol these halls and maintain their master's most powerful defenses.,Reward received - Completing this layer again will grant a small amount of additional Soul Ash,15,26660,5357
"True to their name, the Twisting Corridors wind unpredictably throughout the entirety of Torghast's myriad cell blocks and are guarded by all manner of the Jailer's minions. Those intrepid enough to venture into its 18 floors seldom return.|n|nNot affected by the Box of Many Things.",Reward received,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
The recently discovered Adamant Vaults are where the Jailer keeps some of his most hated prisoners.,Reward received - Completing this layer again will grant a small amount of additional Soul Ash,46,26812,5354
Fight through 8 floors of creatures and bosses from every wing of Torghast. The challenges grow the higher you climb.|n|nBringing friends along is recommended.|n|nNot affected by the Box of Many Things.,Reward received,47,27436,5358
Fight through 8 floors of creatures and bosses from every wing of Torghast. The challenges grow the higher you climb.|n|nBringing friends along is recommended.|n|nNot affected by the Box of Many Things.,Reward received,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
